doc_id,pdf_url,entry_type,name_normalised,sector,country,region,year_start,year_end,title_raw
afrique-du-nord-merite-agricole-aef-b88139,https://entreprises-coloniales.fr/afrique-du-nord/Merite_agricole-AEF.pdf,source_document,Mérite agricole,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Mérite agricole : titulaires aeéfiens
afrique-equatoriale-aec-1922-aef-cameroun-8e0ebc,https://entreprises-coloniales.fr/afrique-equatoriale/AEC_1922-AEF-Cameroun.pdf,source_document,Annuaire des entreprises coloniales 1922,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Annuaire des entreprises coloniales 1922 : AEF+Cameroun
afrique-equatoriale-aec-1926-aef-cameroun-855b28,https://entreprises-coloniales.fr/afrique-equatoriale/AEC_1926-AEF-Cameroun.pdf,source_document,Annuaire des entreprises coloniales 1926,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Annuaire des entreprises coloniales 1926 : AEF+Cameroun
afrique-equatoriale-aec-1937-aef-cameroun-7a7058,https://entreprises-coloniales.fr/afrique-equatoriale/AEC_1937-AEF-Cameroun.pdf,source_document,Annuaire des entreprises coloniales 1937,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Annuaire des entreprises coloniales 1937 : AEF+Cameroun
afrique-equatoriale-aec-1951-aef-cameroun-6d0821,https://entreprises-coloniales.fr/afrique-equatoriale/AEC_1951-AEF-Cameroun.pdf,source_document,Annuaire des entreprises coloniales 1951,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Annuaire des entreprises coloniales 1951 : AEF+Cameroun
afrique-equatoriale-afrique-et-congo-e23e20,https://entreprises-coloniales.fr/afrique-equatoriale/Afrique_et_Congo.pdf,company,Afrique et Congo,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,,,"Afrique et Congo : AEF, Dahomey, Sénégal, Soudan français, Algérie, Maroc, Pyrénées…"
afrique-equatoriale-ann-indus-1925-aef-bf6791,https://entreprises-coloniales.fr/afrique-equatoriale/Ann._indus._1925-AEF.pdf,source_document,Annuaire industriel 1925,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Annuaire industriel 1925 : AEF et Cameroun : sociétés et administrateurs. Ingénieurs
afrique-equatoriale-ann-indus-1938-aef-884e7d,https://entreprises-coloniales.fr/afrique-equatoriale/Ann._indus._1938-AEF.pdf,source_document,Annuaire industriel 1938,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Annuaire industriel 1938 : AEF+Cameroun
afrique-equatoriale-bois-coloniaux-1921-1927-213d98,https://entreprises-coloniales.fr/afrique-equatoriale/Bois_coloniaux_1921-1927.pdf,company,Compagnie générale des Bois coloniaux,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1921,1927,Bois coloniaux (Compagnie générale des)(1921-1927) : usines de contreplaqués à Villeneuve-sur-Seine et Choisiy-le-Roi
afrique-equatoriale-bq-frse-afrique-7c1621,https://entreprises-coloniales.fr/afrique-equatoriale/Bq_frse_Afrique.pdf,company,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.",Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1910,,"Banque française de l'Afrique équatoriale (1910), puis Banque française de l'Afrique (1924-1932). Suite de la Société française industrielle et coloniale."
afrique-equatoriale-cfac-1913-1925-9fc1c0,https://entreprises-coloniales.fr/afrique-equatoriale/CFAC_1913-1925.pdf,company,Compagnie Française de l’Afrique Centrale,Sociétés commerciales,Afrique équatoriale française,Afrique equatoriale francaise,1913,1925,Française de l’Afrique Centrale (Compagnie)(Congo-Oubanghi)(1913-1925)
afrique-equatoriale-cfso-eaed16,https://entreprises-coloniales.fr/afrique-equatoriale/CFSO.pdf,company,Compagnie forestière Sangha-Oubangui,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1911,,Compagnie forestière Sangha-Oubangui (CFSO)(1911)
afrique-equatoriale-cgta-181d2a,https://entreprises-coloniales.fr/afrique-equatoriale/CGTA.pdf,company,Compagnie Générale de transports en Afrique,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,,,Générale de transports en Afrique (Compagnie)(CGTA)(parfois Galtransaf) : transports fluviaux
afrique-equatoriale-chargeurs-coloniaux-61ab41,https://entreprises-coloniales.fr/afrique-equatoriale/Chargeurs_coloniaux.pdf,company,Compagnie des Chargeurs coloniaux,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1917,,Chargeurs coloniaux (Compagnie des)(CCC)(1917)
afrique-equatoriale-cie-frse-commerce-africain-d65f1d,https://entreprises-coloniales.fr/afrique-equatoriale/Cie_frse_commerce_africain.pdf,company,Compagnie Française de Commerce africain,Sociétés commerciales,Afrique équatoriale française,Afrique equatoriale francaise,1898,1914,Française de Commerce africain (Compagnie)(1898-1914)
afrique-equatoriale-cmoo-c877e4,https://entreprises-coloniales.fr/afrique-equatoriale/CMOO.pdf,company,Compagnie Minière de l'Oubanghi oriental,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,,,Minière de l'Oubanghi oriental (Compagnie)(CMOO)
afrique-equatoriale-comm-sangha-oubangui-2b6ae7,https://entreprises-coloniales.fr/afrique-equatoriale/Comm._Sangha_Oubangui.pdf,company,Compagnie Commerciale Sangha-Oubangui,Sociétés commerciales,Afrique équatoriale française,Afrique equatoriale francaise,,,Commerciale Sangha-Oubangui (Compagnie)(CCSO)
afrique-equatoriale-commerciale-kouilou-niari-d3e008,https://entreprises-coloniales.fr/afrique-equatoriale/Commerciale_Kouilou-Niari.pdf,company,Société Commerciale du Kouilou-Niari,Sociétés commerciales,Afrique équatoriale française,Afrique equatoriale francaise,,,"Commerciale du Kouilou-Niari (Société)(SCKN), Brazzaville"
afrique-equatoriale-concessionnaires-aef-1899-ff4c71,https://entreprises-coloniales.fr/afrique-equatoriale/Concessionnaires_AEF-1899.pdf,source_document,"Les concessionnaires de l'A.-E.F., avec notices biographiques",Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,1899,,"Les concessionnaires de l'A.-E.F. (1899), avec notices biographiques"
afrique-equatoriale-concessionnaires-congo-1908-1a968c,https://entreprises-coloniales.fr/afrique-equatoriale/Concessionnaires_Congo-1908.pdf,source_document,Les sociétés concessionnaires du Congo français,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,1908,,Les sociétés concessionnaires du Congo français (1908)
afrique-equatoriale-congo-cameroun-impex-b8db19,https://entreprises-coloniales.fr/afrique-equatoriale/Congo-Cameroun-Impex.pdf,company,Société des comptoirs d'importation et d'exportation Congo-Cameroun,Sociétés commerciales,Afrique équatoriale française,Afrique equatoriale francaise,1926,1931,Congo-Cameroun (Société des comptoirs d'importation et d'exportation)(1926-1931)
afrique-equatoriale-cotonfran-742d77,https://entreprises-coloniales.fr/afrique-equatoriale/Cotonfran.pdf,company,"Société des Cotons du Congo, puis Compagnie cotonnière équatoriale française",Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1926,,"Cotons du Congo (Société des)(1926), puis Compagnie cotonnière équatoriale française (Cotonfran)(1927) : Tchad, Oubangui"
afrique-equatoriale-cotonfran-cabot-ce5778,https://entreprises-coloniales.fr/afrique-equatoriale/Cotonfran_Cabot.pdf,company,"La Cotonfran, par Jean Cabot",Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,,,"La Cotonfran, par Jean Cabot"
afrique-equatoriale-credit-foncier-congo-1511d5,https://entreprises-coloniales.fr/afrique-equatoriale/Credit_foncier_Congo.pdf,company,Crédit foncier du Congo,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,,,Crédit foncier du Congo
afrique-equatoriale-donation-college-france-14824c,https://entreprises-coloniales.fr/afrique-equatoriale/Donation_College_France.pdf,company,"Donation au Collège de France par MM. William Fondère, Alphonse Guynet et Henri Tréchot",Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1913,,"Donation au Collège de France (1913) par MM. William Fondère, Alphonse Guynet et Henri Tréchot"
afrique-equatoriale-entrep-africaines-sea-fecf5f,https://entreprises-coloniales.fr/afrique-equatoriale/Entrep._africaines-SEA.pdf,company,"Société d'entreprises africaines, puis Société d'entreprises africaines et Matériel colonial réunis",Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1953,,"Société d'entreprises africaines (SEA), puis (1953) Société d'entreprises africaines et Matériel colonial réunis (SEA-MC)"
afrique-equatoriale-equatoriale-de-mines-f79dae,https://entreprises-coloniales.fr/afrique-equatoriale/Equatoriale_de_mines.pdf,company,Compagnie Équatoriale de mines,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1927,,Équatoriale de mines (Compagnie)(CEM)(1927)
afrique-equatoriale-espoirs-aef-1952-6a9278,https://entreprises-coloniales.fr/afrique-equatoriale/Espoirs_AEF_1952.pdf,source_document,Les espoirs de l'A.-E.F. par Philippe Soupault,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,"Les espoirs de l'A.-E.F. par Philippe Soupault (Réalités, février 1952)"
afrique-equatoriale-financiere-congo-frs-781d0b,https://entreprises-coloniales.fr/afrique-equatoriale/Financiere_Congo_frs.pdf,company,Société financière du Congo français,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,1928,,Société financière du Congo français (1928)
afrique-equatoriale-francmacs-joef-aef-22d8e6,https://entreprises-coloniales.fr/afrique-equatoriale/Francmacs-JOEF-AEF.pdf,source_document,Liste des francs-maçons d'AEF et du Cameroun stigmatisés par le régime de Vichy,Documents généraux (par ordre chronologique),Afrique équatoriale française,Afrique equatoriale francaise,,,Liste des francs-maçons d'AEF et du Cameroun stigmatisés par le régime de Vichy
afrique-equatoriale-generale-equateur-41c6a5,https://entreprises-coloniales.fr/afrique-equatoriale/Generale_Equateur.pdf,company,Compagnie Générale de l'Équateur,Banques et groupes financiers,Afrique équatoriale française,Afrique equatoriale francaise,,,Générale de l'Équateur (Compagnie)
