company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
creditfonciercongo,financierecongo,Crédit foncier du Congo,Société financière du Congo français,8,beuque-j; clerc-a; henriquez; henriquez-a; henriquez-g; herve-le-grand; serpeille-de-gobineau-l; superville-m
financierecongo,hautbascongo,Société financière du Congo français,Compagnie française du Haut et Bas-Congo,8,beuque-j; dawart; de-montreuil; dreyfus-p; er-p; henriquez-g; imprimerie-laroche; trechot-h
equateur,plantationssanaga,Compagnie Générale de l'Équateur,Plantations de la Sanaga,8,de-beaumont-j; de-rivaud-r; hallet-r; langlois-p; place-v; roullet-g; vieljeux-c; vieljeux-l
afrique,huileriesmoyencongo,L'Afrique française,Huileries du Moyen-Congo,8,boussenot-g; de-laveleye-y; ducros-a; dumortier-a; raynal-g; rolin-j; serviere-l; warnant-l
minierecongo,miniereoubanghioriental,Cie Minière du Congo français,Compagnie Minière de l'Oubanghi oriental,8,adm-del-m-g-hausser; adm-mm-e-benedic; e-lubovitch; g-boussenot; g-ugeux-mines-d-or; monteil-j; ortiz-linares-g; perrin-l
boiscoloniaux,exploitationsforestieresafricaines,Compagnie générale des Bois coloniaux,Compagnie Exploitations forestières africaines,7,babonneau-f; f-babonneau-ing; g-zafiropulo; michenot-e; weber-j; zafiropulo-d; zafiropulo-g
agricolegabon,hautebokoue,Société agricole du Gabon,Société de la Haute-Bokoué,7,dagouret-j; guibert-g; labat-r; lemaitre-r; mizraki-m; sterlin-y; vacheret-c
banqueafriqueequatoriale,forestieresanghaoubangui,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.",Compagnie Forestière Sangha-Oubangui,6,bolle-a; de-hemptinne-j; despret-g; josse-a; superville-m; weber-j
bascongo,hautcongo,Compagnie Française du Bas-Congo,Compagnie Française du Haut-Congo,6,brack-g; ponche-e; remond-j; trechot-f; trechot-h; trechot-l
leverbrothersltd,leverbrothersltdportsunlightcheshire,Lever Brothers Ltd,"Lever Brothers Ltd, Port SUNLIGHT, Cheshire",6,barnish-c; chas-e-tatlow; greenhalgh-h; hartland-swann-l; lever-ferguson-j; lomax-simpson-j
cameroun,nationalecameroun,Cie française du Cameroun,Sté nationale du Cameroun,6,barthelemy-l; belot-g; conchon-h; eug-guillet-de-la-brosse; marion-de-proce-p; toutee-h
transportafrique,transportsafrique,Compagnie générale de transport en Afrique,Compagnie Générale de transports en Afrique,6,barris-p; benedic-e; coquelin-p; delorme-j; guynet-d; vadier-j
depotspetrolierscamerounbp,depotspetroliersefbrazzavillebp,"Cie française de dépôts pétroliers au Cameroun, B. P","Cie française de dépôts pétroliers en A.E.F., BRAZZAVILLE, B. P",6,bricka-c; colombes; durand-o; freres-d; lille-bonnieres-s; risler-a
banqueafriqueequatoriale,kouango,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.","Compagnie du Kouango français, puis Compagnie nouvelle du Kouango français",5,h-lippens; josse-a; lippens-h; superville-m; weber-j
entreprisesafricaines,sultanatshautoubangui,"Société d'entreprises africaines, puis Société d'entreprises africaines et Matériel colonial réunis",Les Sultanats du Haut-Oubangui,5,duchanoy-m; fondere-a; mascart-c; superville-m; troutet-f
alimaienne,hautcongo,L'Alimaïenne,Compagnie Française du Haut-Congo,5,brack-g; cruchet-l; remond-j; trechot-f; trechot-l
bascongo,francbascongo,Compagnie Française du Bas-Congo,Cie Franç. du BAS-CONGO,5,brack-g; ponche-e; remond-j; trechot-f; trechot-h
bascongo,hautbascongo,Compagnie Française du Bas-Congo,Compagnie française du Haut et Bas-Congo,5,ponche-e; remond-j; trechot-f; trechot-h; trechot-l
francbascongo,hautcongo,Cie Franç. du BAS-CONGO,Compagnie Française du Haut-Congo,5,brack-g; ponche-e; remond-j; trechot-f; trechot-h
hautbascongo,hautcongo,Compagnie française du Haut et Bas-Congo,Compagnie Française du Haut-Congo,5,ponche-e; remond-j; trechot-f; trechot-h; trechot-l
basogooue,industriellebasogooue,BAS-OGOOUÉ,Société Industrielle du Bas-Ogooué,5,biltz-a; fleury-p; homberg-o; lambert-e; levy-e
commercialeindustrielleagricolehautogooue,hautogooue,"Société commerciale, industrielle et agricole du Haut-Ogooué",HAUT-OGOOUÉ,5,barre-h; boissonnas-j; chabrieres-m; e-terquem; o-barre
miniereoubanghioriental,recherchesauriferesgabon,Compagnie Minière de l'Oubanghi oriental,Cie de recherches aurifères au Gabon,5,claude-a; hausser-g; monteil-j; perrin-l; pinci-m
agricolegabon,unionforestiereogooue,Société agricole du Gabon,Union forestière de l'Ogooué,5,auvray; dagouret-j; labat-r; mizraki-m; vacheret-c
afriquecongo,transportafrique,Afrique et Congo,Compagnie générale de transport en Afrique,5,benedic-e; blanc-e; coquelin-p; delorme-j; guynet-d
afriquecongo,transportsafrique,Afrique et Congo,Compagnie Générale de transports en Afrique,5,becq-a; benedic-e; coquelin-p; delorme-j; guynet-d
cameroun,gabon,Cie française du Cameroun,Compagnie Française du Gabon,5,autissier-j; de-peyrecave-r; jouy-f; kagan-n; morane-j
alimaienne,bascongo,L'Alimaïenne,Compagnie Française du Bas-Congo,4,brack-g; remond-j; trechot-f; trechot-l
bascongo,fsehautcongo,Compagnie Française du Bas-Congo,Cie Fse du HAUT-CONGO,4,ponche-e; remond-j; trechot-f; trechot-h
francbascongo,fsehautcongo,Cie Franç. du BAS-CONGO,Cie Fse du HAUT-CONGO,4,ponche-e; remond-j; trechot-f; trechot-h
francbascongo,hautbascongo,Cie Franç. du BAS-CONGO,Compagnie française du Haut et Bas-Congo,4,ponche-e; remond-j; trechot-f; trechot-h
fsehautcongo,hautbascongo,Cie Fse du HAUT-CONGO,Compagnie française du Haut et Bas-Congo,4,ponche-e; remond-j; trechot-f; trechot-h
fsehautcongo,hautcongo,Cie Fse du HAUT-CONGO,Compagnie Française du Haut-Congo,4,ponche-e; remond-j; trechot-f; trechot-h
boiscoloniaux,forestieresanghaoubangui,Compagnie générale des Bois coloniaux,Compagnie Forestière Sangha-Oubangui,4,etudes-du-nord; vincent; vincent-l; weber-j
exploitationsforestieresafricaines,plantationspalmeraiesogooue,Compagnie Exploitations forestières africaines,Cie générale des Plantations et palmeraies de l'Ogooué,4,doumic-j; michenot-e; pila-j; weber-j
forestieresanghaoubangui,sanghalikouala,Compagnie Forestière Sangha-Oubangui,Compagnie Générale Sangha-Likouala,4,coulon-j; joubert-j; lavril-m; weber-j
forestieresanghaoubangui,intertropicalcomfina,Compagnie Forestière Sangha-Oubangui,Intertropical-Comfina,4,bolle-a; de-hemptinne-j; josse-a; vandenperre-h
afrique,afriqueminiereequatoriale,L'Afrique française,Afrique minière équatoriale,4,guet-g; hpk-l; lepel-cointet-g; pierre-c
shaki,sultanatshautoubangui,SHAKI,Les Sultanats du Haut-Oubangui,4,duchanoy-m; mirand-devos-n; troutet-f; watel-p
africaine,anciensetablissementscquilliardforestiereezanga,L'Africaine,Anciens Établissements C. Quilliard Société forestière d'Ezanga,4,gillet-a; lefevre-c; pecqueur-w; videau-j
africaine,equatoriale,L'Africaine,L'Équatoriale,4,gillet-a; lefevre-c; pecqueur-w; videau-j
anciensetablissementscquilliardforestiereezanga,equatoriale,Anciens Établissements C. Quilliard Société forestière d'Ezanga,L'Équatoriale,4,gillet-a; lefevre-c; pecqueur-w; videau-j
africaineforestiereagricole,equateur,Société africaine forestière et agricole,Compagnie Générale de l'Équateur,4,de-beaumont-j; de-rivaud-r; roullet-g; vieljeux-c
africaineforestiereagricole,plantationssanaga,Société africaine forestière et agricole,Plantations de la Sanaga,4,de-beaumont-j; de-rivaud-r; roullet-g; vieljeux-c
agricolecommercialealima,alima,Société Agricole et Commerciale de l'Alima,ALIMA,4,decourcelle-e; gillain-p; jacta-g; lux-p
commercialecotonniereouhamenanacomouna,transportsouhamenana,Cie commerciale et cotonnière de l'Ouhamé-Nana « Comouna »,Compagnie de Transports Cie française de l'Ouhame et de la Nana,4,bobichon-j; bobichon-probablement-le-fils-d-henri-j; martineau-g; simenel-m
cotonniereequatoriale,cotonnierehautoubangui,Cie cotonnière équatoriale française,Cie cotonnière du Haut-Oubangui,4,de-bauw-a; gohr-g; landeghem-a; senn-e
miniereoubanghioriental,recherchesauriferescamerouno,Compagnie Minière de l'Oubanghi oriental,Société de recherches aurifères au Cameroun (S.O,4,benedic-e; claude-a; perrin-l; pinci-m
boisgabon,nantaiseboisderoulescontreplaquesocean,Société des Bois du Gabon,Compagnie nantaise des bois déroulés et contreplaqués « Océan »,4,de-muizon-j; hailaust-g; lebon-j; meunier-godin-a
transportafrique,transporteafriqueparis,Compagnie générale de transport en Afrique,"Cie générale de transporte en Afrique, à Paris",4,barris-p; benedic-e; de-montreuil; guynet-d
equatorialemines,financierecongo,Compagnie Équatoriale de mines,Société financière du Congo français,4,benard-m; de-breteuil-g; dreyfus-p; propper-e
hautebokoue,unionforestiereogooue,Société de la Haute-Bokoué,Union forestière de l'Ogooué,4,dagouret-j; labat-r; mizraki-m; vacheret-c
unionforestiereafricaine,unionforestiereogooue,Union forestière africaine,Union forestière de l'Ogooué,4,hue-g; labat-r; mizraki-m; vacheret-c
transporteafriqueparis,transportsafrique,"Cie générale de transporte en Afrique, à Paris",Compagnie Générale de transports en Afrique,4,barris-p; becq-a; benedic-e; guynet-d
miniereoubanghioriental,recherchesexploitationsdiamantiferes,Compagnie Minière de l'Oubanghi oriental,Société de Recherches et d'exploitations diamantifères,4,benedic-e; claude-a; jolis-a; pinci-m
banqueafriqueequatoriale,creditfonciercongo,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.",Crédit foncier du Congo,3,bolle-a; fondere-a; superville-m
banqueafriqueequatoriale,sultanatshautoubangui,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.",Les Sultanats du Haut-Oubangui,3,fondere-a; josse-a; superville-m
forestieresanghaoubangui,kouango,Compagnie Forestière Sangha-Oubangui,"Compagnie du Kouango français, puis Compagnie nouvelle du Kouango français",3,josse-a; superville-m; weber-j
forestieresanghaoubangui,sultanatshautoubangui,Compagnie Forestière Sangha-Oubangui,Les Sultanats du Haut-Oubangui,3,josse-a; reclus-l; superville-m
minierecongo,sultanatshautoubangui,Cie Minière du Congo français,Les Sultanats du Haut-Oubangui,3,fondere-a; guynet-d; superville-m
alimaienne,francbascongo,L'Alimaïenne,Cie Franç. du BAS-CONGO,3,brack-g; remond-j; trechot-f
alimaienne,hautbascongo,L'Alimaïenne,Compagnie française du Haut et Bas-Congo,3,remond-j; trechot-f; trechot-l
fsecongocameroun,ngokosangha,Cie Fse des CONGO-CAMEROUN,"N’goko-Sangha, puis Société française Congo-Cameroun",3,cruchet-l; de-jessaint; henrotte
bambari,congolaisecaoutchouc,BAMBARI,Compagnie Congolaise du Caoutchouc,3,joubert-a; mandel-a; weber-j
commercialeafriqueequatoriale,equatoriale,"Compagnie Commerciale de l'Afrique équatoriale française, puis Commerciale, agricole et forestière",L'Équatoriale,3,de-caplane-p; lefevre-c; pecqueur-w
exploitationscommercialesafricaines,exploitationsforestieresafricaines,Compagnie d'Exploitations commerciales africaines,Compagnie Exploitations forestières africaines,3,doumic-j; hauser-e; michenot-e
exploitationscommercialesafricaines,plantationspalmeraiesogooue,Compagnie d'Exploitations commerciales africaines,Cie générale des Plantations et palmeraies de l'Ogooué,3,doumic-j; lavril-m; michenot-e
banqueafriqueequatoriale,intertropicalcomfina,"Banque française de l'Afrique équatoriale, puis Banque française de l'Afrique . Suite de la Société française industrielle et coloniale.",Intertropical-Comfina,3,bolle-a; de-hemptinne-j; josse-a
inkemeinkeni,lefiniagricolecommercialeindustrielle,Cie de I'N'Kémé et de I'N'Kéni,"« La Léfini », Cie agricole, commerciale et industrielle",3,arnold-p; debayser-a; richmond-j
