person_id,company_id,n_observations,first_year,last_year,top_role,is_board_seat
administrateurs-afrique,africaine,1,1937,1937,administrateur,1
congo,africaine,1,1937,1937,administrateur,1
gillet-a,africaine,1,1951,1951,administrateur,1
lefevre-c,africaine,2,1926,1937,administrateur,1
pecqueur-w,africaine,2,1937,1951,administrateur,1
videau-j,africaine,1,1951,1951,president,1
casablanca-n,africainechaussuresbp,2,1949,1949,administrateur,1
favre-gilly-r,africainechaussuresbp,1,1949,1949,administrateur,1
guelfman-g,africainechaussuresbp,1,1949,1949,administrateur,1
marroqui-f,africainechaussuresbp,1,1949,1949,administrateur,1
renaldo-l,africainechaussuresbp,1,1949,1949,administrateur,1
sapin-ligneres,africainechaussuresbp,1,1949,1949,administrateur,1
a-casablanca-c,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
appele-par-celles-de-nam-kok,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
barondeau-ingenieur-des-mines-e,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
brueder-j,africaineconstructionscivilesindustriellesbp,1,1949,1949,president,1
delegue-au-conseil-des-interets-economiques,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
et-de-gabon-niari-a-dolisie,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
ramas-j,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
rodary-p,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur_delegue,1
gervot-g,africaineentreprises,1,1949,1949,administrateur,1
legay-f,africaineentreprises,1,1937,1937,president,1
legay-v,africaineentreprises,1,1949,1949,administrateur,1
modiano-pere-de-patrick-a,africaineentreprises,1,1949,1949,president,1
pochez-l,africaineentreprises,1,1949,1949,administrateur,1
rogier-l,africaineentreprises,1,1937,1937,administrateur,1
rossel-p,africaineentreprises,1,1937,1937,administrateur,1
henri-ducanon-c,africaineentreprisesindustriellesimmobilieresbp,1,1949,1949,administrateur_delegue,1
lorient,africaineentreprisesindustriellesimmobilieresbp,1,1949,1949,administrateur_delegue,1
pierre-a,africaineentreprisesindustriellesimmobilieresbp,1,1949,1949,administrateur,1
rodes-p,africaineentreprisesindustriellesimmobilieresbp,1,1949,1949,president,1
chevrier,africaineforestiere,2,1937,1951,administrateur,1
flandre-p,africaineforestiere,2,1937,1951,administrateur,1
marcel-h,africaineforestiere,1,1937,1937,administrateur,1
martin,africaineforestiere,2,1937,1951,president,1
