company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
commercialeindustriellecoteafrique,soccommercialeindustriellecoteafrique,Société Commerciale et Industrielle de la Côte d'Afrique,Soc. commerciale et industrielle de la CÔTE D'AFRIQUE,9,armandon-j; chabrieres-m-maurice; dreyfus-d; dufay-c; fraissinet-a-albert; fraissinet-a-alfred; fraissinet-j; magnan-a; magnan-f
occidentaleafricaine,scieriesafricaines,L'Occidentale Africaine,Compagnie des Scieries africaines,9,anthoine-f; bocquet-j; cassagnac-j; experton-p-pierre; nemos-e; vigne-r; vizioz-d; vizioz-g; vizioz-j
hortala,huileriesafricaines,HORTALA,Huileries africaines,8,delsaux-p; hallet-a; mathon-e; nouvion-h; pernotte-j; rosa-e; toulemonde-l; van-de-velde-w
salinssinesaloum,socsalinssinesaloum,Salins du Sine Saloum,Soc. des SALINS DU SINÉ SALOUM,8,de-rivaud-o; de-rivaud-r; delmas-p-philippe; desachy-p; dubigeon-r; favreul-a; mathon-e; maurel-l-lucien
brasseriescoteivoire,brasseriesouestafricain,Société des Brasseries de la Côte-d'Ivoire,Société des Brasseries de l'Ouest Africain,8,curral-j; de-lestapis-r; faivre-h; gaston-dreyfus-r; glacieres-de-l-indochine; kreiss-p; monnier-c; orcel-j
huileriesafricaines,sochuileriesafricaines,Huileries africaines,Soc. des HUILERIES AFRICAINES,7,delsaux-p; hallet-a; mathon-e; rosa-e; ste-marie-g; toulemonde-l; van-de-velde-w
frsekong,kong,Nouvelle Cie frse de KONG,Compagnie française de Kong,7,bretigniere-m; callot-t; galula-j; katz-m; levy-g; mizraki-m; picanon-e
commercialeafricaine,niger,Commerciale Africaine,Compagnie du Niger français,7,deveaud-p; faure-a; gerard; leibosis-l; rouzaud-g; thube-a; wallerston
dabou,forestiereequatoriale,DABOU,Compagnie Forestière équatoriale,7,daudier-e; de-beaumont-j; de-rivaud-r; gregoire-sainte-marie-r; japhet-e; ph-langlois-berthelot; schoofs-m
etablissementscharlesperinaud,exportationcoloniale,Établissements Charles Périnaud,Société d'exportation coloniale,7,duvernet-h; duvernet-j; jacquin-j; jeanne-henriette-duvernet; martin-v; perrin-o; tardivat-h
hortala,sochuileriesafricaines,HORTALA,Soc. des HUILERIES AFRICAINES,6,delsaux-p; hallet-a; mathon-e; rosa-e; toulemonde-l; van-de-velde-w
anciensetablissementschpeyrissaccolonialeafrique,salinscapvert,Anciens Établissements Ch. Peyrissac et Cie (Cie coloniale de l'Afrique,Salins du Cap Vert,6,casteincau-e; davillier-j; gorgeu-m; gorgeu-s; guignard-e-edouard; peyrissac-l
africaine,eloka,L'Africaine,ELOKA,6,berton-a; brussel-j; dromel-p; lehideux-j; lehideux-p; thureau-dangin-p
africaine,afriquecongo,L'Africaine,Afrique et Congo,6,fourneau-a; guynet-w; lutscher-f; pierre-c; vigouroux-l; weber-j
commercialeouestafricain,ouestafricain,Société Commerciale de l'Ouest-Africain,Compagnie de l'Ouest-Africain français [Compagnie de l'Ouest-Africain français],6,angoulvant-g-gabriel; fatio-h; fontaine-l-lucien; gaisman-a; hans-o-ryff; jacquier-f
forestiereequatoriale,granddrewin,Compagnie Forestière équatoriale,GRAND-DREWIN,6,daudier-e; de-beaumont-j; de-rivaud-o; gregoire-sainte-marie-r; hallet-r; schoofs-m
alsaciennecoteivoire,culturesdiakandape,Société Alsacienne de la Côte d’Ivoire,Cultures de Diakandapé,6,bedouet-j; begouen-m; calvet-g; godet-r; massena-prince-d-essling-a; renoux-l
bamako,culturecotonniereniger,Société de Bamako,"Compagnie de Culture cotonnière du Niger, puis Compagnie générale du Niger",6,cahen-fuzier-e; herman-du-pasquier; hirsch-h; hirsch-m; level-e; villars-r
afriqueoccidentale,frseafriqueoccidentale,Cie française de l'Afrique occidentale,Cie frse de l'AFRIQUE OCCIDENTALE,6,barety-l; cazalet-e; dareste-p; maillat-h; pourriere-a; zarifi-p
automobilescoteafrique,briqueteriesbamako,Société des automobiles de la Côte d'Afrique,Briqueteries de Bamako,6,daroussin-j; ed-dujardin; guieysse-p; mollard-j; schurr-a; you-e
alsaciennecoteivoire,scieriesafricaines,Société Alsacienne de la Côte d’Ivoire,Compagnie des Scieries africaines,6,anthoine-f; bocquet-j; bricard-l; fourn-g; fousse-p; nemos-e
bobodioulasso,omniumroutierouestafricain,BOBO-DIOULASSO (,Omnium routier de l'Ouest africain,5,barasse-a; bouyssou-j; doumic-j; marguin-j; simon-g
anciensetablissementscarpotafricaineelectricite,salinscapvert,Anciens Établissements Carpot Cie africaine d'électricité,Salins du Cap Vert,5,casteincau-e; gorgeu-m; guignard-e-edouard; martin-c-charles; peyrissac-l
bordelaisecomptoirsafricains,comptoirsafricains,Compagnie Bordelaise des Comptoirs africains,Compagnie Générale des Comptoirs africains,5,calcat-f; calcat-f-fernand; delmas-p-philippe; levy-g; vezia-f
africaine,africaneasterntradecorporationltdroyalliverbuildingliverpool,L'Africaine,"African and Eastern Trade Corporation Ltd, Royal Liver Building, Liverpool",5,grey-w; hutchinson-h; nicholl-w; stuart-m; tunnicliffe-j
africaine,intercontinentaleentreprisesreunies,L'Africaine,Société Intercontinentale d'entreprises réunies,5,benedic-e; fondere-a; fourneau-a; guynet-w; vigouroux-l
comptoirsafricains,forestiereindenie,Compagnie Générale des Comptoirs africains,Compagnie Forestière de l'Indénié,5,calcat-f-fernand; callot-t; gompel-p; levy-g; mizraki-m
afrique,anciensetablissementsmplanteyafrique,L'Afrique française,anciens Établissements M. Plantey et Cie Cie générale de l'Afrique française,5,boussenot-g; delaquis-l; fontaine-a; plantey-j; plantey-m
