person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
nava-s,Nava,S. R. Nava; S.-R. Nava,2,2,2,administrateur,1901,1910,
l-f-puelma,L -F. Puelma,L -F. Puelma,1,1,1,administrateur,1901,1901,
arie-a,Arie,A. Arie,1,1,1,administrateur,1901,1901,
herrera-f,Herrera,F. Herrera,1,1,1,administrateur,1901,1901,
pinkas-j,Pinkas,J. Pinkas,1,1,1,administrateur,1901,1901,
l-m-sola,L.- M. Sola,L.- M. Sola,1,1,1,administrateur,1901,1901,
ubina,Ubina,Ubina,1,1,1,administrateur,1901,1901,
senechal-de-la-grange-e,Sénéchal de la Grange,E. Sénéchal de la Grange,1,1,1,administrateur,1910,1910,
puelma-l,Puelma,L. F. Puelma,1,1,1,administrateur,1910,1910,
sola-l,Sola,L. M. Sola,1,1,1,administrateur,1910,1910,
marijon-h,Marijon,H. Marijon,1,1,1,administrateur,1910,1910,
