person_id,company_id,n_observations,first_year,last_year,top_role,is_board_seat
ayme-j,africaineforestiereagricole,1,1951,1951,administrateur,1
de-beaumont-j,africaineforestiereagricole,1,1951,1951,administrateur,1
de-rivaud-r,africaineforestiereagricole,1,1951,1951,president,1
langlois-berthelot-p,africaineforestiereagricole,1,1951,1951,administrateur,1
michaux-r,africaineforestiereagricole,1,1951,1951,administrateur,1
roullet-e,africaineforestiereagricole,1,1951,1951,administrateur,1
roullet-g,africaineforestiereagricole,1,1951,1951,administrateur,1
vieljeux-c,africaineforestiereagricole,1,1951,1951,administrateur,1
wielemans-l,africaineforestiereagricole,1,1951,1951,administrateur,1
legrand,africaineindustrielleforestiere,1,1935,1935,administrateur,1
munich-j,africaineindustrielleforestiere,1,1935,1935,administrateur_delegue,1
munich-p,africaineindustrielleforestiere,1,1935,1935,president,1
dufaure-h,agricoleforestierecameroun,1,1951,1951,administrateur,1
dupont-r,agricoleforestierecameroun,1,1951,1951,president_directeur_general,1
eyrolles-r,agricoleforestierecameroun,1,1951,1951,administrateur,1
ottino-j,agricoleforestierecameroun,1,1951,1951,administrateur,1
ravaux-r,agricoleforestierecameroun,1,1951,1951,administrateur,1
gallet-j,bongolalokundjenyong,1,1948,1948,president,1
guimpier-l,bongolalokundjenyong,1,1948,1948,administrateur,1
guiraud-a,bongolalokundjenyong,1,1948,1948,directeur,0
tissot-h,bongolalokundjenyong,1,1948,1948,administrateur,1
toudet-f,bongolalokundjenyong,1,1948,1948,administrateur,1
artaud-a-andre,bongolalokundji,1,1951,1951,administrateur_delegue,1
gallet-j,bongolalokundji,1,1951,1951,president,1
rouquier-e,bongolalokundji,1,1951,1951,administrateur,1
tissot-h,bongolalokundji,1,1951,1951,administrateur,1
toudet-f,bongolalokundji,1,1951,1951,administrateur,1
zwang-r,bongolalokundji,1,1951,1951,administrateur,1
brasseries,brasseriescameroun,1,1953,1953,administrateur_delegue,1
butruille-g,brasseriescameroun,1,1953,1953,administrateur,1
curial-de-brevannes-a,brasseriescameroun,1,1953,1953,administrateur,1
curral-j,brasseriescameroun,1,1953,1953,administrateur,1
gaston-dreyfus-r,brasseriescameroun,1,1953,1953,president,1
glacieres-de-l-indochine,brasseriescameroun,1,1953,1953,administrateur_delegue,1
industrielles-du-cameroun,brasseriescameroun,1,1953,1953,administrateur,1
martin,brasseriescameroun,1,1953,1953,administrateur,1
mialaret-f,brasseriescameroun,1,1953,1953,administrateur,1
nicolas-c,brasseriescameroun,1,1953,1953,vice_president,1
palanque-l,brasseriescameroun,1,1953,1953,administrateur,1
adm-guimpier,caoutchoucscacaoscameroun,2,1945,1948,administrateur,1
angoulvant-g,caoutchoucscacaoscameroun,1,1929,1929,administrateur,1
auge-a,caoutchoucscacaoscameroun,1,1929,1929,administrateur,1
batsere-l,caoutchoucscacaoscameroun,2,1937,1940,administrateur,1
becker,caoutchoucscacaoscameroun,4,1929,1940,administrateur,1
bongrand-c,caoutchoucscacaoscameroun,1,1931,1931,administrateur,1
bonnemaison-p,caoutchoucscacaoscameroun,2,1937,1940,administrateur,1
bonnier-g,caoutchoucscacaoscameroun,2,1937,1940,administrateur,1
deschaumaget-j,caoutchoucscacaoscameroun,1,1948,1948,administrateur,1
dufoure-h,caoutchoucscacaoscameroun,1,1948,1948,administrateur,1
dupond-r,caoutchoucscacaoscameroun,1,1948,1948,president_directeur_general,1
fauchere-e,caoutchoucscacaoscameroun,1,1929,1929,administrateur,1
girardin,caoutchoucscacaoscameroun,1,1945,1945,administrateur,1
humarau-j,caoutchoucscacaoscameroun,2,1929,1931,administrateur,1
lacarre-a,caoutchoucscacaoscameroun,1,1931,1931,administrateur,1
michel-a,caoutchoucscacaoscameroun,2,1929,1931,administrateur,1
petitjean-j,caoutchoucscacaoscameroun,1,1945,1945,president,1
ravaux-r,caoutchoucscacaoscameroun,2,1937,1940,administrateur,1
ravilly-e,caoutchoucscacaoscameroun,1,1945,1945,administrateur,1
simon,caoutchoucscacaoscameroun,2,1937,1940,administrateur,1
toudet-f,caoutchoucscacaoscameroun,4,1929,1940,administrateur,1
benard-g,colonialedistributionenergieelectrique,1,1929,1929,administrateur,1
de-bondeli-e,colonialedistributionenergieelectrique,1,1934,1934,administrateur,1
de-neufville,colonialedistributionenergieelectrique,1,1929,1929,administrateur,1
derouet-m,colonialedistributionenergieelectrique,2,1934,1949,administrateur,1
fay-j,colonialedistributionenergieelectrique,4,1929,1949,administrateur,1
legrand-a-andre,colonialedistributionenergieelectrique,1,1929,1929,administrateur_delegue,1
munich-f,colonialedistributionenergieelectrique,1,1949,1949,administrateur,1
munich-j,colonialedistributionenergieelectrique,3,1929,1949,administrateur,1
munich-p,colonialedistributionenergieelectrique,3,1929,1949,administrateur_delegue,1
teissier-du-cros-e,colonialedistributionenergieelectrique,2,1929,1949,administrateur,1
tessier-du-cros-e,colonialedistributionenergieelectrique,1,1934,1934,administrateur,1
vernes-g,colonialedistributionenergieelectrique,1,1949,1949,administrateur,1
weiss-p-paul,colonialedistributionenergieelectrique,2,1929,1934,president,1
calcat-f,cotonnierenordcamerountchad,1,1935,1935,administrateur,1
delasalle-t,cotonnierenordcamerountchad,1,1928,1928,administrateur,1
delassalle-o,cotonnierenordcamerountchad,1,1928,1928,administrateur,1
