doc_id,company_key,company_name,member_key,name_clean,role,year,source_ref,sector,country,region
afrique-equatoriale-brasseries-du-cameroun-46e101,brasseriescameroun,Société anonyme des Brasseries du Cameroun,cherifienneparticipations,Société Chérifienne de participations,administrateur,1953,Annuaire Desfossés 1953,industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-brasseries-du-cameroun-46e101,brasseriescameroun,Société anonyme des Brasseries du Cameroun,exploitationsforestieres,Société d'exploitations forestières,administrateur,1953,Annuaire Desfossés 1953,industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-brasseries-du-cameroun-46e101,brasseriescameroun,Société anonyme des Brasseries du Cameroun,portrosario,Société du Port de Rosario,administrateur,1953,Annuaire Desfossés 1953,industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-brasseries-du-cameroun-46e101,brasseriescameroun,Société anonyme des Brasseries du Cameroun,denisfreres,Société Denis Frères,administrateur,1953,Annuaire Desfossés 1953,industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-cotonniere-du-nord-cameroun-4ec39b,cotonnierenordcamerountchad,Société Cotonnière du Nord-Cameroun et du Tchad,masquelier,Société Masquelier,administrateur,1928,"La Cote de la Bourse et de la banque, 5 janvier 1928",industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-cotonniere-du-nord-cameroun-4ec39b,cotonnierenordcamerountchad,Société Cotonnière du Nord-Cameroun et du Tchad,masquelier,Société Masquelier,administrateur,1928,"Cahiers coloniaux, Marseille, 14 mai 1928",industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-cotonniere-du-nord-cameroun-4ec39b,cotonnierenordcamerountchad,Société Cotonnière du Nord-Cameroun et du Tchad,etablissementsrtouron,Société des établissements R. Touron,administrateur,1928,"Cahiers coloniaux, Marseille, 14 mai 1928",industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-ets-joseph-mas-douala-173d5e,etablissementsjosephmas,Établissements Joseph Mas,etsmasquelierfils,Éts Masquelier fils,administrateur,1930,"Les Annales coloniales, 6 novembre 1930",Commerce,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-palmeraies-du-cameroun-cc616d,palmeraiescameroun,Compagnie des Palmeraies du Cameroun,banqueitalobelge,Banque italo-belge,administrateur,1929,"Les Documents politiques, mars 1929",industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-palmeraies-du-cameroun-cc616d,palmeraiescameroun,Compagnie des Palmeraies du Cameroun,petroles,Compagnie française des Pétroles,administrateur,1929,"Les Documents politiques, mars 1929",industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-palmeraies-du-cameroun-cc616d,palmeraiescameroun,Compagnie des Palmeraies du Cameroun,recherchesvenezuela,Société française de recherches au Venezuela,administrateur,1929,"Les Documents politiques, mars 1929",industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-palmeraies-du-cameroun-cc616d,palmeraiescameroun,Compagnie des Palmeraies du Cameroun,plantationscameroun,plantations du Cameroun,administrateur,1929,"Les Documents politiques, mars 1929",industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-palmeraies-du-cameroun-cc616d,palmeraiescameroun,Compagnie des Palmeraies du Cameroun,bamako,Société de Bamako,administrateur,1929,"Les Documents politiques, mars 1929",industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-palmeraies-du-cameroun-cc616d,palmeraiescameroun,Compagnie des Palmeraies du Cameroun,africaineculturesindustrielles,Compagnie africaine de cultures industrielles,administrateur,1929,"Les Documents politiques, mars 1929",industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
afrique-equatoriale-tabacs-du-cameroun-f6e80c,tabacscameroun,"Cie des Tabacs du Cameroun, puis Tabacs et plantations du Cameroun, puis Plantations de Nyombé-Penja",banqueitalobelge,Banque italo-belge,administrateur,1929,"Les Documents politiques, mars 1929",industries agro-alimentaires,Cameroun,Afrique equatoriale francaise
