company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
banqueindustriellechine,grandstravauxpekin,La Banque industrielle de Chine,Grands Travaux de Pékin,3,berthelot-a; chautard; deposes-chez-me-lavoignat-s
banqueindustriellechine,poursuitescontredirigeantsbanqueindustriellechine,La Banque industrielle de Chine,Les poursuites contre les dirigeants de la Banque industrielle de Chine,3,calary-de-lamaziere; chautard-p; espivent-de-la-villesboisnet-a
banqueindustriellechine,navigationfrancochinoise,La Banque industrielle de Chine,Compagnie de navigation franco-chinoise,2,calary-de-lamaziere; gallusser-a
banqueindustriellechine,pekinsyndicateltd,La Banque industrielle de Chine,The Pekin Syndicate Ltd,2,berthelot-a; kahn-g
banquefrancochinoisecommerceindustrie,banqueindustriellechine,Banque franco-chinoise pour le commerce et l'industrie,La Banque industrielle de Chine,1,francois
grandstravauxpekin,pekinsyndicateltd,Grands Travaux de Pékin,The Pekin Syndicate Ltd,1,berthelot-a
banqueindustriellechine,extremeorient,La Banque industrielle de Chine,Compagnie générale d’Extrême-Orient,1,ne-serait-il-pas-c
navigationfrancochinoise,poursuitescontredirigeantsbanqueindustriellechine,Compagnie de navigation franco-chinoise,Les poursuites contre les dirigeants de la Banque industrielle de Chine,1,calary-de-lamaziere
grandstravauxpekin,poursuitescontredirigeantsbanqueindustriellechine,Grands Travaux de Pékin,Les poursuites contre les dirigeants de la Banque industrielle de Chine,1,meilhan-a
extremeorient,olivier,Compagnie générale d’Extrême-Orient,Olivier & Cie,1,olivier
pekinsyndicateltd,tramwayseclairageelectriquesshanghai,The Pekin Syndicate Ltd,Compagnie française de Tramways et d’éclairage électriques de Shanghaï,1,francqui-e
