company_id_1,company_id_2,period,weight,shared_directors
banqueindustriellechine,poursuitescontredirigeantsbanqueindustriellechine,1914_1929,4,calary-de-lamaziere; chautard-p; espivent-de-la-villesboisnet-a; perchot-j
banqueindustriellechine,grandstravauxpekin,1914_1929,2,berthelot-a; chautard
banqueindustriellechine,navigationfrancochinoise,1914_1929,2,calary-de-lamaziere; gallusser-a
banqueindustriellechine,pekinsyndicateltd,1914_1929,2,berthelot-a; kahn-g
grandstravauxpekin,pekinsyndicateltd,1914_1929,1,berthelot-a
banqueindustriellechine,extremeorient,1914_1929,1,ne-serait-il-pas-c
navigationfrancochinoise,poursuitescontredirigeantsbanqueindustriellechine,1914_1929,1,calary-de-lamaziere
grandstravauxpekin,poursuitescontredirigeantsbanqueindustriellechine,1914_1929,1,meilhan-a
extremeorient,olivier,1914_1929,1,olivier
pekinsyndicateltd,pekinsyndicateoupekingsyndicate,1930_1944,4,arnavon-j; jadot-c; nathan-w; woodroffe-c
