person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
berthelot-a,Berthelot,A. Berthelot; André Berthelot,3,3,5,administrateur,1914,1920,Sociétés françaises ou à participation française
francqui-e,Francqui,E. Francqui; Émile Francqui,3,3,5,administrateur,1906,1931,Sociétés françaises ou à participation française
woodroffe-c,Woodroffe,C.-R. Woodroffe,2,2,8,administrateur,1929,1953,Sociétés françaises ou à participation française
arnavon-j,Arnavon,J. Arnavon,2,2,6,administrateur,1931,1948,Sociétés françaises ou à participation française
nathan-w,Nathan,W.-S. Nathan,2,2,4,administrateur,1927,1933,Sociétés françaises ou à participation française
jadot-c,Jadot,C.-B.-J. Jadot,2,2,4,administrateur,1927,1933,Sociétés françaises ou à participation française
francois,François,François,2,2,3,administrateur,1931,1948,Sociétés françaises ou à participation française
gallusser-a,Gallusser,A. Gallusser; Gallusser,2,2,3,administrateur,1915,1919,Sociétés françaises ou à participation française
chautard-p,Chautard,P. Chautard; Paul Chautard,2,2,3,administrateur,1915,1923,Sociétés françaises ou à participation française
kahn-g,Kahn,G. Kahn,2,2,3,administrateur,1915,1929,Sociétés françaises ou à participation française
perchot-j,Perchot,J. Perchot; Justin Perchot,2,2,3,administrateur,1920,1923,Sociétés françaises ou à participation française
calary-de-lamaziere,Calary de Lamazière,Calary de Lamazière,2,2,3,administrateur,1919,1923,Sociétés françaises ou à participation française
armstrong-o,Armstrong,O.-C. Armstrong,2,2,3,administrateur,1927,1931,Sociétés françaises ou à participation française
fitzgerald-b,Fitzgerald,B.-J.-H. Fitzgerald,2,2,3,administrateur,1927,1931,Sociétés françaises ou à participation française
chautard,Chautard,Chautard,2,2,2,administrateur,1914,1915,Sociétés françaises ou à participation française
ne-serait-il-pas-c,ne serait-il pas,Clémentel ne serait-il pas,2,2,2,administrateur,1917,1917,Sociétés françaises ou à participation française
henry-e,Henry,Eugène Henry,2,2,2,vice_president,1920,1923,Sociétés françaises ou à participation française
de-cerenville-r,de Cérenville,René de Cérenville,2,2,2,administrateur,1920,1923,Sociétés françaises ou à participation française
espivent-de-la-villesboisnet-a,Espivent de la Villesboisnet,Arthur Espivent de la Villesboisnet; Espivent de la Villesboisnet,2,2,2,administrateur,1920,1923,Sociétés françaises ou à participation française
frezouls-a,Frezouls,A. Frezouls; Antonin Frézouls,2,2,2,administrateur,1920,1923,Sociétés françaises ou à participation française
meilhan-a,Meilhan,Meilhan,2,2,2,administrateur,1914,1923,Sociétés françaises ou à participation française
olivier,Olivier,Olivier,2,2,2,administrateur,1917,1924,Sociétés françaises ou à participation française
oudot-e,Oudot,E. Oudot; Émile OUDOT; Émile Oudot,1,1,5,president,1940,1948,Sociétés françaises ou à participation française
callens-a,Callens,A. Callens,1,1,5,administrateur,1933,1948,Sociétés françaises ou à participation française
jadot-l,Jadot,L. Jadot,1,1,5,administrateur,1925,1945,Sociétés françaises ou à participation française
yung-ming-c,Yung Ming,Chien Yung Ming,1,1,4,president,1940,1948,Sociétés françaises ou à participation française
atthalin-a,Atthalin,A. Atthalin; André ATTHALIN,1,1,4,president,1940,1947,Sociétés françaises ou à participation française
pannetier,Pannetier,Pannetier,1,1,4,administrateur,1940,1948,Sociétés françaises ou à participation française
soong-t,Soong,T. V. Soong; T.A. Soong,1,1,4,administrateur,1940,1948,Sociétés françaises ou à participation française
wehrung-c,Wehrung,C. Wehrung; Ch. Wehrung,1,1,4,administrateur,1906,1931,Sociétés françaises ou à participation française
lienart-p,Liénart,P. Liénart; Pierre Liénart,1,1,4,administrateur,1906,1931,Sociétés françaises ou à participation française
luquet-a,Luquet,A. Luquet,1,1,4,administrateur,1937,1948,Sociétés françaises ou à participation française
e-p-laurent-j,E. P. Laurent,Jean E. P. Laurent,1,1,3,administrateur,1940,1948,Sociétés françaises ou à participation française
yu-ying-l,Yu Ying,Li Yu Ying,1,1,3,administrateur,1940,1948,Sociétés françaises ou à participation française
marbeau,Marbeau,Marbeau,1,1,3,administrateur,1940,1948,Sociétés françaises ou à participation française
colas-e,Colas,E. Colas; Eugène Colas,1,1,3,administrateur,1931,1933,Sociétés françaises ou à participation française
lejeune-h,Lejeune,H. Lejeune,1,1,3,administrateur,1920,1925,Sociétés françaises ou à participation française
fitzgerald-c-b-b,Fitzgerald C. B,B.-J.-H. Fitzgerald C. B; B.J.H. Fitzgerald C. B,1,1,3,administrateur,1920,1925,Sociétés françaises ou à participation française
heybourn-p,Heybourn,P. F. Heybourn; P.-F. Heybourn,1,1,3,administrateur,1923,1927,Sociétés françaises ou à participation française
of-rothes-e,of Rothes,Earl of Rothes,1,1,3,administrateur,1933,1945,Sociétés françaises ou à participation française
jadot-j,Jadot,J. Jadot,1,1,3,administrateur,1937,1945,Sociétés françaises ou à participation française
courcelle-j,Courcelle,J. Courcelle,1,1,3,administrateur,1925,1937,Sociétés françaises ou à participation française
baudouin-p,Baudouin,P. Baudouin,1,1,3,administrateur,1937,1945,Sociétés françaises ou à participation française
baviere-p,Bavière,P. Bavière,1,1,3,president,1940,1948,Sociétés françaises ou à participation française
aubrun-j,Aubrun,J. Aubrun,1,1,3,administrateur,1940,1948,Sociétés françaises ou à participation française
fou-tcheng-l,Fou Tcheng,Liou Fou Tcheng,1,1,2,administrateur,1940,1947,Sociétés françaises ou à participation française
bussy-a-andre,Bussy,André BUSSY; André Bussy,1,1,2,administrateur,1940,1943,Sociétés françaises ou à participation française
de-flers-f,de Flers,François de FLERS; François de Flers,1,1,2,administrateur,1940,1943,Sociétés françaises ou à participation française
bussy,Bussy,Bussy,1,1,2,administrateur,1945,1948,Sociétés françaises ou à participation française
liu-c,Liu,C.S. Liu,1,1,2,administrateur,1945,1948,Sociétés françaises ou à participation française
maspero-g,Maspero,G. Maspero,1,1,2,administrateur,1931,1933,Sociétés françaises ou à participation française
duval-a,Duval,A. Duval,1,1,2,administrateur,1931,1933,Sociétés françaises ou à participation française
gautier-j,Gautier,J. Gautier,1,1,2,administrateur,1931,1933,Sociétés françaises ou à participation française
lambert-l,Lambert,L. Lambert,1,1,2,administrateur,1931,1933,Sociétés françaises ou à participation française
mazet-e,Mazet,E. Mazet,1,1,2,administrateur,1931,1933,Sociétés françaises ou à participation française
wen-shi-s,Wen Shi,Siao Wen Shi,1,1,2,administrateur,1931,1933,Sociétés françaises ou à participation française
doyen-h,Doyen,H. Doyen; Henri Doyen,1,1,2,administrateur,1924,1924,Sociétés françaises ou à participation française
engel-a,Engel,A. Engel; Albert Engel,1,1,2,administrateur,1924,1924,Sociétés françaises ou à participation française
furiet-c,Furiet,C. Furiet; Charles Furiet,1,1,2,administrateur,1924,1924,Sociétés françaises ou à participation française
szarvady-g,Szarvady,G. Szarvady; Geza Szarvady,1,1,2,administrateur,1924,1924,Sociétés françaises ou à participation française
vigne-j,Vigne,J. Vigne; Joseph Vigne,1,1,2,administrateur,1924,1924,Sociétés françaises ou à participation française
gimon-c,Gimon,Charles Gimon,1,1,2,administrateur,1925,1940,Sociétés françaises ou à participation française
davis-awdry-r,Davis Awdry,R. Davis Awdry,1,1,2,administrateur,1912,1914,Sociétés françaises ou à participation française
anstruther-h,Anstruther,H.T. Anstruther,1,1,2,administrateur,1912,1914,Sociétés françaises ou à participation française
