person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
guynet-w,Guynet,W. Guynet; Willam Guynet; William Guynet,5,5,7,administrateur,1899,1930,Sociétés commerciales
david,David,David,4,4,7,administrateur,1899,1938,Agro-alimentaire; Sociétés commerciales
jacta-g,Jacta,G. Jacta; Georges Jacta; Jacta,3,3,7,administrateur,1899,1925,Agro-alimentaire; Sociétés commerciales
decourcelle-e,Decourcelle,Decourcelle,3,3,6,administrateur,1899,1925,Agro-alimentaire; Sociétés commerciales
desbriere-r,Desbrière,Robert Desbrière,3,3,5,administrateur,1854,1900,Sociétés commerciales
superville-m,Superville,Maurice Superville; Superville,3,3,5,administrateur,1906,1951,Mines
serviere-l,Servière,Louis Servière,3,3,4,administrateur,1930,1938,Agro-alimentaire; Sociétés diverses
motte-a,Motte,A. Motte; Albert Motte,3,3,4,administrateur,1899,1910,Sociétés commerciales
cousin-a,Cousin,Albert Cousin,3,3,4,president,1899,1906,Mines; Sociétés commerciales
ritaine-descamps-j,Ritaine-Descamps,Jules Ritaine-Descamps,3,3,3,administrateur,1885,1900,Agro-alimentaire; Sociétés commerciales
desbriere,Desbrière,Desbrière,3,3,3,administrateur,1899,1900,Sociétés commerciales
brack-g,Brack,G. Brack; Georges Brack,2,2,6,administrateur,1900,1923,Sociétés commerciales
ponche-e,Ponche,E. Ponche; Émile Ponche,2,2,6,administrateur,1900,1922,Sociétés commerciales
gillain-p,Gillain,Gillain; Paul Gillain,2,2,5,administrateur,1899,1938,Agro-alimentaire; Sociétés commerciales
nicol-f,Nicol,François Nicol,2,2,5,administrateur,1854,1937,Sociétés commerciales
trechot-h,Tréchot,H. Tréchot; Henri Tréchot,2,2,5,administrateur,1900,1922,Sociétés commerciales
beulque-g,Beulque,Beulque; G. Beulque; Gabriel Beulque,2,2,5,administrateur,1902,1925,Mines; Sociétés commerciales
hallet-a,Hallet,Adrien Hallet,2,2,5,administrateur,1901,1925,Sociétés commerciales
enders-a,Enders,A. Enders; Albert Enders,2,2,4,administrateur,1928,1951,Mines
trechot-f,Tréchot,F. Tréchot; François Tréchot,2,2,4,administrateur,1900,1922,Sociétés commerciales
modiano-a,Modiano,A. Modiano; Albert Modiano,2,2,4,administrateur,1939,1953,Mines; Sociétés diverses
richmond-j,Richmond,J. Richmond; Julien Richmond,2,2,4,administrateur,1901,1910,Sociétés commerciales
