company_id,name,sectors,n_ties,n_directors,first_year,last_year
cheminferfrancoethiopiendjiboutiaddisabeba,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,Documents généraux; Sociétés,228,44,1912,1953
imperialecheminsferethiopiens,Compagnie Impériale des Chemins de fer éthiopiens,Sociétés,32,20,1898,1906
industrielledjibouti,Société Industrielle de Djibouti,Documents généraux; Sociétés,28,17,1899,1937
cotesomalis,Compagnie française de la Côte des Somalis,Sociétés,26,17,1919,1925
afriqueorientale,Compagnie de l'Afrique Orientale,Documents généraux; Sociétés,39,15,1914,1951
commercialeabyssinie,Société Commerciale d’Abyssinie,Documents généraux; Sociétés,22,13,1920,1922
maritimeafriqueorientale,Compagnie Maritime de l'Afrique Orientale,Documents généraux; Sociétés,32,12,1922,1951
salinesdjibouti,Société des salines de Djibouti,Documents généraux,11,11,1926,1926
salinsmidisalinesdjibouti,Cie des Salins du Midi et des Salines de Djibouti,Documents généraux,11,11,1951,1951
approvisionnementsgenerauxdjibouti,Société d’Approvisionnements généraux à Djibouti,Documents généraux; Sociétés,19,10,1921,1926
afriqueorientalemaritimecommerciale,Cie de l'AFRIQUE ORIENTALE MARITIME ET COMMERCIALE,Sociétés,8,8,1925,1925
abyssinie,Compagnie Générale d’Abyssinie,Documents généraux,13,7,1922,1926
salinesdjiboutisfaxmadagascar,"Salines de Djibouti, Sfax et Madagascar",Documents généraux,7,7,1937,1937
somalia,Compagnie Somalia,Sociétés,6,6,1928,1928
navigationmerrouge,Compagnie française de Navigation en mer Rouge,Sociétés,6,6,1924,1924
porrentruy,PORRENTRUY,Documents généraux,6,5,1926,1926
comptoirdjibouti,Comptoir de Djibouti,Sociétés,6,5,1899,1925
petrolesdjibouti,Société anonyme des pétroles de Djibouti,Documents généraux,5,5,1926,1926
africainecommercerepresentation,Société africaine de commerce et de représentation,Documents généraux,5,4,1937,1937
creditfoncierestafricain,Crédit foncier de l'Est africain,Documents généraux,5,4,1951,1951
francoethiopienne,Franco-Ethiopienne,Documents généraux,3,3,1926,1926
minassian,Minassian et Cie,Documents généraux,2,2,1926,1926
creditindustrielafricain,Crédit industriel africain,Documents généraux,1,1,1937,1937
ancienscomptoirsries,Anciens Comptoirs Riès,Documents généraux,3,0,1951,1951
distributionproduitspharmaceutiquesmerrouge,Sté de distribution de produits pharmaceutiques de la mer Rouge,Documents généraux,1,0,1926,1926
