person_id,company_id,n_observations,first_year,last_year,top_role,is_board_seat
allain-m,abyssinie,1,1926,1926,administrateur,1
bourel-h,abyssinie,2,1922,1926,administrateur,1
ce-allain,abyssinie,1,1922,1922,administrateur,1
de-brommer-f,abyssinie,2,1922,1926,administrateur,1
de-la-chesnais-e,abyssinie,1,1926,1926,administrateur,1
dureault-h,abyssinie,1,1926,1926,administrateur,1
fdt-hplm,abyssinie,1,1922,1922,administrateur,1
fernandez-g,abyssinie,2,1922,1926,administrateur,1
fille-de-francisque-bonnardel,abyssinie,1,1922,1922,administrateur,1
van-luppen-j,abyssinie,2,1922,1926,president,1
lemaignen-r,africainecommercerepresentation,1,1937,1937,administrateur,1
limongelli-e,africainecommercerepresentation,1,1937,1937,administrateur,1
prunier-c,africainecommercerepresentation,2,1937,1937,administrateur,1
savon-l,africainecommercerepresentation,1,1937,1937,administrateur,1
bouffe-g,afriqueorientale,4,1920,1937,administrateur,1
f-gorchs-chacou,afriqueorientale,1,1922,1922,vice_president,1
gimon-c,afriqueorientale,5,1914,1937,administrateur,1
gorchs-chacou-f,afriqueorientale,2,1920,1926,vice_president,1
hachette-r,afriqueorientale,4,1920,1937,administrateur,1
hallot,afriqueorientale,2,1926,1937,administrateur,1
lamotte,afriqueorientale,1,1951,1951,vice_president,1
lamotte-m,afriqueorientale,2,1926,1937,vice_president,1
lemaignen,afriqueorientale,1,1926,1926,administrateur,1
marceron-m,afriqueorientale,1,1926,1926,administrateur,1
michel-cote-c,afriqueorientale,5,1920,1951,president,1
moulin-a,afriqueorientale,1,1937,1937,administrateur,1
moulin-p,afriqueorientale,3,1920,1926,administrateur,1
perben-l,afriqueorientale,2,1926,1937,administrateur,1
r-goury-du-roslan,afriqueorientale,1,1951,1951,vice_president,1
senn-o,afriqueorientale,4,1920,1937,administrateur,1
cote-c,afriqueorientalemaritimecommerciale,1,1925,1925,president,1
gimon-c,afriqueorientalemaritimecommerciale,1,1925,1925,administrateur,1
gorchs-chacou-f,afriqueorientalemaritimecommerciale,1,1925,1925,vice_president,1
hachette-r,afriqueorientalemaritimecommerciale,1,1925,1925,administrateur,1
moulin-p,afriqueorientalemaritimecommerciale,1,1925,1925,administrateur,1
rouffe-g,afriqueorientalemaritimecommerciale,1,1925,1925,administrateur,1
senn-o,afriqueorientalemaritimecommerciale,1,1925,1925,administrateur,1
transit-a-djibouti,afriqueorientalemaritimecommerciale,1,1925,1925,administrateur,1
ries-b,ancienscomptoirsries,1,1951,1951,gerant,0
ries-m,ancienscomptoirsries,1,1951,1951,gerant,0
ries-p,ancienscomptoirsries,1,1951,1951,gerant,0
coubeche-a,approvisionnementsgenerauxdjibouti,2,1922,1926,administrateur,1
gimon-c,approvisionnementsgenerauxdjibouti,4,1921,1926,administrateur,1
gorchs-chacou-f,approvisionnementsgenerauxdjibouti,1,1926,1926,administrateur,1
goubeche-a,approvisionnementsgenerauxdjibouti,1,1921,1921,administrateur,1
hachette-r,approvisionnementsgenerauxdjibouti,4,1921,1926,administrateur,1
michel-cote-c,approvisionnementsgenerauxdjibouti,1,1926,1926,president,1
philippar-g,approvisionnementsgenerauxdjibouti,1,1926,1926,vice_president,1
pilliard-m,approvisionnementsgenerauxdjibouti,1,1926,1926,administrateur,1
poggioli-a,approvisionnementsgenerauxdjibouti,3,1921,1926,administrateur,1
roussel-f,approvisionnementsgenerauxdjibouti,1,1926,1926,administrateur,1
b-robaglia,cheminferfrancoethiopiendjiboutiaddisabeba,2,1922,1922,administrateur,1
berthelier,cheminferfrancoethiopiendjiboutiaddisabeba,2,1922,1922,administrateur,1
berthelier-f,cheminferfrancoethiopiendjiboutiaddisabeba,10,1914,1937,administrateur,1
berthelier-p,cheminferfrancoethiopiendjiboutiaddisabeba,2,1937,1940,administrateur,1
besson-h,cheminferfrancoethiopiendjiboutiaddisabeba,1,1933,1933,commissaire_aux_comptes,0
bevierre-h,cheminferfrancoethiopiendjiboutiaddisabeba,2,1937,1940,administrateur,1
bodin-a,cheminferfrancoethiopiendjiboutiaddisabeba,4,1948,1953,administrateur,1
borduge-m,cheminferfrancoethiopiendjiboutiaddisabeba,6,1940,1953,president,1
boucard-m,cheminferfrancoethiopiendjiboutiaddisabeba,4,1917,1922,administrateur,1
boyer,cheminferfrancoethiopiendjiboutiaddisabeba,7,1917,1933,administrateur,1
boyer-e,cheminferfrancoethiopiendjiboutiaddisabeba,1,1937,1937,vice_president,1
boyer-h,cheminferfrancoethiopiendjiboutiaddisabeba,7,1922,1945,administrateur,1
carraby-c,cheminferfrancoethiopiendjiboutiaddisabeba,2,1912,1914,administrateur,1
dugardin,cheminferfrancoethiopiendjiboutiaddisabeba,14,1925,1953,administrateur,1
einhorn-s,cheminferfrancoethiopiendjiboutiaddisabeba,7,1912,1925,administrateur,1
famin,cheminferfrancoethiopiendjiboutiaddisabeba,4,1912,1920,administrateur,1
fassica-a,cheminferfrancoethiopiendjiboutiaddisabeba,1,1927,1927,administrateur,1
fassica-apte-mikael-a,cheminferfrancoethiopiendjiboutiaddisabeba,3,1925,1931,administrateur,1
general-famin-i,cheminferfrancoethiopiendjiboutiaddisabeba,1,1922,1922,president,1
gerbal-a,cheminferfrancoethiopiendjiboutiaddisabeba,1,1945,1945,administrateur,1
getten,cheminferfrancoethiopiendjiboutiaddisabeba,10,1917,1933,administrateur,1
getten-p,cheminferfrancoethiopiendjiboutiaddisabeba,8,1937,1953,administrateur,1
haile-mariam,cheminferfrancoethiopiendjiboutiaddisabeba,5,1912,1925,administrateur,1
henrion,cheminferfrancoethiopiendjiboutiaddisabeba,1,1933,1933,commissaire_aux_comptes,0
homberg-o,cheminferfrancoethiopiendjiboutiaddisabeba,11,1912,1933,administrateur,1
hotre,cheminferfrancoethiopiendjiboutiaddisabeba,1,1912,1912,administrateur,1
j-frederic-bloch-laine,cheminferfrancoethiopiendjiboutiaddisabeba,2,1948,1951,administrateur,1
j-naud,cheminferfrancoethiopiendjiboutiaddisabeba,2,1922,1922,administrateur,1
j-raindre,cheminferfrancoethiopiendjiboutiaddisabeba,2,1922,1922,administrateur,1
krantz-c,cheminferfrancoethiopiendjiboutiaddisabeba,1,1917,1917,administrateur,1
lallemand-c,cheminferfrancoethiopiendjiboutiaddisabeba,5,1929,1937,administrateur,1
lanino-e,cheminferfrancoethiopiendjiboutiaddisabeba,8,1925,1940,administrateur,1
leclerc-du-sablon-j,cheminferfrancoethiopiendjiboutiaddisabeba,5,1945,1953,administrateur,1
meunier,cheminferfrancoethiopiendjiboutiaddisabeba,4,1912,1920,administrateur,1
meyer-a,cheminferfrancoethiopiendjiboutiaddisabeba,3,1937,1940,administrateur,1
michel-cote-c,cheminferfrancoethiopiendjiboutiaddisabeba,18,1917,1953,administrateur,1
mikael-a,cheminferfrancoethiopiendjiboutiaddisabeba,1,1927,1927,administrateur,1
minost-e,cheminferfrancoethiopiendjiboutiaddisabeba,4,1948,1953,administrateur,1
naud-j,cheminferfrancoethiopiendjiboutiaddisabeba,15,1920,1953,administrateur,1
raindre-j,cheminferfrancoethiopiendjiboutiaddisabeba,8,1912,1931,administrateur,1
robaglia-b,cheminferfrancoethiopiendjiboutiaddisabeba,8,1925,1940,administrateur,1
roume-e,cheminferfrancoethiopiendjiboutiaddisabeba,2,1912,1914,administrateur,1
tagagne-t,cheminferfrancoethiopiendjiboutiaddisabeba,5,1933,1948,administrateur,1
tasfae-tagagne-a,cheminferfrancoethiopiendjiboutiaddisabeba,1,1937,1937,administrateur,1
wascat-g,cheminferfrancoethiopiendjiboutiaddisabeba,1,1953,1953,administrateur,1
wescat-g,cheminferfrancoethiopiendjiboutiaddisabeba,2,1945,1948,administrateur,1
wibrate-l,cheminferfrancoethiopiendjiboutiaddisabeba,1,1937,1937,administrateur,1
wibratte-l,cheminferfrancoethiopiendjiboutiaddisabeba,11,1925,1953,administrateur,1
boussac,commercialeabyssinie,3,1920,1922,administrateur,1
dewavrin-h,commercialeabyssinie,3,1920,1922,administrateur,1
