doc_id,company_key,company_name,person_id,name_clean,surname,given,role,year,period,is_board_seat,source_ref,annotation,sector,country,region,anchor_type,trigger,member_raw
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,dal-piaz-j,J. Dal-Piaz,Dal-Piaz,J.,president,1922,1914_1929,1,Annuaire des entreprises coloniales,Cie gale transatl.,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,MM. J. Dal-Piaz [Cie gale transatl.]
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,gharb,Gharb,Gharb,,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,Gharb
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,khlot,Khlot,Khlot,,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,Khlot
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,paris-g,Glacières Paris],Paris],Glacières,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,Glacières Paris]
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,blanchet,Blanchet,Blanchet,,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,Blanchet
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,bq-de-syrie-g,Giraud [Bq de Syrie,[Bq de Syrie,Giraud,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,Hubert,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,[Hubert] Giraud [Bq de Syrie
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,paquet,Paquet,Paquet,,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,Paquet
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,sgtm,SGTM…],SGTM…],,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,SGTM…]
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,gravier,Gravier,Gravier,,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,Mixte,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,Gravier [Mixte]
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,mallen-e,E. Mallen,Mallen,E.,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,0 /xx,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,E. Mallen [0 /xx]
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,estier-h,H. Estier,Estier,H.,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,LUCIA,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,H. Estier [LUCIA]
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,fr-estier,Fr. Estier,Fr. Estier,,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,LUCIA,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,Fr. Estier [LUCIA]
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,zafiropulo-d,D. Zafiropulo,Zafiropulo,D.,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,D. Zafiropulo
antilles-guyane-aec-1922-antilles-1c51af,entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,d-estienne,d'Estienne,d'Estienne,,administrateur,1922,1914_1929,1,Annuaire des entreprises coloniales,,Documentation générale,Guadeloupe et Martinique,Antilles-Guyane,numbered_entry,conseil_annuaire,comte d'Estienne
