company_id,name,sectors,n_ties,n_directors,first_year,last_year
franconeerlandaiseculturecommerce,Société Franco-néerlandaise de culture et de commerce,Plantations à participation française,110,31,1910,1953
tapanoelie,Tapanoëlie,Plantations à participation française,87,31,1914,1953
plantationscaoutchoucsumatra,Société des Plantations de caoutchouc de Sumatra,Plantations à participation française,78,24,1912,1948
kalitengah,Kalitengah,Plantations à participation française,62,20,1917,1953
culturepanoulisan,Société de culture de Panou-Lisan,Plantations à participation française,57,19,1927,1953
pacouda,Pacouda,Plantations à participation française,60,18,1917,1953
caoutchoucsiboga,Caoutchouc de Siboga,Plantations à participation française,40,14,1917,1948
tamiangrubber,Tamiang Rubber,Plantations à participation française,21,14,1912,1948
nieuwtjisalak,Nieuw Tjisalak,Plantations à participation française,38,13,1925,1953
culturefrancojavanaise,Société de Culture franco-javanaise,Plantations à participation française,18,13,1917,1933
easterninternationalrubberproducetrustltd,The Eastern International Rubber and Produce Trust Ltd,Plantations à participation française,13,13,1910,1935
belgischnederlandschecultuurmaatschappij,Belgisch-Nederlandsche Cultuur Maatschappij,Plantations à participation française,9,9,1920,1920
sennahrubber,Sennah Rubber,Plantations à participation française,18,8,1937,1953
algemeenebelgischjavaschcultuurmaatschappij,Algemeene Belgisch Javasch Cultuur Maatschappij,Plantations à participation française,8,8,1920,1920
plantationsdjember,Plantations de Djember,Plantations à participation française,16,7,1920,1953
franconeerlandaiseexploitationscoloniales,Société Franco-néerlandaise d'exploitations coloniales,Plantations à participation française,7,7,,
culturepacouda,Société de culture de Pacouda,Plantations à participation française,6,6,1911,1911
amsterdamrubber,Amsterdam Rubber,Plantations à participation française,4,4,1937,1937
culturecaoutchouckalitengah,Société de culture de caoutchouc Kalitengah,Plantations à participation française,1,1,1911,1911
