company_key,company_name,attribute,value,year,source_ref,doc_id
rhumspurs,Compagnie des Rhums purs,head_office,"est à Paris, 43, rue de Naples",1922,"La Journée industrielle , 12 janvier 1922",antilles-guyane-rhums-purs-371b10
rhumspurs,Compagnie des Rhums purs,capital,2.000.000 francs,1929,"Le Journal des finances, 13 septembre 1929",antilles-guyane-rhums-purs-371b10
rhumspurs,Compagnie des Rhums purs,head_office,Paris,1929,"Le Journal des finances, 13 septembre 1929",antilles-guyane-rhums-purs-371b10
rhumspurs,Compagnie des Rhums purs,head_office,"de la société est, à Paris, 43, rue de Naples, et le conseil d'administration se",1930,"Le Petit Bleu, 6 février 1930",antilles-guyane-rhums-purs-371b10
sucreriescoloniales,Sucreries coloniales,head_office,"de la société est à Paris, 10, rue de la Pépinière",1920,"La Journée industrielle , 18 décembre 1920",antilles-guyane-sucreries-coloniales-82728f
sucreriescoloniales,Sucreries coloniales,head_office,"Paris, 10",1920,"Cote de la Bourse et de la banque, 28 décembre 1920",antilles-guyane-sucreries-coloniales-82728f
sucreriescoloniales,Sucreries coloniales,head_office,"est à Paris, 43, rue de Naples, réunis",1923,"La Journée industrielle , 14 juin 1923",antilles-guyane-sucreries-coloniales-82728f
sucreriescoloniales,Sucreries coloniales,capital,600.000 fr.,1925,"La Journée industrielle, 4 août 1925",antilles-guyane-sucreries-coloniales-82728f
sucreriescoloniales,Sucreries coloniales,head_office,"est à Paris, 43, rue de Naples",1925,"La Journée industrielle, 4 août 1925",antilles-guyane-sucreries-coloniales-82728f
sucreriescoloniales,Sucreries coloniales,founded_date,1920-11-16,1927,"Le Journal des finances, 28 janvier 1927",antilles-guyane-sucreries-coloniales-82728f
sucreriescoloniales,Sucreries coloniales,head_office,"43, rue de Naples, à Paris",1929,"Le Journal des finances, 13 septembre 1929",antilles-guyane-sucreries-coloniales-82728f
sucreriescoloniales,Sucreries coloniales,capital,30.000.000 francs,1929,"L’Économiste parlementaire, 15 décembre 1929",antilles-guyane-sucreries-coloniales-82728f
sucreriescoloniales,Sucreries coloniales,capital,36 millions francs,1946,"L’Événement, 13 avril 1946",antilles-guyane-sucreries-coloniales-82728f
banquereunion,Banque de la Réunion,head_office,SAINT-DENIS (Réunion),1922,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1922-reunion-892c62
bourbonnaisecredit,Société Bourbonnaise de crédit,head_office,SAINT-DENIS (Réunion),1922,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1922-reunion-892c62
francobourbonnaise,Sté franco-bourbonnaise,capital,110.000 fr.,1922,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1922-reunion-892c62
colonialeindustriellecommerciale,"Cie coloniale, industrielle et commerciale",founded_date,1922-02-22,1926,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1926-reunion-8d9ba5
bourbonnaiseimportationexportation,Société bourbonnaise d'importation et d'exportation,head_office,Saint-DENIS (Réunion),1926,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1926-reunion-8d9ba5
francobourbonnaise,Société franco-bourbonnaise,capital,110.000 fr.,1926,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1926-reunion-8d9ba5
parisbourbondeveloppementrelationsentre,Paris-Bourbon (Société anon. pour le développement des relations entre la,capital,500.000 fr.,1937,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1937-reunion-b62875
mauricesamatsaintdenis,"Maurice Samat et Cie, SAINT-DENIS",capital,500.000 fr.,1937,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1937-reunion-b62875
mauricesamatsaintdenis,"Maurice Samat et Cie, SAINT-DENIS",head_office,Saint-,1937,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1937-reunion-b62875
banquereunion,Banque de la Réunion,head_office,SAINT-DENIS (Réunion),1951,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1951-reunion-e87d43
agencecentraleparis,Agence centrale à PARIS,founded_date,1849-04-30,1951,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1951-reunion-e87d43
agencecentraleparis,Agence centrale à PARIS,capital,20 millions fr.,1951,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1951-reunion-e87d43
saintdenis,SAINT-DENIS,capital,25 millions fr.,1951,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1951-reunion-e87d43
energieelectriquereunion,Énergie électrique de la Réunion,founded_date,1950-01-27,1951,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1951-reunion-e87d43
energieelectriquereunion,Énergie électrique de la Réunion,capital,100 millions fr.,1951,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1951-reunion-e87d43
energieelectriquereunion,Énergie électrique de la Réunion,head_office,SAINT-DENIS (Réunion),1951,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1951-reunion-e87d43
samatsaintdenis,"Samat et Cie, SAINT-DENIS",head_office,Saint-Denis,1951,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1951-reunion-e87d43
reunionnaisepechecotiere,Sté Réunionnaise de pêche côtière,capital,1.200.000 fr.,1951,Annuaire des entreprises coloniales,madagascar-et-djibouti-aec-1951-reunion-e87d43
cheminferportreunion,Compagnie du Chemin de fer et du port de la Réunion,head_office,"de la Société, paraît",1858,"Le Journal des débats, 5 juin 1858",madagascar-et-djibouti-ch-fer-port-reunion-468ab7
cheminferportreunion,Compagnie du Chemin de fer et du port de la Réunion,head_office,"31, rue de Provence",1881,"Le Journal des débats, 9 novembre 1881, p. 5-6",madagascar-et-djibouti-ch-fer-port-reunion-468ab7
cheminferportreunion,Compagnie du Chemin de fer et du port de la Réunion,founded_date,1878-02-21,1888,"Le Capitaliste, 25 janvier 1888, p. 56",madagascar-et-djibouti-ch-fer-port-reunion-468ab7
cheminferportreunion,Compagnie du Chemin de fer et du port de la Réunion,head_office,"Paris, rue de Provence, 31, composée d’actionnaires réunissant plus de la moitié",1888,"La Cote de la Bourse et de la banque, 28 mars 1888",madagascar-et-djibouti-ch-fer-port-reunion-468ab7
cheminferportreunion,Compagnie du Chemin de fer et du port de la Réunion,capital,14.600.000 fr.,1888,"Le Messager de Paris, 21 juillet 1888, p. 2-3",madagascar-et-djibouti-ch-fer-port-reunion-468ab7
