doc_id,company_key,company_name,member_key,name_clean,role,year,source_ref,sector,country,region
antilles-guyane-sucreries-coloniales-82728f,sucreriescoloniales,Sucreries coloniales,banqueafriqueequatoriale,Banque française de l'Afrique Équatoriale,administrateur,1920,"La Journée industrielle , 18 décembre 1920",Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescoloniales,Sucreries coloniales,mobiliere,et la Société Mobilière,administrateur,1920,"La Journée industrielle , 18 décembre 1920",Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescoloniales,Sucreries coloniales,creditfonciercolonialcettesomme,au Crédit foncier colonial. Sur cette somme,administrateur,1920,"La Journée industrielle , 18 décembre 1920",Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescoloniales,Sucreries coloniales,banqueafriqueequatoriale,Banque française de l'Afrique Equatoriale,administrateur,1920,"Cote de la Bourse et de la banque, 28 décembre 1920",Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescoloniales,Sucreries coloniales,mobiliere,Société mobilière,administrateur,1920,"Cote de la Bourse et de la banque, 28 décembre 1920",Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescolonialescolonialeagricolecommerciale,"Sucreries coloniales (Société coloniale, agricole, commerciale et",banquefrseafriqueequat,Banque frse de l'Afrique équat,administrateur,1922,"AEC 1922, p. 412",Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescolonialescolonialeagricolecommerciale,"Sucreries coloniales (Société coloniale, agricole, commerciale et",immobiliereusinessucre,immobilière. Usines à sucre,administrateur,1922,"AEC 1922, p. 412",Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescoloniales,Sucreries coloniales,banqueafrique,Banque française de l'Afrique,administrateur,1927,Annuaire Desfossés 1927,Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescoloniales,Sucreries coloniales,creditfonciercolonial,Société de Crédit foncier colonial,administrateur,1927,Annuaire Desfossés 1927,Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescoloniales,Sucreries coloniales,banqueafrique,Banque française de l'Afrique,administrateur,1929,Annuaire Desfossés 1929,Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescoloniales,Sucreries coloniales,creditfonciercolonial,Société de Crédit foncier colonial,administrateur,1929,Annuaire Desfossés 1929,Sociétés diverses,La Réunion,Madagascar et Djibouti
antilles-guyane-sucreries-coloniales-82728f,sucreriescoloniales,Sucreries coloniales,creditfonciercolonial,Société de Crédit foncier colonial,president,1933,Annuaire Desfossés 1933,Sociétés diverses,La Réunion,Madagascar et Djibouti
madagascar-et-djibouti-aec-1922-reunion-892c62,colonialeagricolecommercialeindustriellesucreriescoloniales,"Société coloniale, agricole, commerciale et industrielle Sucreries coloniales",banquefrseafriqueequat,Banque frse de l'Afrique équat,administrateur,1922,Annuaire des entreprises coloniales,Documents généraux,La Réunion,Madagascar et Djibouti
madagascar-et-djibouti-aec-1926-reunion-8d9ba5,colonialeindustriellecommerciale,"Cie coloniale, industrielle et commerciale",honmauricemartin,l'Hon. Maurice Martin,administrateur,1926,Annuaire des entreprises coloniales,Documents généraux,La Réunion,Madagascar et Djibouti
madagascar-et-djibouti-aec-1926-reunion-8d9ba5,colonialeagricolecommercialeindustriellesucreriescoloniales,"Société coloniale, agricole, commerciale et industrielle Sucreries coloniales",jmmenascherepresentantmobiliere,J.-M. Ménasché représentant la Société mobilière,administrateur,1926,Annuaire des entreprises coloniales,Documents généraux,La Réunion,Madagascar et Djibouti
madagascar-et-djibouti-aec-1926-reunion-8d9ba5,colonialeagricolecommercialeindustriellesucreriescoloniales,"Société coloniale, agricole, commerciale et industrielle Sucreries coloniales",chouchoubana,chouchou. Bana.et Cie,administrateur,1926,Annuaire des entreprises coloniales,Documents généraux,La Réunion,Madagascar et Djibouti
madagascar-et-djibouti-aec-1937-reunion-b62875,raphaeldouyere,Raphaël Douyère,usineelectricite,Usine d'électricité,administrateur,1937,Annuaire des entreprises coloniales,Documents généraux,La Réunion,Madagascar et Djibouti
madagascar-et-djibouti-aec-1937-reunion-b62875,grandsbois,Société anon. des Grands-Bois,avironsgabrielelie,Avirons. Gabriel Élie,administrateur,1937,Annuaire des entreprises coloniales,Documents généraux,La Réunion,Madagascar et Djibouti
madagascar-et-djibouti-aec-1937-reunion-b62875,grandsbois,Société anon. des Grands-Bois,avironsleonhubert,Avirons. Léon Hubert,administrateur,1937,Annuaire des entreprises coloniales,Documents généraux,La Réunion,Madagascar et Djibouti
madagascar-et-djibouti-aec-1951-reunion-e87d43,parisbourbondeveloppementrelationsentrefrance,Paris-Bourbon (Sté anon. pour le développement des relations entre la France,andredesbiefpreservatriceassurances,André Desbief. La Préservatrice. Assurances,administrateur,1951,Annuaire des entreprises coloniales,Documents généraux,La Réunion,Madagascar et Djibouti
