doc_id,pdf_url,entry_type,name_normalised,sector,country,region,year_start,year_end,title_raw
afrique-du-nord-abattoirs-industriels-maroc-9a3243,https://entreprises-coloniales.fr/afrique-du-nord/Abattoirs_industriels_Maroc.pdf,company,Société générale des Abattoirs municipaux et industriels au Maroc,Industries agro-alimentaires,Maroc,Maroc,,,"Abattoirs municipaux et industriels au Maroc (Société générale des), Casablanca : une société qui n'a pas fait de vieux os"
afrique-du-nord-acac-casablanca-f66a0b,https://entreprises-coloniales.fr/afrique-du-nord/ACAC-Casablanca.pdf,company,Association coopérative d’alimentation de Casablanca,Industries agro-alimentaires,Maroc,Maroc,1927,1933,Association coopérative d’alimentation de Casablanca (1927-1933) : fabrique de glace alimentaire
afrique-du-nord-adour-sebou-50bb13,https://entreprises-coloniales.fr/afrique-du-nord/Adour-Sebou.pdf,company,Société industrielle et commerciale Adour-Sebou,Commerce,Maroc,Maroc,,,"Adour-Sebou (Société industrielle et commerciale), Fez, Kénitra"
afrique-du-nord-aec-1922-maroc-ba808c,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1922-Maroc.pdf,source_document,Annuaire des entreprises coloniales 1922,Documents généraux (par ordre chronologique),Maroc,Maroc,,,Annuaire des entreprises coloniales 1922 : Maroc
afrique-du-nord-aec-1926-maroc-e65b4d,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1926-Maroc.pdf,source_document,Annuaire des entreprises coloniales 1926,Documents généraux (par ordre chronologique),Maroc,Maroc,,,Annuaire des entreprises coloniales 1926 : Maroc
afrique-du-nord-aec-1937-maroc-dfc464,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1937-Maroc.pdf,source_document,Annuaire des entreprises coloniales 1937,Documents généraux (par ordre chronologique),Maroc,Maroc,,,Annuaire des entreprises coloniales 1937 : Maroc
afrique-du-nord-aec-1949-maroc-26af61,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1949-Maroc.pdf,source_document,Annuaire des entreprises coloniales 1949,Documents généraux (par ordre chronologique),Maroc,Maroc,,,Annuaire des entreprises coloniales 1949 : Maroc
afrique-du-nord-aec-1951-maroc-0655fe,https://entreprises-coloniales.fr/afrique-du-nord/AEC_1951-Maroc.pdf,source_document,Annuaire des entreprises coloniales 1951,Documents généraux (par ordre chronologique),Maroc,Maroc,,,Annuaire des entreprises coloniales 1951 : Maroc
afrique-du-nord-africaine-de-distilleries-f5e3bd,https://entreprises-coloniales.fr/afrique-du-nord/Africaine_de_Distilleries.pdf,company,Société Africaine de Distilleries,Industries agro-alimentaires,Maroc,Maroc,,,"Africaine de Distilleries (Société)(Pernod), Casablanca"
afrique-du-nord-africaine-industrielle-automobile-4bef1f,https://entreprises-coloniales.fr/afrique-du-nord/Africaine_industrielle+automobile.pdf,company,Société Africaine Industrielle et Automobile,Commerce,Maroc,Maroc,,,"Africaine Industrielle et Automobile (Société), Casablanca : négoce de quincaillerie, matériel électrique, moteurs industriels, automobiles"
afrique-du-nord-agence-marocaine-publicite-0f0e34,https://entreprises-coloniales.fr/afrique-du-nord/Agence_marocaine_publicite.pdf,company,Agence marocaine de publicite et d’informations,"Imprimerie, presse, édition",Maroc,Maroc,,,"Agence marocaine de publicite et d’informations, Casablanca"
afrique-du-nord-agric-comm-indus-marocaine-48ac0e,https://entreprises-coloniales.fr/afrique-du-nord/Agric._Comm._Indus._Marocaine.pdf,company,"Compagnie Agricole, Commerciale, Industrielle Marocaine",Industries agro-alimentaires,Maroc,Maroc,,,"Agricole, Commerciale, Industrielle Marocaine (Compagnie)(CACIM)"
afrique-du-nord-agricole-des-doukkala-388559,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_des_Doukkala.pdf,company,Société Agricole des Doukkala,Industries agro-alimentaires,Maroc,Maroc,1926,,"Agricole des Doukkala (Société)(S.A., 1926) : plantation de tara tannifère"
afrique-du-nord-agricole-du-maroc-1910-1931-a6ff78,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_du_Maroc_1910-1931.pdf,company,Société Agricole du Maroc,Industries agro-alimentaires,Maroc,Maroc,1910,1931,Agricole du Maroc (Société)(1910-1931) : foncière et agricole
afrique-du-nord-agricole-du-nord-africain-d6c765,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_du_Nord-Africain.pdf,company,Société Agricole du Nord-Africain,Industries agro-alimentaires,Maroc,Maroc,1919,1934,Agricole du Nord-Africain (Société)(1919-1934)
afrique-du-nord-agricole-marocaine-1928-9da255,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_Marocaine-1928.pdf,company,Agricole Marocaine,Industries agro-alimentaires,Maroc,Maroc,1928,1929,Agricole Marocaine (1928-1929)
afrique-du-nord-agricole-trifa-ac2f80,https://entreprises-coloniales.fr/afrique-du-nord/Agricole_Trifa.pdf,company,Société agricole des Trifa,Industries agro-alimentaires,Maroc,Maroc,,,Trifa (Société agricole des)
