person_id,company_id,n_observations,first_year,last_year,top_role,is_board_seat
associes-de-la-maison-ochs-freres,minesormozambique,1,1895,1895,administrateur,1
benard-a,minesormozambique,1,1895,1895,administrateur,1
jarislowsky-s,minesormozambique,1,1895,1895,administrateur,1
ochs-g,minesormozambique,2,1895,1895,administrateur,1
porges-c,minesormozambique,2,1895,1895,administrateur,1
alberto-de-sousa-pinto-a,mozambique,3,1937,1953,administrateur,1
augusta-de-sa-carneiro-c,mozambique,2,1937,1940,administrateur,1
b-g-teixeira-j,mozambique,3,1925,1933,administrateur,1
baptista-de-sousa-a,mozambique,3,1925,1933,administrateur,1
basto-p,mozambique,1,1933,1933,administrateur,1
brandao-a,mozambique,1,1953,1953,directeur,0
cabrai-de-oliveira-e-castro-a,mozambique,1,1953,1953,president,1
carlos-de-almeida-pereira,mozambique,1,1931,1931,administrateur,1
cazes,mozambique,1,1953,1953,president,1
charpe-a,mozambique,1,1933,1933,administrateur,1
continho-a,mozambique,1,1914,1914,administrateur,1
correia-e,mozambique,2,1917,1923,administrateur,1
de-seguier,mozambique,1,1933,1933,administrateur,1
dos-santos-quelhas-lima-j,mozambique,1,1953,1953,president,1
eduardo-da-costa-lobo-a,mozambique,1,1953,1953,president,1
elphinstone-w,mozambique,8,1912,1937,administrateur,1
ennes-ulrich-r,mozambique,3,1925,1933,administrateur,1
falcao-de-azevedo-e-bourbon,mozambique,1,1937,1937,administrateur,1
ferraz-l,mozambique,1,1933,1933,administrateur,1
ferreira-dos-santos-silva-c,mozambique,1,1910,1910,administrateur,1
g-k,mozambique,3,1925,1933,administrateur,1
gilmour-t,mozambique,2,1912,1914,administrateur,1
guedes-de-vasconcellos-v,mozambique,2,1937,1940,administrateur,1
hon-t,mozambique,4,1925,1937,administrateur,1
ivens-ferraz-g,mozambique,2,1937,1940,administrateur,1
jaime-da-fonseca-monteiro,mozambique,2,1925,1931,administrateur,1
joao-de-almeida,mozambique,1,1937,1937,administrateur,1
joao-de-azevedo-coutinho-fragoso-de-siqueira,mozambique,2,1937,1940,president,1
lefevre-vacquerie-p,mozambique,3,1925,1933,administrateur,1
libert-oury-c,mozambique,3,1925,1933,administrateur,1
libert-oury-v,mozambique,2,1937,1940,administrateur,1
lima-coelho-de-magalhaes-t,mozambique,2,1937,1940,administrateur,1
lourenco-de-almeida-castelo-branco-j,mozambique,1,1953,1953,administrateur,1
lourneco-de-almeida-castelo-branco-j,mozambique,1,1953,1953,conseil_surveillance,1
luis-vieira-soares-a,mozambique,3,1925,1933,administrateur,1
luiz-vieira-soares-a,mozambique,2,1937,1940,administrateur_delegue,1
madeiro-pinto-e,mozambique,1,1912,1912,administrateur,1
maria-coelho-m,mozambique,2,1925,1931,administrateur,1
maria-fontes-pereira-de-melo-a,mozambique,1,1953,1953,conseil_surveillance,1
marques-de-fontes,mozambique,1,1953,1953,president,1
martins-de-andrade-velez-a,mozambique,2,1937,1940,administrateur,1
mascarenhas-manoel-de-mendoca-gaivao-j,mozambique,1,1910,1910,administrateur,1
monteiro-l,mozambique,1,1910,1910,administrateur,1
mountstuart,mozambique,4,1925,1937,administrateur,1
nuno-de-freitas,mozambique,1,1910,1910,administrateur,1
nuno-de-freitas-queriol,mozambique,3,1925,1933,administrateur,1
obe,mozambique,1,1937,1937,administrateur,1
ochs-a,mozambique,1,1910,1910,administrateur,1
oury-l,mozambique,4,1912,1923,administrateur,1
oury-v,mozambique,1,1953,1953,president,1
pasteur-h,mozambique,1,1910,1910,administrateur,1
pedro-de-barbosa,mozambique,1,1937,1937,administrateur,1
pedros-j,mozambique,3,1914,1923,administrateur,1
ponsignon-a,mozambique,1,1910,1910,administrateur,1
queriol-de-carnaxide,mozambique,1,1910,1910,administrateur,1
roma-du-bocage-c,mozambique,5,1910,1923,administrateur,1
seyrig-w,mozambique,1,1912,1912,administrateur,1
soares-v,mozambique,1,1933,1933,administrateur,1
thieux-g,mozambique,1,1953,1953,president,1
tomas-de-paiva-raposo,mozambique,3,1925,1933,administrateur,1
tomaz-de-paiva-raposo,mozambique,2,1937,1940,administrateur,1
trajano-vieira-da-rocha-f,mozambique,2,1937,1940,administrateur,1
van-der-vurst-h,mozambique,1,1953,1953,administrateur,1
villaca-a,mozambique,3,1910,1914,administrateur,1
white-j,mozambique,2,1917,1923,administrateur,1
zafiropoulo-d,mozambique,2,1917,1923,administrateur,1
