company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
caledonia,comitedirection,Calédonia,Comité de direction,10,baudouin-p; berge; catalan-l; dewez; laurent; loste; milliard; rougy-a; van-bree-v; verge
tiebaghi,tiebaghipaagoumene,Sté anon. de la Tiébaghi,Société de la Tiébaghi à Paagoumène,9,bernaud-m; chalas-e; charpillon-l; chitarin-s; crowther-t; davis-e; delage-m; eckard-e; ungemach-h
hautsfourneauxnoumea,hautsfourneauxnoumeapointedoniambo,« Hauts-Fourneaux de Nouméa »,Hauts Fourneaux de Nouméa à la pointe Doniambo,8,ballande-a; berge; guiraud; l-chavane; laroque-g; milliard; rougy-a; van-bree-f
caledonia,etablissementsballande,Calédonia,Établissements Ballande,6,ballande-a; guiraud-p; laroque-g; loste-h; milliard-h; rougy-a
caledonia,hautsfourneauxnoumea,Calédonia,« Hauts-Fourneaux de Nouméa »,6,ballande-a; berge; laroque-g; milliard; rougy-a; van-bree-f
caledonia,hautsfourneauxnoumeapointedoniambo,Calédonia,Hauts Fourneaux de Nouméa à la pointe Doniambo,6,ballande-a; berge; laroque-g; milliard; rougy-a; van-bree-f
chalandage,etablissementsballande,CHALANDAGE,Établissements Ballande,6,ballande-a; berge-m; laroque-g; loste-h; milliard-h; rougy-a
comptoirsnouvelleshebrides,etablissementsballande,Comptoirs français des Nouvelles-Hébrides,Établissements Ballande,6,berge-m; bonneaud-a; jeannin-p; laroque-g; loste-h; milliard-h
andeville,gueraultlemarinier,ANDEVILLE,Guérault et Lemarinier,6,aubry-o; blache-p; guerault-c; lemarinier-g; mauclet-j; tassart-l
caledonickel,nickel,Calédonickel,Société Le Nickel,6,baudouin-p; dewez-h; mirabaud-p; roume-e; van-bree-f; viallate-a
caledonia,chalandage,Calédonia,CHALANDAGE,5,ballande-a; laroque-g; loste-h; milliard-h; rougy-a
etsgomenouaco,ouaco,"Éts Gomen-Ouaco, puis Société de Ouaco",Sté de Ouaco,5,augis-a; chalas-e; leigh-williams-h; lt-col-tom-crowther; verny-a
caledonia,caledonickel,Calédonia,Calédonickel,5,baudouin-p; catalan-l; dewez-h; milliard-h; van-bree-f
etablissementsballande,hautsfourneauxnoumeapointedoniambo,Établissements Ballande,Hauts Fourneaux de Nouméa à la pointe Doniambo,4,ballande-a; chavane-l; laroque-g; rougy-a
hautsfourneauxnoumeapointedoniambo,navaleoceanie,Hauts Fourneaux de Nouméa à la pointe Doniambo,Compagnie Navale de l'Océanie,4,ballande-a; chavane-l; l-chavane; van-bree-f
navalecommercialeoceanie,navaleoceanie,Compagnie navale et commerciale de l'Océanie,Compagnie Navale de l'Océanie,4,ballande-a; chavane-l; tandonnet-p; van-bree-f
chalandage,comptoirsnouvelleshebrides,CHALANDAGE,Comptoirs français des Nouvelles-Hébrides,4,berge-m; laroque-g; loste-h; milliard-h
comptoirsnouvelleshebrides,kaori,Comptoirs français des Nouvelles-Hébrides,Kaori,4,ad-unger; berge-m; jeannin-p; milliard-h
etablissementsballande,kaori,Établissements Ballande,Kaori,4,berge-m; guiraud-p; jeannin-p; milliard-h
etablissementsballande,ilespacifique,Établissements Ballande,Société Française des îles du Pacifique,4,ballande-p; jeannin-p; loste-h; milliard-h
caledonia,nickel,Calédonia,Société Le Nickel,4,baudouin-p; dewez-h; loste-h; van-bree-f
burnsphilpco35crutchedfriarslondresec,burnsphilpcoltd,"Burns, Philp and Co 35, Crutched Friars, LONDRES E.C","Burns, Philp & Co Ltd",3,esq; forsyth-j; lieut-james-burns
hautsfourneauxnoumeapointedoniambo,minesnickelreunies,Hauts Fourneaux de Nouméa à la pointe Doniambo,Compagnie des Mines de nickel réunies,3,ballande-a; chavane-l; l-chavane
hautsfourneauxnoumeapointedoniambo,navalecommercialeoceanie,Hauts Fourneaux de Nouméa à la pointe Doniambo,Compagnie navale et commerciale de l'Océanie,3,ballande-a; chavane-l; van-bree-f
minesnickelreunies,navaleoceanie,Compagnie des Mines de nickel réunies,Compagnie Navale de l'Océanie,3,ballande-a; chavane-l; l-chavane
hautsfourneauxnoumea,navaleoceanie,« Hauts-Fourneaux de Nouméa »,Compagnie Navale de l'Océanie,3,ballande-a; l-chavane; van-bree-f
caledonia,navalecommercialeoceanie,Calédonia,Compagnie navale et commerciale de l'Océanie,3,ballande-a; dewez-h; van-bree-f
chalandage,hautsfourneauxnoumea,CHALANDAGE,« Hauts-Fourneaux de Nouméa »,3,ballande-a; laroque-g; rougy-a
chalandage,hautsfourneauxnoumeapointedoniambo,CHALANDAGE,Hauts Fourneaux de Nouméa à la pointe Doniambo,3,ballande-a; laroque-g; rougy-a
etablissementsballande,hautsfourneauxnoumea,Établissements Ballande,« Hauts-Fourneaux de Nouméa »,3,ballande-a; laroque-g; rougy-a
caledonia,kaori,Calédonia,Kaori,3,berge; guiraud-p; milliard-h
comitedirection,hautsfourneauxnoumea,Comité de direction,« Hauts-Fourneaux de Nouméa »,3,berge; milliard; rougy-a
comitedirection,hautsfourneauxnoumeapointedoniambo,Comité de direction,Hauts Fourneaux de Nouméa à la pointe Doniambo,3,berge; milliard; rougy-a
metallurgiquetao,usinestaohydroelectriquetaometallurgiquetao,Sté métallurgique de Tao,"Usines de Tao, Société hydro-électrique de Tao, Société métallurgique de Tao",3,dehesdin-a; jauffret; martini-g
caledonia,comptoirsnouvelleshebrides,Calédonia,Comptoirs français des Nouvelles-Hébrides,3,laroque-g; loste-h; milliard-h
chalandage,kaori,CHALANDAGE,Kaori,3,berge-m; bonneaud-h; milliard-h
chalandage,ilespacifique,CHALANDAGE,Société Française des îles du Pacifique,3,bonneaud-h; loste-h; milliard-h
comptoirsnouvelleshebrides,ilespacifique,Comptoirs français des Nouvelles-Hébrides,Société Française des îles du Pacifique,3,jeannin-p; loste-h; milliard-h
ilespacifique,kaori,Société Française des îles du Pacifique,Kaori,3,bonneaud-h; jeannin-p; milliard-h
commissionnairecorrespondant,maisonbarrau,Commissionnaire-correspondant,Maison Barrau,3,barrau-a; barrau-e; daly-j
etablissementsballande,minesnickelreunies,Établissements Ballande,Compagnie des Mines de nickel réunies,2,ballande-a; chavane-l
etablissementsballande,navalecommercialeoceanie,Établissements Ballande,Compagnie navale et commerciale de l'Océanie,2,ballande-a; chavane-l
etablissementsballande,navaleoceanie,Établissements Ballande,Compagnie Navale de l'Océanie,2,ballande-a; chavane-l
minesnickelreunies,navalecommercialeoceanie,Compagnie des Mines de nickel réunies,Compagnie navale et commerciale de l'Océanie,2,ballande-a; chavane-l
hautsfourneauxnoumea,minesnickelreunies,« Hauts-Fourneaux de Nouméa »,Compagnie des Mines de nickel réunies,2,ballande-a; l-chavane
caledonia,navaleoceanie,Calédonia,Compagnie Navale de l'Océanie,2,ballande-a; van-bree-f
hautsfourneauxnoumea,navalecommercialeoceanie,« Hauts-Fourneaux de Nouméa »,Compagnie navale et commerciale de l'Océanie,2,ballande-a; van-bree-f
ouaco,tiebaghi,Sté de Ouaco,Sté anon. de la Tiébaghi,2,chalas-e; crowther-t
ouaco,tiebaghipaagoumene,Sté de Ouaco,Société de la Tiébaghi à Paagoumène,2,chalas-e; crowther-t
caledonia,ilespacifique,Calédonia,Société Française des îles du Pacifique,2,loste-h; milliard-h
caledonickel,navalecommercialeoceanie,Calédonickel,Compagnie navale et commerciale de l'Océanie,2,dewez-h; van-bree-f
navalecommercialeoceanie,nickel,Compagnie navale et commerciale de l'Océanie,Société Le Nickel,2,dewez-h; van-bree-f
caledonickel,comitedirection,Calédonickel,Comité de direction,2,baudouin-p; catalan-l
havraisecaledonienne,immobilierenouvelleshebrides,Sté havraise calédonienne,Compagnie Française immobilière des Nouvelles-Hébrides,1,higginson-g
havraisecaledonienne,nouvelleshebrides,Sté havraise calédonienne,Société française des Nouvelles-Hébrides,1,higginson-g
immobilierenouvelleshebrides,nouvelleshebrides,Compagnie Française immobilière des Nouvelles-Hébrides,Société française des Nouvelles-Hébrides,1,higginson-g
havraisecaledonienne,oregon,Sté havraise calédonienne,L'Orégon,1,huet-a
havraisecaledonienne,ilespacifique,Sté havraise calédonienne,Société Française des îles du Pacifique,1,industrielles-e
caledonia,minesnickelreunies,Calédonia,Compagnie des Mines de nickel réunies,1,ballande-a
chalandage,minesnickelreunies,CHALANDAGE,Compagnie des Mines de nickel réunies,1,ballande-a
chalandage,navalecommercialeoceanie,CHALANDAGE,Compagnie navale et commerciale de l'Océanie,1,ballande-a
chalandage,navaleoceanie,CHALANDAGE,Compagnie Navale de l'Océanie,1,ballande-a
comitedirection,kaori,Comité de direction,Kaori,1,berge
hautsfourneauxnoumea,kaori,« Hauts-Fourneaux de Nouméa »,Kaori,1,berge
hautsfourneauxnoumeapointedoniambo,kaori,Hauts Fourneaux de Nouméa à la pointe Doniambo,Kaori,1,berge
