company_key,company_name,attribute,value,year,source_ref,doc_id
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",capital,12.500.000 francs,1880,"Le Messager de Paris, 19 novembre 1880",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",capital,12.500.000 francs,1891,"La Cote de la Bourse et de la banque, 26 octobre 1891",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",head_office,"17, rue des Pyramides, à Paris",1891,"La Cote de la Bourse et de la banque, 26 octobre 1891",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",head_office,"17, rue des Pyramides : à la SOCIÉTÉ GÉNÉRALE, 56, rue de",1893,"Le Messager de Paris, 25 août 1893",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",founded_date,1880-11-02,1895,"La Cote de la Bourse et de la banque, 30 octobre 1895",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",head_office,6.943 00,1903,"La Cote de la Bourse et de la banque, 14 septembre 1903",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",capital,12.500.000 francs,1903,"La Cote de la Bourse et de la banque, 9 octobre 1903",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",head_office,6.943 00,1904,"La Cote de la Bourse et de la banque, 13 septembre 1904",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",capital,12.500.000 francs,1905,"'Information financière, économique et politique, 6 octobre 1905",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",head_office,6.943 00,1906,"La Cote de la Bourse et de la banque, 9 octobre 1906",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",capital,12.500.000 fr.,1908,"La Cote de la Bourse et de la banque, 10 octobre 1908",proche-orient-usines-franco-russes-f1a2fc
anciensetablissementsbairdusinesfrancorussespetrograd,"Anciens Établissements Baird Usines franco-russes, Pétrograd",head_office,dont il est destiné à fournir la contrepartie,1910,"Cote de la Bourse et de la banque, 22 octobre 1910",proche-orient-usines-franco-russes-f1a2fc
