person_id,company_id,n_observations,first_year,last_year,top_role,is_board_seat
henrotte,banquefrancoserbe,1,1910,1910,administrateur,1
henry-a,banquefrancoserbe,1,1910,1910,administrateur,1
homberg,banquefrancoserbe,1,1910,1910,administrateur,1
mallet,banquefrancoserbe,1,1910,1910,administrateur,1
naville-a,banquefrancoserbe,1,1910,1910,administrateur,1
simon-s,banquefrancoserbe,1,1910,1910,administrateur,1
acte-recu-par-me-van-halteren-s,exploitationsminieresserbie,1,1907,1907,administrateur,1
constitution,exploitationsminieresserbie,1,1907,1907,administrateur,1
de-klapka-g,exploitationsminieresserbie,2,1907,1910,administrateur,1
deposes-chez-me-van-halteren,exploitationsminieresserbie,1,1907,1907,administrateur,1
durrenberger-c,exploitationsminieresserbie,2,1907,1910,administrateur,1
herbert-alfred-deed,exploitationsminieresserbie,1,1907,1907,administrateur,1
monod-j,exploitationsminieresserbie,1,1907,1907,administrateur,1
munch-j,exploitationsminieresserbie,1,1910,1910,administrateur,1
naville-a,exploitationsminieresserbie,3,1907,1910,administrateur,1
naville-p,exploitationsminieresserbie,1,1907,1907,administrateur,1
oserovics-a,exploitationsminieresserbie,1,1910,1910,administrateur,1
oserovicz-a,exploitationsminieresserbie,1,1907,1907,administrateur,1
wiener-h,exploitationsminieresserbie,2,1907,1907,president,1
wilmotte-m,exploitationsminieresserbie,3,1907,1910,administrateur,1
