doc_id,company_key,company_name,person_id,name_clean,surname,given,role,year,period,is_board_seat,source_ref,annotation,sector,country,region,anchor_type,trigger,member_raw
afrique-occidentale-union-ovine-coloniale-3ecd8a,unionovinecoloniale,Union ovine coloniale,mathon-e,E. Mathon,Mathon,E.,president,1927,1914_1929,1,"Revue générale du froid, janvier-février 1927",,Sociétés diverses,Syrie-Liban,Proche-Orient,citation,premiers_admin,MM. E. Mathon
afrique-occidentale-union-ovine-coloniale-3ecd8a,unionovinecoloniale,Union ovine coloniale,francois-marsal-f,F. François-Marsal,François-Marsal,F.,vice_president,1927,1914_1929,1,"Revue générale du froid, janvier-février 1927",,Sociétés diverses,Syrie-Liban,Proche-Orient,citation,premiers_admin,F. François-Marsal
afrique-occidentale-union-ovine-coloniale-3ecd8a,unionovinecoloniale,Union ovine coloniale,lallour,Lallour,Lallour,,administrateur_delegue,1927,1914_1929,1,"Revue générale du froid, janvier-février 1927",,Sociétés diverses,Syrie-Liban,Proche-Orient,citation,premiers_admin,M. Lallour
afrique-occidentale-union-ovine-coloniale-3ecd8a,unionovinecoloniale,Union ovine coloniale,balsan-j,J. Balsan,Balsan,J.,administrateur,1927,1914_1929,1,"Revue générale du froid, janvier-février 1927",,Sociétés diverses,Syrie-Liban,Proche-Orient,citation,premiers_admin,J. Balsan
afrique-occidentale-union-ovine-coloniale-3ecd8a,unionovinecoloniale,Union ovine coloniale,capet-g,G. Capet,Capet,G.,administrateur,1927,1914_1929,1,"Revue générale du froid, janvier-février 1927",,Sociétés diverses,Syrie-Liban,Proche-Orient,citation,premiers_admin,G. Capet
afrique-occidentale-union-ovine-coloniale-3ecd8a,unionovinecoloniale,Union ovine coloniale,nouvion-h,H. Nouvion,Nouvion,H.,administrateur,1927,1914_1929,1,"Revue générale du froid, janvier-février 1927",,Sociétés diverses,Syrie-Liban,Proche-Orient,citation,premiers_admin,H. Nouvion
afrique-occidentale-union-ovine-coloniale-3ecd8a,unionovinecoloniale,Union ovine coloniale,saurin,Saurin,Saurin,,administrateur,1927,1914_1929,1,"Revue générale du froid, janvier-février 1927",,Sociétés diverses,Syrie-Liban,Proche-Orient,citation,premiers_admin,Saurin
inde-indochine-air-orient-084a4a,airunion,"Air Union, puis Air Orient",allegre-l-louis,Louis Allègre,Allègre,Louis,administrateur,1927,1914_1929,1,"La Journée industrielle, 8 juillet 1927",,Transports aériens,Syrie-Liban,Proche-Orient,citation,conseil_compose,MM. Louis Allègre
inde-indochine-air-orient-084a4a,airunion,"Air Union, puis Air Orient",arene-l,Louis Arène,Arène,Louis,administrateur,1927,1914_1929,1,"La Journée industrielle, 8 juillet 1927",,Transports aériens,Syrie-Liban,Proche-Orient,citation,conseil_compose,Louis Arène
inde-indochine-air-orient-084a4a,airunion,"Air Union, puis Air Orient",bahon-m,Max Bahon,Bahon,Max,administrateur,1927,1914_1929,1,"La Journée industrielle, 8 juillet 1927",,Transports aériens,Syrie-Liban,Proche-Orient,citation,conseil_compose,Max Bahon
