company_id,name,sectors,n_ties,n_directors,first_year,last_year
lorilleux,LORILLEUX,Documents généraux,48,47,,
cheminferdamashamahprolongements,Chemin de fer Damas-Hamah et prolongements,Transports terrestres,89,37,1909,1953
electricitealep,Électricité d'Alep,"Eaux, électricité (utilities)",72,32,1925,1948
banquepretsnantissementsmontspieteegyptiens,banque de prêts sur nantissements Société des monts-de-piété égyptiens,Banques et sociétés financières,94,25,1925,1953
banquesyriegrandliban,Banque de Syrie et du Grand-Liban,Banques et sociétés financières,28,23,1938,1940
banquesyrie,Banque française de Syrie,Banques et sociétés financières,23,23,1919,1938
radioorient,Radio-Orient,Sociétés diverses,29,19,1924,1948
etablissementsluchaire,Établissements LUCHAIRE,Documents généraux,19,19,,
ottomanetramwayseclairageelectriquesdamas,"Société ottomane des Tramways et éclairage électriques de Damas, puis Tramways et électricité de Damas",Transports terrestres,18,18,1910,1928
asphaltespetroleslattaquie,Asphaltes et pétroles de Lattaquié,Sociétés diverses,33,17,1929,1940
asieoccidentale,ASIE OCCIDENTALE,Documents généraux,19,17,,
creditfonciersyrie,Crédit foncier de Syrie,Banques et sociétés financières,16,16,1919,1921
meunierelevantdamasjaffa,"Société Meunière du Levant, Damas, Jaffa",Sociétés diverses,21,15,1922,1922
tramwayselectricite,"Tramways et électricite, puis Tramways et éclairage de Beyrouth",Transports terrestres,16,15,1906,1926
bourbeaupoitiers,"Bourbeau, Poitiers",Documents généraux,15,15,,
foncieresyrie,Société foncière de Syrie,Banques et sociétés financières,14,14,1922,1922
tramwayseclairagebeyrouth,Tramways et éclairage de Beyrouth,Transports terrestres,32,13,1927,1933
port,Port,"Transports maritimes, ports et docks",20,13,1912,1948
airunion,Air Union,Transports aériens,13,13,1927,1927
velvetrum,VELVET-RUM,Documents généraux,13,13,,
cheminferottomanjaffajerusalemprolongements,Société du Chemin de fer ottoman de Jaffa à Jérusalem et prolongements,Transports terrestres,11,10,1892,1937
banqueliban,Banque du Liban,Banques et sociétés financières,10,10,1913,1913
ottomanegazbeyrouth,Société ottomane du Gaz de Beyrouth,"Eaux, électricité (utilities)",10,10,1909,1936
ports,Ports,"Transports maritimes, ports et docks",28,9,1917,1933
exploitaitoncheminfercilicie,Société d'exploitaiton Chemin de fer de Cilicie,Transports terrestres,9,9,1922,1922
libanosyriennetabacs,Compagnie Libano-Syrienne des Tabacs,Sociétés diverses,9,9,1930,1930
charmetant,CHARMETANT,Documents généraux,8,8,,
tramwayslibanaisnordsudbeyrouth,Tramways libanais nord et sud de Beyrouth,Transports terrestres,8,8,1899,1899
portquaisentrepotsbeyrouth,"Port, quais et entrepôts de Beyrouth","Transports maritimes, ports et docks",9,7,1906,1909
unionovinecoloniale,Union ovine coloniale,Sociétés diverses,7,7,1927,1927
eauxbeyrouth,Compagnie des Eaux de Beyrouth,"Eaux, électricité (utilities)",7,7,1910,1910
industrielleetatslevant,Société Industrielle des États du Levant,Sociétés diverses,7,7,1929,1929
safti,SAFTI,Documents généraux,26,6,,
ottomaneeauxbeyrouth,Cie ottomane des Eaux de Beyrouth,"Eaux, électricité (utilities)",6,6,1914,1914
louisemmanueladoplphegoranflauxbaronandree,"Louis Emmanuel Adoplphe GORANFLAUX, baron D'ANDRÉE DE LA","Transports maritimes, ports et docks",6,6,1927,1927
imperialeottomaneroutebeyrouthdamas,Compagnie impériale ottomane de la Route de Beyrouth à Damas,Transports terrestres,6,6,1892,1892
francemediterranee1920,"Société France-Méditerranée, S.A., 1920","Transports maritimes, ports et docks",5,5,1920,1920
grandshotelslevant,Grands Hôtels du Levant,Sociétés diverses,5,5,1929,1929
georgemallet,George Mallet,"Transports maritimes, ports et docks",5,5,1914,1914
beyrouthwaterworkscy,The Beyrouth Waterworks Cy,"Eaux, électricité (utilities)",3,3,,
cotonnieresyrieidlib,"Société Cotonnière de Syrie, Idlib",Sociétés diverses,2,2,1929,1929
banquesyrieliban,Banque de Syrie et du Liban,Banques et sociétés financières,1,1,1922,1922
levant,Compagnie Générale du Levant,Banques et sociétés financières,1,1,1919,1919
gsaintrenetaillandierpdthont,"G. Saint-René Taillandier, pdt hon.t","Transports maritimes, ports et docks",3,0,1940,1940
emmperettiroccapdt,"Emm. de Peretti de la Rocca, pdt","Eaux, électricité (utilities)",2,0,1937,1937
comtecressatypdt,"Comte Cressaty, pdt",Banques et sociétés financières,2,0,1945,1948
comtecressatypdg,"Comte Cressaty, pdg",Banques et sociétés financières,2,0,1953,1953
