person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
berard,Bérard,Berard; Bérard,7,7,12,administrateur,1923,1945,"Banques et sociétés financières; Documents généraux; Sociétés diverses; Transports maritimes, ports et docks; Transports terrestres"
blanche-p,Blanche,P. Blanche; Paul Blanche,5,5,12,administrateur,1899,1945,"Transports maritimes, ports et docks; Transports terrestres"
michon-coster-j,Michon- Coster,J. Michon- Coster; J. Michon-Coster,5,5,11,administrateur,1914,1948,"Transports maritimes, ports et docks; Transports terrestres"
henry-a,Henry,A. Henry; Arsène Henry,5,5,10,administrateur,1912,1938,"Banques et sociétés financières; Documents généraux; Transports maritimes, ports et docks"
roudy-a,Roudy,A. Roudy; Athanase Roudy; Roudy,4,4,8,administrateur,1922,1948,Banques et sociétés financières; Documents généraux; Transports terrestres
berard-m,Bérard,Maurice Bérard; Maurice-Robert Bérard,4,4,4,administrateur,1920,1929,"Sociétés diverses; Transports maritimes, ports et docks"
boissiere-g,Boissière,G. Boissière; Gustave Boissière,3,3,8,administrateur,1922,1948,Documents généraux; Transports terrestres
saint-rene-taillandier-g,Saint-René Taillandier,G. Saint-René Taillandier; G. Saint-René Taillandier. 18; Saint-René Taillandier,3,3,6,administrateur,1920,1933,"Banques et sociétés financières; Transports maritimes, ports et docks"
pirard-a,Pirard,A. Pirard; Albert Pirard,3,3,5,administrateur,1922,1933,Documents généraux; Transports terrestres
chiha,Chiha,Chiha,3,3,5,administrateur,1927,1940,Banques et sociétés financières; Transports terrestres
bey-p,Bey,Pangiris Bey,3,3,4,administrateur,1912,1920,"Transports maritimes, ports et docks"
gendre-e,Gendre,Gendre; Édouard Gendre,3,3,3,administrateur,1921,1929,Banques et sociétés financières; Documents généraux; Sociétés diverses
jourdanne-a,Jourdanne,A. Jourdanne; Alfred Jourdanne,3,3,3,administrateur,1921,1930,Banques et sociétés financières; Sociétés diverses; Transports terrestres
misk-n,Misk,N. Misk; Nasry Misk,3,3,3,administrateur,1909,1914,"Eaux, électricité (utilities)"
sabbag-e,Sabbag,E. Sabbag; Elias Sabbag,3,3,3,administrateur,1909,1914,"Eaux, électricité (utilities)"
habert-g,Habert,G. Habert; Gustave Habert,3,3,3,administrateur,1892,1912,"Transports maritimes, ports et docks; Transports terrestres"
marbeau,Marbeau,Marbeau,2,2,9,administrateur,1937,1953,Banques et sociétés financières; Transports terrestres
bousquet-h,Bousquet,H. Bousquet; Henri Bousquet,2,2,5,administrateur,1924,1938,Documents généraux; Sociétés diverses
salem,Salem,Salem,2,2,5,administrateur,1914,1933,Banques et sociétés financières; Transports terrestres
bourgeois-d,Bourgeois,D. Bourgeois,2,2,5,administrateur,1933,1948,Transports terrestres
passelecq-m,Passelecq,Passelecq; Passelecq9,2,2,5,administrateur,1925,1937,"Eaux, électricité (utilities); Transports terrestres"
adjouri-v,Adjouri,Adjouri; Victor Adjouri,2,2,5,administrateur,1922,1937,"Eaux, électricité (utilities); Sociétés diverses"
briere-p,Brière,P. Brière,2,2,4,administrateur,1929,1938,Banques et sociétés financières; Documents généraux; Transports terrestres
boissonnas-j,Boissonnas,J. Boissonnas; Jean Boissonnas,2,2,4,president,1937,1940,Banques et sociétés financières; Documents généraux
homsy-a,Homsy,A. Homsy,2,2,4,president,1937,1940,Banques et sociétés financières; Documents généraux
amidieu-du-clos-a,Amidieu du Clos,A. Amidieu du Clos; Amidieu du Clos,2,2,4,administrateur,1927,1933,Documents généraux; Transports terrestres
garreta-h,Garreta,H. Garreta,2,2,4,administrateur,1923,1933,"Transports maritimes, ports et docks"
giraud-h-hubert,Giraud,Hubert Giraud,2,2,3,president,1927,1938,Banques et sociétés financières; Documents généraux; Transports aériens
guibert-l,Guibert,Léonce Guibert,2,2,3,administrateur,1922,1925,Documents généraux; Transports terrestres
lion-l,Lion,Louis Lion,2,2,3,administrateur,1922,1925,Documents généraux; Transports terrestres
cerjat-c,Cerjat,Charles Cerjat,2,2,3,administrateur,1922,1925,Documents généraux; Transports terrestres
vitali-g,Vitali,Georges Vitali,2,2,3,administrateur,1922,1925,Documents généraux; Transports terrestres
de-cerjat-c,de Cerjat,Ch de Cerjat; Charles de Cerjat,2,2,3,president,1906,1938,"Banques et sociétés financières; Documents généraux; Transports maritimes, ports et docks"
chabrieres-m,Chabrières,Maurice Chabrières,2,2,3,president,1920,1938,"Banques et sociétés financières; Documents généraux; Transports maritimes, ports et docks"
mallet-r,Mallet,Raoul Mallet,2,2,3,president,1933,1938,"Banques et sociétés financières; Documents généraux; Transports maritimes, ports et docks"
sallandrouze-de-lamornaix-c,Sallandrouze de Lamornaix,Charles Sallandrouze de Lamornaix,2,2,2,administrateur,1925,1925,Documents généraux; Transports terrestres
rebuffel-c,Rebuffel,Charles Rebuffel,2,2,2,administrateur,1925,1925,Documents généraux; Transports terrestres
barcelone,Barcelone,Barcelone,2,2,2,administrateur,,,Documents généraux
athenes,Athènes,6. Athènes; Athènes,2,2,2,administrateur,,,Documents généraux
bey-el-mouayad-b,Bey el Mouayad,Bedi Bey el Mouayad,2,2,2,administrateur,1937,1940,Banques et sociétés financières
chabrieres,Chabrières,Chabrières,2,2,2,administrateur,1937,1940,Banques et sociétés financières
bey-daouk-o,Bey Daouk,Omar Bey Daouk,2,2,2,administrateur,1937,1940,Banques et sociétés financières
h-hottinguer,H Hottinguer,H Hottinguer,2,2,2,administrateur,1937,1940,Banques et sociétés financières
bey-beyhum-o,Bey Beyhum,Omar Bey Beyhum,2,2,2,administrateur,1937,1940,Banques et sociétés financières
ed-vernes,Ed. Vernes,Ed. Vernes,2,2,2,administrateur,1937,1940,Banques et sociétés financières
chaussees,Chaussées,Chaussées,2,2,2,administrateur,1922,1922,Banques et sociétés financières; Transports terrestres
mahou-l,Mahoû,L. Mahoû; Mahoû,2,2,2,administrateur,1892,1937,Transports terrestres
revoil-p,Révoil,P. Révoil,2,2,2,administrateur,1914,1914,"Transports maritimes, ports et docks; Transports terrestres"
menasche-j,Menasché,J. Menasché,2,2,2,administrateur,1909,1910,"Eaux, électricité (utilities)"
peter-m,Peter,Max Peter,2,2,2,administrateur,1909,1910,"Eaux, électricité (utilities)"
philippar-e,Philippar,Edmond Philippar,2,2,2,administrateur,1925,1929,"Eaux, électricité (utilities); Sociétés diverses"
fournier-r-rene,Fournier,René Fournier,2,2,2,administrateur,1922,1929,Sociétés diverses; Transports terrestres
emond-r,Emond,Emond; René Emond,2,2,2,administrateur,1892,1906,"Transports maritimes, ports et docks; Transports terrestres"
wiener-h,Wiener,H. Wiener,2,2,2,administrateur,1912,1914,"Transports maritimes, ports et docks"
perin-a,Périn,A. Perin; Albert Périn,2,2,2,administrateur,1906,1927,Transports terrestres
