doc_id,company_key,company_name,member_key,name_clean,role,year,source_ref,sector,country,region
pacifique-aec-1922-polynesie-fd5136,ilesmarquises,Sté française des îles Marquises,etsrocca,des Éts Rocca,administrateur,1922,"Ann. entrep. col., 1922",Documents généraux,Tahiti (Polynésie),Pacifique
pacifique-aec-1922-polynesie-fd5136,ilesmarquises,Sté française des îles Marquises,dydahomey,de la Société française dy Dahomey,administrateur,1922,"Ann. entrep. col., 1922",Documents généraux,Tahiti (Polynésie),Pacifique
pacifique-aec-1922-polynesie-fd5136,ilesmarquises,Sté française des îles Marquises,industriellebasogooue,de la Société industrielle du Bas-Ogooué,administrateur,1922,"Ann. entrep. col., 1922",Documents généraux,Tahiti (Polynésie),Pacifique
pacifique-aec-1926-polynesie-318e90,agricolemopelia,Société agricole de Mopélia,participation,Société de participation,administrateur,1926,Annuaire des entreprises coloniales,Documents généraux,Tahiti (Polynésie),Pacifique
pacifique-aec-1926-polynesie-318e90,agricolemopelia,Société agricole de Mopélia,rocca,Société Rocca,administrateur,1926,Annuaire des entreprises coloniales,Documents généraux,Tahiti (Polynésie),Pacifique
pacifique-aec-1951-polynesie-785e7c,petrolesshellilesfrancaisespacifique,Société des pétroles Shell des îles françaises du Pacifique,nacrebdonaldltd,nacre. A.-B. Donald Ltd,administrateur,1951,Annuaire des entreprises coloniales,Documents généraux,Tahiti (Polynésie),Pacifique
pacifique-agricole-de-mopelia-e70291,agricolemopelia,Société agricole de Mopélia,comptoirsoceanie,Comptoirs français d'Océanie,administrateur,1923,"L’Éveil économique de l’Indochine, 21 janvier 1923",Sociétés,Tahiti (Polynésie),Pacifique
pacifique-agricole-de-mopelia-e70291,agricolemopelia,Société agricole de Mopélia,participation,Société de participation,administrateur,1923,"L’Éveil économique de l’Indochine, 21 janvier 1923",Sociétés,Tahiti (Polynésie),Pacifique
pacifique-ciao-1927-1934-0e4f28,immobiliereagricoleoceanie,Compagnie Immobilière et Agricole de l'Océanie,banquecolonialeetudes,Banque coloniale d'études,administrateur,1928,"La Journée industrielle, 17 janvier 1928",Sociétés,Tahiti (Polynésie),Pacifique
pacifique-ciao-1927-1934-0e4f28,immobiliereagricoleoceanie,Compagnie Immobilière et Agricole de l'Océanie,banquecolonialeetudes,Banque coloniale d'études,vice_president,1938,Annuaire industriel 1938,Sociétés,Tahiti (Polynésie),Pacifique
pacifique-ciao-1927-1934-0e4f28,immobiliereagricoleoceanie,Compagnie Immobilière et Agricole de l'Océanie,domaines,Domaines,vice_president,1938,Annuaire industriel 1938,Sociétés,Tahiti (Polynésie),Pacifique
pacifique-cie-franco-tahitienne-a72031,francotahitienne,Cie franco-tahitienne,villetamatave,Ville de Tamatave,administrateur,1923,"L’Éveil économique de l’Indochine, 21 janvier 1923",Sociétés,Tahiti (Polynésie),Pacifique
pacifique-francaise-de-tahiti-4b4d7b,tahiti,Compagnie Française de Tahiti,usinesermaise,usine à Sermaise,administrateur,1914,"Cote de la Bourse et de la banque, 9 janvier 1914",Sociétés,Tahiti (Polynésie),Pacifique
pacifique-phosphates-de-l-oceanie-afb1fe,phosphatesoceanie,Phosphates de l'Océanie,societegenerale,Société générale,administrateur,1929,"Les Documents politiques, diplomatiques et financiers, mars 1929",Sociétés,Tahiti (Polynésie),Pacifique
pacifique-phosphates-de-l-oceanie-afb1fe,phosphatesoceanie,Phosphates de l'Océanie,banquefrancojaponaise,Banque franco-japonaise,administrateur,1929,"Les Documents politiques, diplomatiques et financiers, mars 1929",Sociétés,Tahiti (Polynésie),Pacifique
pacifique-phosphates-de-l-oceanie-afb1fe,phosphatesoceanie,Phosphates de l'Océanie,banquepayseuropecentrale,Banque des pays de l'Europe centrale,administrateur,1929,"Les Documents politiques, diplomatiques et financiers, mars 1929",Sociétés,Tahiti (Polynésie),Pacifique
pacifique-phosphates-de-l-oceanie-afb1fe,phosphatesoceanie,Phosphates de l'Océanie,creditfoncierargentin,Crédit foncier argentin,administrateur,1929,"Les Documents politiques, diplomatiques et financiers, mars 1929",Sociétés,Tahiti (Polynésie),Pacifique
pacifique-phosphates-de-l-oceanie-afb1fe,phosphatesoceanie,Phosphates de l'Océanie,phosphatesoceanie,Compagnie française des phosphates de l'Océanie,administrateur,1929,"Les Documents politiques, diplomatiques et financiers, mars 1929",Sociétés,Tahiti (Polynésie),Pacifique
pacifique-phosphates-de-l-oceanie-afb1fe,phosphatesoceanie,Phosphates de l'Océanie,maroc,Compagnie générale du Maroc,administrateur,1929,"Les Documents politiques, diplomatiques et financiers, mars 1929",Sociétés,Tahiti (Polynésie),Pacifique
