person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
bertrand-l,Bertrand,L. Bertrand; Léon Bertrand; Léon Bertrand 1,7,7,25,administrateur,1921,1948,Documents généraux; Sociétés
froment-guieysse-g,Froment-Guieysse,Froment-Guieysse; G. Froment- Guieysse; G. Froment-Guieysse; Georges Froment-Guieysse,6,6,12,administrateur,1922,1928,Documents généraux; Sociétés
picot-h,Picot,Henri Picot,5,5,12,president,1922,1938,Documents généraux; Sociétés
agache-e,Agache,Ed Agache; Edmond Agache; Edmond Agache2,5,5,11,administrateur,1922,1938,Documents généraux; Sociétés
gallois-c,Gallois,Ch. Gallois; Charles Gallois,4,4,8,administrateur,1922,1928,Documents généraux; Sociétés
touze-e,Touze,E. Touze; Étienne Touze; Étienne-Adolphe Touze,3,3,18,president,1921,1951,Documents généraux; Sociétés
johnston-g,Johnston,G. Johnston; George Johnston; Georges Johnston,3,3,17,administrateur,1921,1953,Documents généraux; Sociétés
chiris-g,Chiris,Georges Chiris,3,3,12,president,1914,1937,Documents généraux; Sociétés
levy-e-edmond,Lévy,Edmond Lévy,3,3,12,administrateur,1914,1951,Documents généraux; Sociétés
gorchs-chacou-f,Gorchs-Chacou,F. Gorchs-Chacou; Félix Gorchs-Chacou,3,3,6,administrateur,1921,1927,Documents généraux; Sociétés
lammens-l,Lammens,L. Lammens; Léon Lammens,3,3,6,administrateur,1922,1928,Documents généraux; Sociétés
bouffe-g,Bouffe,G. Bouffé; Gaston Bouffe; Gaston Bouffé,2,2,15,administrateur,1925,1953,Documents généraux; Sociétés
hersent-j,Hersent,J. B. D. Hersent; J. B. Hersent; J.-B. Hersent; J.B.D. Hersent; Jean Hersent,2,2,14,administrateur,1921,1940,Documents généraux; Sociétés
balding-b,Balding,B. Balding; B. C. Balding; B. T. Balding; B.-T. Balding; B.T. Balding,2,2,13,administrateur,1921,1940,Documents généraux; Sociétés
king-a,King,A. King; A.-J. King; A.J. King,2,2,12,administrateur,1925,1948,Documents généraux; Sociétés
pilter-j,Pilter,J. Pilter; John Pilter,2,2,11,administrateur,1921,1938,Documents généraux; Sociétés
cunisset-p,Cunisset,P. Cunisset,2,2,10,administrateur,1914,1937,Documents généraux; Sociétés
hersent-g,Hersent,G. Hersent,2,2,8,administrateur,1927,1945,Sociétés
flipo-p,Flipo,P. Flipo; Pierre Flipo,2,2,6,administrateur,1921,1926,Documents généraux; Sociétés
carrier,Carrier,Carrier,2,2,5,administrateur,1921,1938,Documents généraux; Sociétés
hivonnait-p,Hivonnait,Hivonnait; P. Hivonnait,2,2,3,vice_president,1910,1922,Documents généraux; Sociétés
mesnier-j,Mesnier,J. Mesnier; Mesnier,2,2,3,administrateur,1922,1925,Documents généraux; Sociétés
ristelhueber-p,Ristelhueber,P. Ristelhueber; Ristelhueber,2,2,3,administrateur,1910,1922,Documents généraux; Sociétés
eug-jacquey,Eug. Jacquey,Eug. Jacquey,2,2,3,administrateur,1922,1928,Documents généraux; Sociétés
tassy,Tassy,Tassy,2,2,3,administrateur,1922,1926,Documents généraux; Sociétés
hersent-g-georges,Hersent,Georges Hersent,2,2,3,president,1925,1926,Documents généraux; Sociétés
ballande-a,Ballande,A. Ballande; André Ballande,2,2,2,administrateur,1922,1926,Documents généraux
luffer-a,Lœuffer,A. Lœuffer,2,2,2,administrateur,1922,1928,Documents généraux; Sociétés
roume-e,Roume,E. Roume; Ernest Roume,2,2,2,president,1910,1926,Documents généraux; Sociétés
carrier-m,Carrier,Maurice Carrier,2,2,2,administrateur,1925,1926,Documents généraux; Sociétés
papeete,Papeete,? Papeete; Papeete,2,2,2,administrateur,1928,1951,Documents généraux; Sociétés
marquises,Marquises,Marquises,2,2,2,vice_president,1925,1938,Sociétés
chiris,Chiris,Chiris,2,2,2,administrateur,1914,1918,Sociétés
galoppe-r,Galoppe,Robert Galoppe,2,2,2,president,1925,1929,Sociétés
ph-crozier,Ph. Crozier,Ph. Crozier,1,1,9,administrateur,1921,1945,Documents généraux; Sociétés
marceron-m,Marceron,Marcel Marceron; Marceron,1,1,9,administrateur,1929,1948,Documents généraux; Sociétés
leplus-p,Leplus,Paul Leplus,1,1,4,administrateur,1922,1926,Documents généraux; Sociétés
steinmann-h,Steinmann,Henri Steinmann; Henry Steinmann,1,1,4,administrateur,1922,1926,Documents généraux; Sociétés
paulin-c,Paulin,Ch. Paulin,1,1,4,administrateur,1921,1926,Documents généraux; Sociétés
coprah,Coprah,Coprah,1,1,4,administrateur,1951,1951,Documents généraux
babeau-a,Babeau,André Babeau; Babeau,1,1,3,administrateur,1922,1926,Documents généraux; Sociétés
raffard-w,Raffard,W. Raffard,1,1,3,administrateur,1914,1926,Documents généraux; Sociétés
levy,Lévy,Lévy,1,1,3,administrateur,1914,1922,Documents généraux; Sociétés
quertier-d,Quertier,Denis Quertier,1,1,3,administrateur,1922,1925,Documents généraux; Sociétés
rocca-j,Rocca,J.-B. Rocca,1,1,3,administrateur,1921,1925,Documents généraux; Sociétés
moquet-l,Moquet,Léon Moquet,1,1,3,administrateur,1937,1951,Documents généraux; Sociétés
vanson-a,Vanson,A. Vanson,1,1,3,administrateur,1940,1953,Sociétés
roume,Roume,Roume,1,1,2,president,1922,1922,Documents généraux; Sociétés
ballande,Ballande,Ballande,1,1,2,administrateur,1922,1922,Documents généraux; Sociétés
johnston,Johnston,Johnston,1,1,2,administrateur,1922,1922,Documents généraux; Sociétés
waldeck-rousseau-r,Waldeck-Rousseau,Waldeck-Rousseau,1,1,2,administrateur,1922,1922,Documents généraux; Sociétés
baille-j,Baille,J.-B. Baille; Jean-Louis Baille,1,1,2,administrateur,1922,1923,Documents généraux; Sociétés
de-valcourt-e,de Valcourt,Edouard de Valcourt; Édouard de Valcourt,1,1,2,administrateur,1922,1926,Documents généraux
raoul-duval,Raoul-Duval,Raoul-Duval,1,1,2,administrateur,1922,1925,Documents généraux; Sociétés
ed-de-valcourt,Éd de Valcourt,Éd de Valcourt,1,1,2,administrateur,1922,1922,Documents généraux; Sociétés
pelleray-e,Pelleray,Emmanuel Pelleray,1,1,2,administrateur,1922,1922,Documents généraux; Sociétés
regismanset-c,Régismanset,Ch. Régismanset; Charles Régismanset,1,1,2,administrateur,1933,1937,Documents généraux; Sociétés
guibourt-g,Guibourt,Gaston Guibourt,1,1,2,administrateur_delegue,1936,1937,Documents généraux; Sociétés
generales-m,générales,Marchandises générales,1,1,2,gerant,1937,1951,Documents généraux
