doc_id,company_key,company_name,person_id,name_clean,surname,given,role,year,period,is_board_seat,source_ref,annotation,sector,country,region,anchor_type,trigger,member_raw
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelensaintpaulamsterdamfreresrenehenrybossiere,"Compagnie Générale des îles Kerguelen, Saint-Paul et Amsterdam. Les frères Réné et Henry Bossière",dewulf-f,F. Dewulf,Dewulf,F.,administrateur,1912,pre_1914,1,"La Cote de la Bourse et de la banque, 23 novembre 1912",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_compose,MM. F. Dewulf
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelensaintpaulamsterdamfreresrenehenrybossiere,"Compagnie Générale des îles Kerguelen, Saint-Paul et Amsterdam. Les frères Réné et Henry Bossière",bossiere-h,H. Bossière,Bossière,H.,administrateur,1912,pre_1914,1,"La Cote de la Bourse et de la banque, 23 novembre 1912",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_compose,H. Bossière
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelensaintpaulamsterdamfreresrenehenrybossiere,"Compagnie Générale des îles Kerguelen, Saint-Paul et Amsterdam. Les frères Réné et Henry Bossière",canu-e,E. Canu,Canu,E.,administrateur,1912,pre_1914,1,"La Cote de la Bourse et de la banque, 23 novembre 1912",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_compose,E. Canu
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelensaintpaulamsterdamfreresrenehenrybossiere,"Compagnie Générale des îles Kerguelen, Saint-Paul et Amsterdam. Les frères Réné et Henry Bossière",gauthier-p,P. Gauthier,Gauthier,P.,administrateur,1912,pre_1914,1,"La Cote de la Bourse et de la banque, 23 novembre 1912",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_compose,P. Gauthier
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelensaintpaulamsterdamfreresrenehenrybossiere,"Compagnie Générale des îles Kerguelen, Saint-Paul et Amsterdam. Les frères Réné et Henry Bossière",couvreux-a,A. Couvreux,Couvreux,A.,administrateur,1912,pre_1914,1,"La Cote de la Bourse et de la banque, 23 novembre 1912",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_compose,A. Couvreux
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelenstpaulamsterdam,"Cie générale des îles Kerguelen, St-Paul et Amsterdam",e-bossiere-r,René E. Bossière,E. Bossière,René,president,1922,1914_1929,1,"Viroflay, 1852-Neuilly, 1922",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_annuaire,MM. René E. Bossière
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelenstpaulamsterdam,"Cie générale des îles Kerguelen, St-Paul et Amsterdam",e-bossiere-h,Henry E. Bossière,E. Bossière,Henry,administrateur,1922,1914_1929,1,"Viroflay, 1852-Neuilly, 1922",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_annuaire,Henry E. Bossière
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelenstpaulamsterdam,"Cie générale des îles Kerguelen, St-Paul et Amsterdam",couvreux-a,Abel Couvreux,Couvreux,Abel,administrateur,1922,1914_1929,1,"Viroflay, 1852-Neuilly, 1922",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_annuaire,Abel Couvreux
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelenstpaulamsterdam,"Cie générale des îles Kerguelen, St-Paul et Amsterdam",dewulf-p,Pierre Dewulf,Dewulf,Pierre,administrateur,1922,1914_1929,1,"Viroflay, 1852-Neuilly, 1922",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_annuaire,Pierre Dewulf
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelenstpaulamsterdam,"Cie générale des îles Kerguelen, St-Paul et Amsterdam",gauthier-p,Paul Gauthier,Gauthier,Paul,administrateur,1922,1914_1929,1,"Viroflay, 1852-Neuilly, 1922",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_annuaire,Paul Gauthier
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelenstpaulamsterdam,"Cie générale des îles Kerguelen, St-Paul et Amsterdam",e-bossiere-r,René E. Bossière,E. Bossière,René,administrateur_delegue,1923,1914_1929,1,"Journal officiel de la République française, 16 août 1923, p. 8157",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_annuaire,MM. René E. Bossière
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelenstpaulamsterdam,"Cie générale des îles Kerguelen, St-Paul et Amsterdam",e-bossiere-h,Henry E. Bossière,E. Bossière,Henry,administrateur,1923,1914_1929,1,"Journal officiel de la République française, 16 août 1923, p. 8157",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_annuaire,Henry E. Bossière
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelenstpaulamsterdam,"Cie générale des îles Kerguelen, St-Paul et Amsterdam",emm-couvreux,Emm. Couvreux,Emm. Couvreux,,administrateur,1923,1914_1929,1,"Journal officiel de la République française, 16 août 1923, p. 8157",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_annuaire,Emm. Couvreux
madagascar-et-djibouti-cie-gen-iles-kerguelen-4bebe3,ileskerguelenstpaulamsterdam,"Cie générale des îles Kerguelen, St-Paul et Amsterdam",gauthier-p,Paul Gauthier,Gauthier,Paul,administrateur,1923,1914_1929,1,"Journal officiel de la République française, 16 août 1923, p. 8157",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_annuaire,Paul Gauthier
madagascar-et-djibouti-langouste-francaise-9d0c0f,langouste,Langouste française,caille-a,Alfred-Clément Caille,Caille,Alfred-Clément,administrateur,1928,1914_1929,1,"La Journée industrielle, 16 décembre 1928",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_compose,MM. Alfred-Clément Caille
madagascar-et-djibouti-langouste-francaise-9d0c0f,langouste,Langouste française,foulon-r,René-Félix Foulon,Foulon,René-Félix,administrateur,1928,1914_1929,1,"La Journée industrielle, 16 décembre 1928",,Sociétés diverses,Terres australes et antartiques françaises,Madagascar et Djibouti,citation,conseil_compose,René-Félix Foulon
