person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
froment-guieysse-g,Froment-Guieysse,Georges Froment-Guieysse,2,2,2,administrateur,1925,1930,Agriculture; Commerce
combrouze-g,Combrouze 1,Gabriel Combrouze; Gabriel Combrouze 1,1,1,2,administrateur,1921,1921,Agriculture
gasparin-l,Gasparin 2,Lucien Gasparin; Lucien Gasparin 2,1,1,2,administrateur,1921,1921,Agriculture
kinziger-v,Kinziger,Victor Kinziger,1,1,2,administrateur,1921,1921,Agriculture
bretzner-m,Bretzner,Bretzner; Maurice Bretzner,1,1,2,president_directeur_general,1948,1948,Commerce
kohly-f,Kohly,F. Kohly; François Kohly,1,1,2,administrateur,1948,1948,Commerce
lejeune-c,Lejeune,C. Lejeune; Camille Lejeune,1,1,2,administrateur,1948,1948,Commerce
borgeaud-p,Borgeaud,Paulin Borgeaud,1,1,2,administrateur,1948,1948,Commerce
cohen-a,Cohen,André Cohen,1,1,1,administrateur,1925,1925,Agriculture
de-fossette-h,de Fossette,Henri de Fossette,1,1,1,administrateur,1925,1925,Agriculture
leverdier-g,Leverdier,Georges Leverdier,1,1,1,administrateur,1925,1925,Agriculture
schwob-d-hericourt-a,Schwob d'Héricourt,André Schwob d'Héricourt,1,1,1,administrateur,1925,1925,Agriculture
tenthorey-v,Tenthorey,Victor Tenthorey,1,1,1,administrateur,1925,1925,Agriculture
eychenne-r,Eychenne,Raymond Eychenne,1,1,1,president_directeur_general,1938,1938,Commerce
zele-j,Zèle,Jacques Zèle,1,1,1,administrateur,1938,1938,Commerce
bovet-l,Bovet,Louis Bovet,1,1,1,administrateur,1938,1938,Commerce
pellegrin-l,Pellegrin,Louis Pellegrin,1,1,1,administrateur,1938,1938,Commerce
haussaire-c,Haussaire,Charles Haussaire,1,1,1,administrateur,1938,1938,Commerce
bobichon-h,Bobichon,H. Bobichon,1,1,1,administrateur,1930,1930,Commerce
biraben,Biraben,Biraben,1,1,1,administrateur,1930,1930,Commerce
hubault-p,Hubault,Hubault,1,1,1,administrateur,1930,1930,Commerce
martin-m-max,Martin,Max Martin,1,1,1,administrateur,1930,1930,Commerce
crombe-h,Crombé,Henri Crombé,1,1,1,administrateur,1930,1930,Commerce
siant-l,Siant,L. Siant,1,1,1,administrateur,1948,1948,Commerce
bendall-m,Bendall,Bendall,1,1,1,administrateur,1948,1948,Commerce
mayet-p,Mayet,P. Mayet,1,1,1,administrateur,1948,1948,Commerce
siaut-l,Siaut,Louis Siaut,1,1,1,president_directeur_general,1948,1948,Commerce
manley-bendall,Manley-Bendall,Manley-Bendall,1,1,1,administrateur,1948,1948,Commerce
kohly-r,Kohly,Robert Kohly,1,1,1,administrateur,1948,1948,Commerce
