doc_id,company_key,company_name,member_key,name_clean,role,year,source_ref,sector,country,region
afrique-du-nord-ain-nouba-zinc-011fad,mineszincainnouba,MINES DE ZINC D'AÏN-NOUBA,usinestunisiemineszinc,usines en Tunisie. Mines de zinc,administrateur,1925,Annuaire industriel 1925,Mines,Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,corderiesseine,CORDERIES DE LA SEINE,usinesgraville,Cie. ] Usines à Graville,administrateur,1925,"ANNUAIRE INDUSTRIEL, 1925",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,etablissementsluchaire,Établissements LUCHAIRE,havane,Havane,administrateur,1925,"ANNUAIRE INDUSTRIEL, 1925",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,socnouvmineszaghouan,Soc. nouv. anon. des MINES DE ZAGHOUAN,usinestunisiemineszinc,usines en Tunisie. Mines de zinc,administrateur,1925,"ANNUAIRE INDUSTRIEL, 1925",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,minierekanguet,MINIÈRE DU KANGUET,unionminiere,de l'Union minière,administrateur,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,auxiliairenavigation,Cie auxiliaire de NAVIGATION,tunisie,Tunisie,commissaire_aux_comptes,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,auxiliairenavigation,Cie auxiliaire de NAVIGATION,espagne,l'Espagne,commissaire_aux_comptes,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,tunisiennephosphatesdjebelmdilla,Cie tunisienne des PHOSPHATES du DJEBEL M'DILLA,puisasiatique,puis à la Cie asiatique,secretaire,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,tunisiennephosphatesdjebelmdilla,Cie tunisienne des PHOSPHATES du DJEBEL M'DILLA,colonialebambao,de la Société coloniale de Bambao,secretaire,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,tunisiennephosphatesdjebelmdilla,Cie tunisienne des PHOSPHATES du DJEBEL M'DILLA,grandecomore,de la Société de la Grande- Comore,secretaire,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,phosphatesdyr,Cie des PHOSPHATES du DYR,coltd7,CO Ltd. 7,president,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,sacunion,SAC-UNION,comptoirest,Comptoir de l'Est,administrateur,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,sacunion,SAC-UNION,jguenin,Société J.-L. Guénin,administrateur,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,sacunion,SAC-UNION,indiajutecy,Société India-Jute Cy,administrateur,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1925-tunisie-d7c1f4,sacunion,SAC-UNION,filsmpignol,Société les fils de M. Pignol,administrateur,1944,"Mâcon, 1872-Paris, 1944",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1938-tunisie-06d5aa,socgenexplosifscheddites,Soc. gén. d'explosifs CHEDDITES,usineslamarchesaone,Usines à Lamarche-sur- Saône,administrateur,1938,"ANNUAIRE INDUSTRIEL, 1938",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1938-tunisie-06d5aa,commercialetunisienne,Société COMMERCIALE TUNISIENNE,gboulognetoutesoperationsbanque,G. Boulogne. Toutes opérations de banque,administrateur,1938,"ANNUAIRE INDUSTRIEL, 1938",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1938-tunisie-06d5aa,huileriefrancotunisienne,Société HUILERIE FRANCO-TUNISIENNE,usinessousse,Usines à Sousse,administrateur,1938,"ANNUAIRE INDUSTRIEL, 1938",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-ann-indus-1938-tunisie-06d5aa,portbizerte,Cie du PORT de BIZERTE,lieegroupehersent,liée au groupe Hersent,administrateur_delegue,1938,"ANNUAIRE INDUSTRIEL, 1938",Documents généraux (par ordre chronologique),Tunisie,Tunisie
afrique-du-nord-banque-de-tunisie-b95f30,banquetunisie,Banque de Tunisie,parvotre,par votre Société,administrateur,1886,"Le Messager de Paris, 7 juillet 1886, p. 2","Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-banque-de-tunisie-b95f30,banquetunisie,Banque de Tunisie,mobilierdssonagencetunis,mobilier ds son agence de Tunis,administrateur,1886,"Le Messager de Paris, 7 juillet 1886, p. 2","Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-banque-de-tunisie-b95f30,banquetunisie,Banque de Tunisie,mineszincguergour,Mines de zinc de Guergour,administrateur,1922,"AEC 1922, p. 21","Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-banque-de-tunisie-b95f30,banquetunisie,Banque de Tunisie,banquetransatlantique,de la Banque transatlantique,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,"Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-banque-de-tunisie-b95f30,banquetunisie,Banque de Tunisie,chantiers,de la Société des chantiers,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,"Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-banque-de-tunisie-b95f30,banquetunisie,Banque de Tunisie,compagniesassurancesunion,des compagnies d'assurances l'Union,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,"Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-bazina-ste-frse-du-5d5357,bazina,Société française du Bazina,etudes,Société française d'études,administrateur,1945,Annuaire Desfossés 1945,Mines,Tunisie,Tunisie
afrique-du-nord-bazina-ste-frse-du-5d5357,bazina,Société française du Bazina,etudes,Société française d'études,administrateur,1948,Annuaire Desfossés 1948,Mines,Tunisie,Tunisie
afrique-du-nord-credit-foncier-tunisie-1906-08-02304c,creditfonciertunisie,Crédit foncier de Tunisie,censeurbanquealgerie,censeur de la Banque de l'Algérie,administrateur_delegue,1906,"Paris-Capital, 22 août 1906","Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-credit-foncier-tunisie-1906-08-02304c,creditfonciertunisie,Crédit foncier de Tunisie,creditfonciercolonial,au Crédit foncier colonial,administrateur,1906,"Paris-Capital, 22 août 1906","Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-credit-foncier-tunisie-1906-08-02304c,creditfonciertunisie,Crédit foncier de Tunisie,ildevientpresidentuniontramways,il devient président de l'Union des tramways,administrateur,1906,"Paris-Capital, 22 août 1906","Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-credit-foncier-tunisie-1906-08-02304c,creditfonciertunisie,Crédit foncier de Tunisie,instituantcreditfonciertunisie,instituant le Crédit foncier de Tunisie,administrateur,1908,"L'Information financière, économique et politique, 17 août 1908","Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-credit-foncier-tunisie-1906-08-02304c,creditfonciertunisie,Crédit foncier de Tunisie,applicablescreditfoncierfrance,applicables au Crédit foncier de France,administrateur,1908,"L'Information financière, économique et politique, 17 août 1908","Banques et groupes financiers, assurances",Tunisie,Tunisie
afrique-du-nord-dalmatienne-45828b,dalmatienne,Dalmatienne,bozelmaletra,Société Bozel Malétra,administrateur,1940,Annuaire Desfossés 1940,Mines,Tunisie,Tunisie
afrique-du-nord-djebel-ressas-miniere-9d8d2b,minesdjebelressas,Société des mines du Djebel-Ressas,cesne,Cesne,commissaire_aux_comptes,1922,Annuaire des valeurs de l’Afrique du Nord 1922,Mines,Tunisie,Tunisie
afrique-du-nord-djebel-ressas-miniere-9d8d2b,minesdjebelressas,Société des mines du Djebel-Ressas,cesne,Cesne,commissaire_aux_comptes,1926,Annuaire des valeurs de l’Afrique du Nord 1926,Mines,Tunisie,Tunisie
afrique-du-nord-domaine-de-potinville-b17e9e,domainepotinville,Domaine de Potinville,consortiumnord,Consortium du Nord,administrateur,1937,Annuaire Desfossés 1937,Industries agro-alimentaires,Tunisie,Tunisie
afrique-du-nord-domaine-de-potinville-b17e9e,domainepotinville,Domaine de Potinville,consortiumnord,Consortium du Nord,administrateur,1940,Annuaire Desfossés 1940,Industries agro-alimentaires,Tunisie,Tunisie
afrique-du-nord-domaine-de-potinville-b17e9e,domainepotinville,Domaine de Potinville,menestrel,Ménestrel,administrateur,1953,Annuaire Desfossés 1953,Industries agro-alimentaires,Tunisie,Tunisie
afrique-du-nord-enfida-a59a68,agricoleimmobilierefrancoafricaine,Société agricole et immobilière franco-africaine,conseiletat,au Conseil d'État,administrateur,1940,Annuaire Desfossés 1940,Industries agro-alimentaires,Tunisie,Tunisie
