person_id,company_id,n_observations,first_year,last_year,top_role,is_board_seat
frezier-e,barthelemyrobaglia,1,1933,1933,administrateur,1
gratieux-g,barthelemyrobaglia,1,1933,1933,administrateur_delegue,1
montegu-g,barthelemyrobaglia,1,1933,1933,administrateur,1
portal-j,barthelemyrobaglia,1,1933,1933,administrateur,1
robaglia-b,barthelemyrobaglia,1,1933,1933,president,1
bovy-m,caoutchoucscaroni,1,1901,1901,administrateur,1
couturier-a,caoutchoucscaroni,1,1901,1901,administrateur,1
couturier-c,caoutchoucscaroni,1,1901,1901,administrateur,1
parent-e,caoutchoucscaroni,1,1901,1901,administrateur,1
calderon-f,mocupia,4,1937,1948,administrateur,1
cellerier-j,mocupia,3,1927,1931,administrateur,1
fraisse-a,mocupia,1,1948,1948,administrateur,1
frezier-e,mocupia,4,1926,1931,administrateur,1
gratieux-g,mocupia,3,1931,1940,administrateur_delegue,1
isnard-a,mocupia,3,1940,1948,administrateur,1
lasseigne-l,mocupia,4,1937,1948,president,1
lautard-j,mocupia,1,1948,1948,president_directeur_general,1
montegu-g,mocupia,1,1931,1931,administrateur,1
portal,mocupia,1,1945,1945,administrateur,1
portal-j,mocupia,3,1937,1948,administrateur,1
riocreux-l,mocupia,2,1945,1948,administrateur,1
robaglia-b,mocupia,1,1931,1931,administrateur,1
sauvagnac,mocupia,1,1931,1931,administrateur,1
