person_id,company_id,n_observations,first_year,last_year,top_role,is_board_seat
baclot-h,1929,1,1947,1947,administrateur,1
defaye-a,1929,2,1936,1947,directeur_general,0
geesing-h,1929,1,1947,1947,administrateur,1
geesing-o,1929,1,1936,1936,administrateur,1
import-van-triplex-en-harde-houtsoorten,1929,2,1936,1947,administrateur,1
kuipers-a,1929,1,1936,1936,administrateur,1
tricart-p,1929,2,1936,1947,president,1
van-den-bosch,1929,1,1947,1947,administrateur,1
administrateurs-afrique,africaine,1,1937,1937,administrateur,1
congo,africaine,1,1937,1937,administrateur,1
de-caplane-p,africaine,1,1924,1924,administrateur,1
et-alfred-de-lenfernat-de-la-mothe,africaine,1,1924,1924,administrateur,1
gillet-a,africaine,2,1929,1951,administrateur,1
lefevre-c,africaine,5,1924,1937,administrateur,1
pecqueur-w,africaine,4,1929,1951,administrateur,1
videau-j,africaine,2,1929,1951,president,1
casablanca-n,africainechaussuresbp,2,1949,1949,administrateur,1
favre-gilly-r,africainechaussuresbp,1,1949,1949,administrateur,1
guelfman-g,africainechaussuresbp,1,1949,1949,administrateur,1
marroqui-f,africainechaussuresbp,1,1949,1949,administrateur,1
renaldo-l,africainechaussuresbp,1,1949,1949,administrateur,1
sapin-ligneres,africainechaussuresbp,1,1949,1949,administrateur,1
brueder-j,africaineconstructionscivilesindustrielles,1,,,president,1
ramas-j,africaineconstructionscivilesindustrielles,1,,,administrateur,1
rodary-p,africaineconstructionscivilesindustrielles,1,,,administrateur_delegue,1
romain-e,africaineconstructionscivilesindustrielles,1,,,administrateur,1
a-casablanca-c,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
appele-par-celles-de-nam-kok,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
barondeau-ingenieur-des-mines-e,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
brueder-j,africaineconstructionscivilesindustriellesbp,1,1949,1949,president,1
delegue-au-conseil-des-interets-economiques,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
et-de-gabon-niari-a-dolisie,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
ramas-j,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur,1
rodary-p,africaineconstructionscivilesindustriellesbp,1,1949,1949,administrateur_delegue,1
breton-a,africaineentreprises,2,1945,1948,administrateur,1
gervot-g,africaineentreprises,3,1949,1953,administrateur,1
griffoul-l,africaineentreprises,3,1940,1948,administrateur,1
legay-f,africaineentreprises,3,1937,1940,president,1
legay-v,africaineentreprises,2,1949,1949,administrateur,1
modiano-a,africaineentreprises,1,1953,1953,president_directeur_general,1
modiano-pere-de-patrick-a,africaineentreprises,2,1949,1949,president,1
paccaly-l,africaineentreprises,2,1937,1940,administrateur,1
petit-e,africaineentreprises,1,1937,1937,administrateur,1
philibert,africaineentreprises,1,1945,1945,administrateur,1
pochez-l,africaineentreprises,2,1949,1949,administrateur,1
rogier-l,africaineentreprises,4,1937,1948,administrateur,1
rossel-p,africaineentreprises,2,1937,1948,administrateur,1
vvelegay,africaineentreprises,2,1945,1948,president_directeur_general,1
henri-ducanon-c,africaineentreprisesindustriellesimmobilieresbp,1,1949,1949,administrateur_delegue,1
lorient,africaineentreprisesindustriellesimmobilieresbp,1,1949,1949,administrateur_delegue,1
pierre-a,africaineentreprisesindustriellesimmobilieresbp,1,1949,1949,administrateur,1
rodes-p,africaineentreprisesindustriellesimmobilieresbp,1,1949,1949,president,1
chevrier,africaineforestiere,2,1937,1951,administrateur,1
flandre-p,africaineforestiere,2,1937,1951,administrateur,1
marcel-h,africaineforestiere,1,1937,1937,administrateur,1
martin,africaineforestiere,2,1937,1951,president,1
ayme-j,africaineforestiereagricole,2,1947,1951,administrateur,1
de-beaumont-j,africaineforestiereagricole,2,1947,1951,administrateur,1
de-rivaud-r,africaineforestiereagricole,2,1947,1951,president,1
langlois-berthelot-p,africaineforestiereagricole,2,1947,1951,administrateur,1
michaux-r,africaineforestiereagricole,2,1947,1951,administrateur,1
roullet-e,africaineforestiereagricole,2,1947,1951,administrateur,1
roullet-g,africaineforestiereagricole,2,1947,1951,administrateur,1
vieljeux-c,africaineforestiereagricole,1,1947,1947,administrateur,1
vieljeux-delmas-vieljeux-c,africaineforestiereagricole,1,1951,1951,administrateur,1
wielemans-l,africaineforestiereagricole,2,1947,1951,administrateur,1
dujardin-c,africaineimportationsindustriellescommercialessafric,1,1947,1947,gerant,0
legrand,africaineindustrielleforestiere,2,1935,1937,administrateur,1
munich-j,africaineindustrielleforestiere,2,1935,1937,administrateur,1
munich-p,africaineindustrielleforestiere,2,1935,1937,president,1
joubert,africainematerielindustriel,1,1951,1951,administrateur,1
liehenguth,africainematerielindustriel,1,1951,1951,administrateur,1
pecqueur-w,africainematerielindustriel,1,1951,1951,president_directeur_general,1
tichauer,africainematerielindustriel,1,1951,1951,administrateur,1
dessombs-p,africaineplacages,1,1951,1951,administrateur,1
hauser-e,africaineplacages,1,1951,1951,president,1
sellier-r,africaineplacages,1,1951,1951,administrateur,1
dessombs-p,africaineplacagesportgentil,1,1951,1951,administrateur,1
hauser-e,africaineplacagesportgentil,1,1951,1951,president,1
