company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
occidentaleafricaine,scieriesafricaines,L'Occidentale Africaine,Compagnie des Scieries africaines,19,anthoine-f; bernheim-l; bocquet-j; bricard-l; cassagnac-j; chevallier-du-buisson-r; et-paul-paillet; experton-p; fouque-j; fourn-g; fousse-p; gast-a; haas-a; klotz-e; nemos-e; vigne-r; vizioz-d; vizioz-g; vizioz-j
messageriesafricaines,minesfalemegambie,Messageries africaines,Compagnie des Mines de Falémé-Gambie,12,charbonnel-h; de-rouvre-c; duchesne-fournet-p; gimon-c; haute-volta; lederlin-h; legrand-g; martin-j; michel-cote-c; roulleaux-dugage-h; soudan; watel-p
huileriesrizeriesouestafricaines,huileriesrizeriesouestafricainesh,Société des Huileries et rizeries ouest-africaines,Société des huileries et rizeries ouest-africaines (S.H,11,boutal-f; fourneau-l; gaudart-r; guy-c; legrand-j; legrand-r; loisy-x; muller-v; oudot-l; petersen-g; vezia
eloka,plantationsafriqueoccidentaleeloka,ELOKA,Plantations de l'Afrique occidentale à Éloka,11,berton-a; brussel-j; d-eudeville-h; de-joannis-e; de-saint-mars-r; dromel-p; lehideux-j; lehideux-p; petiet-r; thureau-dangin-l; thureau-dangin-p
dabou,uniontropicaleplantations,DABOU,Union tropicale de plantations,11,daudier-e; de-beaumont-j; de-rivaud-r; gregoire-sainte-marie-r; japhet-e; mathe-dumaine-r; michaux-r; ph-langlois-berthelot; pirlet-l; schoofs-m; smekens-a
agricolecommercialeindustriellebadikaha,agricolecommercialeindustriellebadikahacacib,"Compagnie agricole, commerciale et industrielle de Badikaha","Compagnie Agricole, Commerciale et Industrielle de Badikaha CACIB)",10,castres-saint-martin-g; claude-h-mallon; de-chanaud-g; de-lestang-l; dormoy-a; josse-r; schmidt-g; tanqueray-g; vezin-m; weyl-m
minesfaleme,minesfalemegambie,Mines de Falémé,Compagnie des Mines de Falémé-Gambie,10,charbonnel-h; charlier-a; de-batz-r; de-la-mazeliere-o; duchesne-fournet-p; lederlin-h; legrand-g; martin-j; roulleaux-dugage-h; watel-p
agenceabidjan,commercialeportsafricains,Agence à Abidjan,Société commerciale des ports africains,10,bouffe-g; commerciale-d-affretements-s; davillier-j; dugue-p; fossorier-r; legendre-r; lemaignen-r; merville-j; moreau-neret-a; roux-j
agboville,transitgrandlahou,AGBOVILLE,Société de Transit de Grand-Lahou,9,calcat-f; levy-g; mizraki-m; mounier-a; mounier-p; pierre; plagelat-l; vialle-a; vialle-j
messageriesafricaines,minesfaleme,Messageries africaines,Mines de Falémé,9,charbonnel-h; duchesne-fournet-p; lederlin-h; legrand-g; martin-j; paulis-a; renoux-l; roulleaux-dugage-h; watel-p
forestiereequatoriale,uniontropicaleplantations,Compagnie Forestière équatoriale,Union tropicale de plantations,9,daudier-e; de-beaumont-j; de-rivaud-o; de-rivaud-r; hallet-r; japhet-e; michaux-r; ph-langlois-berthelot; schoofs-m
hortala,huileriesafricaines,HORTALA,Huileries africaines,8,adm-mm-a-hallet; delsaux-p; nouvion-h; pernotte-j; pres-m-e-mathon; rosa-e; toulemonde-l; van-de-velde-w
aboisso,plantationselima,ABOISSO,Plantations d'Élima,8,beynis-e; bretigniere-m; deloffre-g; faucheux-j; guibert-g; joyel-faure-a; oudinot-p; sitri-e
comptoirsreunisouestafricain,raymondbuurmans,Comptoirs réunis de l'Ouest-Africain,Raymond Buurmans,8,caplain-e; caplain-l; desouches-b; fourie-h; planty-a; sicard-u; sicault-l; weber-j
alsaciennecoteivoire,occidentaleafricaine,Société Alsacienne de la Côte d’Ivoire,L'Occidentale Africaine,8,anthoine-f; bocquet-j; bonfils-e; bricard-l; fourn-g; fousse-p; nemos-e; vizioz-g
brasseriescoteivoire,brasseriesouestafricain,Société des Brasseries de la Côte-d'Ivoire,Société des Brasseries de l'Ouest Africain,8,curral-j; de-lestapis-r; faivre-h; gaston-dreyfus-r; glacieres-de-l-indochine; kreiss-p; monnier-c; orcel-j
