company_id,name,sectors,n_ties,n_directors,first_year,last_year
mineshuaron,Compagnie des Mines de Huaron,,98,40,1910,1953
saintelie,Saint-Élie,Mines et placers,81,40,1878,1912
forestiereguyane,Société Forestière de la Guyane française,Divers; Documentation générale,47,31,1919,1951
minesorguyanehollandaise,Compagnie des Mines d'or de la Guyane hollandaise,Documentation générale,42,30,1895,1938
industrielleagricolepointepitre,Société Industrielle et Agricole de La Pointe-à-Pitre,Divers,84,29,1913,1950
sucreriesbresiliennes,Sucreries brésiliennes,,75,27,1912,1953
minescuivrenaltagua,Mines de cuivre de Naltagua,,28,20,1912,1938
messageriesantillaises,Messageries antillaises,Divers,24,18,1912,1912
consortiummoruefrance,Consortium de la morue en France,Documentation générale,21,18,1926,1937
minesorguyane,Compagnie des Mines d'or de la Guyane française,Documentation générale; Mines et placers,24,16,1927,1937
mocupia,"Compagnie française de la Mocupia, puis Mocupia",,33,15,1926,1948
commercialeantillesfrancaisesftanon,Cie commerciale des Antilles françaises F. Tanon et Cie,Divers; Documentation générale,32,14,1924,1951
banqueauxiliairecoloniale,Banque auxiliaire coloniale,Documentation générale,15,14,1922,1922
entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,Documentation générale,14,14,1922,1922
martiniquaisedistributionenergieelectrique,Compagnie Martiniquaise de distribution d'énergie électrique,Divers,22,13,1931,1931
sucriereagricoleguyane,Société Sucrière et agricole de la Guyane française,Divers; Documentation générale,18,13,1927,1937
theresia,« La Thérésia »,Documentation générale,15,13,1937,1937
creditfoncierbresilameriquesud,Crédit foncier du Brésil et de l'Amérique du Sud,,13,13,1917,1917
transportsaeriensguyanais,Transports aériens guyanais,Divers; Documentation générale,19,12,1919,1922
exploitationsminieresinini,Société d'Exploitations minières de l'Inini,Documentation générale; Mines et placers,23,11,1951,1953
commercialeantillesfrancaisesfredtanon,Compagnie Commerciale des Antilles françaises Fréd. Tanon et Cie,Divers,11,11,1930,1930
forestierecommercialemaroni,Compagnie Forestière et Commerciale du Maroni,Divers,19,10,1923,1923
syndicatmana,Syndicat Mana,Mines et placers,13,10,1911,1911
etablissementsdarboussierindustrielleagricolepointepitre,Établissements Darboussier Sté industrielle et agricole de la Pointe-à-Pitre,Documentation générale,10,10,1927,1927
exploitationsauriferes,Société Française d'Exploitations aurifères,Documentation générale; Mines et placers,16,9,1911,1937
felixhubert,Félix Hubert,Documentation générale,9,9,1937,1937
representationcoloniale,Représentation coloniale,Documentation générale,9,9,1937,1951
comptoirsgenerauxguyane,"Comptoirs généraux de la Guyane, puis Comptoirs généraux des colonies",Commerce,9,9,1927,1927
guadeloupeennedistributionenergieelectrique,Compagnie Guadeloupéenne de distribution d'énergie électrique,Divers,13,8,,
planteursantillaisreunis,Planteurs Antillais Réunis,Documentation générale,8,8,1937,1937
terre,TERRE,Documentation générale,8,8,1937,1937
unioncommercialebasseterre,Union commerciale de Basse-Terre,Documentation générale,8,8,1937,1937
antillaiseconstructionsciviles,Cie Antillaise de constructions civiles,Documentation générale,8,8,1937,1937
agricoleguyanomarocaine,Société agricole Guyano-Marocaine,Documentation générale,8,8,1951,1951
huanchacabolivie,Compagnie Huanchaca de Bolivie,,8,8,1901,1901
usinesbeauport,Usines de Beauport,Divers; Documentation générale,14,7,1907,1962
antillaiseculturecommerce,Société de Antillaise de Culture et de commerce,Divers,12,7,1920,1920
banqueguyane,Banque de la Guyane,Documentation générale,7,7,1922,1922
moruesecheriesfecamp,Morue française et sécheries de Fécamp,Documentation générale,7,7,1926,1926
martiniquaisedistributionenergieelectriquejardin,"Cie martiniquaise de distribution d'énergie électrique, Jardin",Documentation générale,7,7,1937,1937
industrielleagricolepointepitreetablissements,Société industrielle et agricole de la Pointe-à-Pitre (Établissements,Documentation générale,7,7,1937,1937
mataroni,"Cie Française du Mataroni, puis Cie des mines d'or de la Guyane française",Documentation générale; Mines et placers,18,6,1912,1922
gisementsorsaintelie,Gisements d'or de Saint-Élie,Mines et placers,15,6,1914,1920
unionminierehautemana,Union minière de la Haute-Mana,Documentation générale; Mines et placers,12,6,1951,1951
miniereroura,Compagnie Minière de Roura,Documentation générale; Mines et placers,10,6,1929,1937
naltagua,Naltagua,,8,6,1940,1945
desirade,Sté de la Désirade,Documentation générale,6,6,1922,1922
banqueguadeloupe,Banque de la Guadeloupe,Documentation générale,6,6,1922,1922
agricoletroisrivieres,Cie agricole des Trois-Rivières,Documentation générale,6,6,1927,1927
forestiereagricolemaroni,Société Forestière et Agricole du Maroni,Divers,6,6,1882,1882
navigationguadeloupe,Compagnie générale Navigation de la Guadeloupe,Divers,6,6,1928,1928
colonialeagricoleminiere,Société Coloniale Agricole et Minière,Documentation générale; Mines et placers,10,5,1951,1951
comptoirshesse,Comptoirs Hesse et Cie,Commerce; Documentation générale,9,5,1922,1955
grandepeche,GRANDE-PÉCHE,Documentation générale,8,5,1937,1937
banquemartinique,Banque de la Martinique,Documentation générale,5,5,1927,1927
francocanadiennepechesfrigorifiques,Cie franco-canadienne des pêches et frigorifiques,Documentation générale,5,5,1926,1926
electricitefortfrance,Cie d'Électricité de Fort-de-France,Documentation générale,5,5,1937,1937
unionbananiereguyanecayenne,Union bananière de la Guyane CAYENNE,Documentation générale,5,5,1937,1937
agencecentraleparis,Agence centrale à PARIS,Documentation générale,5,5,1920,1920
gisementsordieumerci,Société des Gisements d'or de Dieu-Merci,Mines et placers,5,5,1881,1881
barthelemyrobaglia,Barthélémy Robaglia,,5,5,1933,1933
franceguyane,Société France-Guyane,Divers; Documentation générale,8,4,1931,1937
stelieadieuvat,Société nouvelle de St-Élie et Adieu-Vat,Documentation générale; Mines et placers,7,4,1951,1951
unionbananieremartiniquaise,Union bananière martiniquaise,Documentation générale,4,4,1937,1937
entreprisetransportdistributionelectricite,"Entreprise, transport et distribution d'électricité",Documentation générale,4,4,1937,1937
cotonniereguyane,Société cotonnière de la Guyane,Documentation générale,4,4,1937,1937
immobilierecolonialepetroles,Société immobilière coloniale des pétroles,Documentation générale,4,4,1951,1951
caoutchoucscaroni,Société des Caoutchoucs du Caroni,,4,4,1901,1901
commercialefactoreriesguyanes,Société Commerciale des Factoreries des Guyanes,Commerce,4,4,1909,1909
marseillaisesucreriecoloniale,Cie Marseillaise de SUCRERIE COLONIALE,Divers,4,4,1925,1925
chouanard,CHOUANARD,Documentation générale,22,3,,
antillaise,Cie Antillaise,Documentation générale,3,3,1927,1927
fonciereantillesfrancaises,Société foncière des Antilles françaises,Documentation générale,3,3,1937,1937
miniereorapu,Cie minière de l'Orapu,Documentation générale,3,3,1951,1951
colonialetonnellerie,Compagnie Coloniale de Tonnellerie,Divers,3,3,1931,1931
groupebouillouxlafontcreditfoncierbresil,groupe Bouilloux-Lafont Crédit foncier du Brésil,,3,3,1911,1911
colonialeproduitstannants,Compagnie Coloniale des Produits tannants,Divers,3,3,1933,1933
minesoradieuvatbonneaventure,Société des mines d'or d'Adieu-Vat et Bonne-Aventure,Mines et placers,2,2,1906,1906
francocolonialeantillaise,Sté franco-coloniale antillaise,Documentation générale,2,2,1927,1927
commissionavecantilles,Société générale de commission avec les Antilles,Documentation générale,2,2,1937,1937
saintelieadieuvat,Société nouvelle Saint-Élie et Adieu-Vat,Documentation générale,2,2,1937,1937
marseillaisesucreriecolonialeusineblanchetmorneeau,"Compagnie Marseillaise de sucrerie coloniale, usine du Blanchet, Morne-à-l'Eau",Divers,2,2,1920,1920
navigationtransportsguyaneclanistanon,"Société Française de Navigation et de transports de la Guyane, Clanis, Tanon & Cie",Divers,2,2,1930,1930
sucrerievillaraffard,Sucrerie de Villa-Raffard,,1,1,1911,1911
placerbief,« Le Placer Bief »,Documentation générale,17,0,1937,1937
felixiphigenie,Félix Iphigénie et Cie,Documentation générale,5,0,1937,1937
sucreriecupim,Sucrerie de Cupim,,2,0,1900,1900
