company_id,name,sectors,n_ties,n_directors,first_year,last_year
credit,Crédit français,Groupes financiers transcoloniaux,150,92,1905,1950
etudesentreprisescoloniales,Compagnie française d'Études et entreprises coloniales,Groupes financiers transcoloniaux,114,84,1918,1925
forgesacieriesnordest,Forges et aciéries du Nord et de l'Est,Groupes industriels transcoloniaux,148,83,1905,1953
transportsmaritimesvapeur,Société générale de transports maritimes à vapeur,Documents généraux (par ordre chronologique); Transports maritimes,264,72,1865,1953
unionmines,Union des mines,Groupes financiers transcoloniaux,148,70,1923,1948
navigationsudatlantique,Compagnie de Navigation Sud-Atlantique,Documents généraux (par ordre chronologique); Transports maritimes,122,70,1913,1953
mineslaurium,Compagnie française des Mines du Laurium,Groupes miniers transcoloniaux,141,64,1886,1953
aguilas,Compagnie d'Aguilas,Groupes miniers transcoloniaux,130,62,1882,1953
minierealmagrera,Société minière d'Almagrera,Groupes miniers transcoloniaux,64,60,1906,1925
industriellefonciere,"L'Industrielle Foncière, puis Industrielle Foncière et Routière",Bâtiment et travaux publics; Groupes financiers transcoloniaux,106,56,1907,1948
banquetransatlantique,Banque transatlantique,Groupes financiers transcoloniaux,81,55,1891,1951
unionindustriellecredit,Union industrielle de crédit,Groupes financiers transcoloniaux,124,54,1927,1953
colonies,Compagnie Générale des colonies,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,180,52,1922,1953
tramways,Compagnie Générale Française de Tramways,Transports terrestres,156,52,1880,1945
financierecaoutchoucs,Financière des Caoutchoucs,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,122,51,1912,1951
energieindustrielle,L'Énergie industrielle,"Eau et assainissement, électricité (utilities)",59,51,1919,1938
exploitationselectriques,"Exploitations électriques, puis Exploitations électriques et industrielles","Eau et assainissement, électricité (utilities)",59,51,1911,1938
bazacle,BAZACLE,Groupes financiers transcoloniaux,54,51,1938,1938
chargeursreunis,Chargeurs réunis,Documents généraux (par ordre chronologique); Transports maritimes,85,50,1880,1937
acieriesforgeshautsfourneauxpiombino,"Société des aciéries, forges et hauts fourneaux de Piombino",Groupes financiers transcoloniaux,66,49,1912,1918
tabacs,Compagnie Générale des Tabacs,Groupes industriels transcoloniaux,80,46,1919,1933
banquemutuelleetudes,"Banque mutuelle d'études, puis Banque mutuelle d'études et de crédit",Groupes financiers transcoloniaux,62,46,1912,1921
constructions,CONSTRUCTIONS,Bâtiment et travaux publics,78,45,1922,1938
guet,"Guët & Cie, puis Guët, Raffard & Cie",Groupes financiers transcoloniaux,58,45,1888,1921
creditfonciercolonial,Crédit foncier colonial,Groupes financiers transcoloniaux,45,44,1861,1931
airfrance,Air France,Documents généraux (par ordre chronologique); Transports aériens,53,43,1933,1937
bonmarche,Au Bon Marché,Sociétés commerciales transcoloniales,106,41,1923,1953
commercialeouestafricain,Société Commerciale de l'Ouest-Africain,Sociétés commerciales transcoloniales,83,41,1922,1954
messageriesmaritimes,Société des Messageries maritimes,Documents généraux (par ordre chronologique); Transports maritimes,43,41,1891,1937
omniumentreprises,Omnium d'entreprises,Bâtiment et travaux publics,45,39,1911,1942
mineraisfermagnetiquesmoktaelhadid,Cie des minerais de fer magnétiques de Mokta-el-Hadid,Groupes miniers transcoloniaux,93,37,1879,1912
electroentreprise,L'Électro-Entreprise,Bâtiment et travaux publics,92,37,1913,1953
minesproduitschimiques,Société de Mines et de produits chimiques,Groupes miniers transcoloniaux,108,36,1910,1953
industriellemaritime,Compagnie Industrielle maritime,Groupes financiers transcoloniaux,62,36,1920,1953
benardjarislovsky,"Bénard et Jarislovsky, puis Bénard frères et Cie",Groupes financiers transcoloniaux,40,36,1895,1928
candlot,Candlot,Groupes industriels transcoloniaux,40,36,1913,1928
associationminiere,Association minière,Groupes miniers transcoloniaux,71,35,1912,1948
mineslucette,Société nouvelle des mines de La Lucette,Groupes miniers transcoloniaux,70,35,1905,1953
francowyomingoilcy,Franco-Wyoming Oil Cy,Groupes financiers transcoloniaux,92,34,1908,1953
banquealsacienneparis,Banque alsacienne de Paris,Groupes financiers transcoloniaux,35,33,1904,1912
industrielleplatine,Cie industrielle du platine,Groupes miniers transcoloniaux,59,32,1901,1937
industrieminessuite,Société Française pour l'Industrie et les Mines et suite,Groupes financiers transcoloniaux,32,31,1906,1929
etablissementsmaurelprom,Établissements Maurel et Prom,Sociétés commerciales transcoloniales,89,30,1931,1953
omniumlyonnais,Omnium lyonnais,Transports terrestres,61,30,1929,1937
industriellematerieltransportcimt,"Cie industrielle de MATÉRIEL de TRANSPORT, C.I.M.T",Groupes financiers transcoloniaux,36,30,1925,1942
metauxproduitschimiques,Métaux et produits chimiques,Groupes financiers transcoloniaux,32,30,1951,1951
acieriesnord,Aciéries du Nord,Groupes financiers transcoloniaux,94,29,1922,1953
nationalenavigation,Compagnie Nationale de Navigation,Transports maritimes,62,29,1883,1919
creditcolonial,Crédit colonial,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,43,29,1935,1944
minesminerais,Compagnie de Mines et minerais,Groupes miniers transcoloniaux,41,29,1905,1932
decauvilleaineetablissements,"Decauville aîné, Société, Société nouvelle des Établissements)",Groupes industriels transcoloniaux,34,29,1889,1914
pyreneenneenergieelectrique,Société Pyrénéenne d'Énergie électrique,"Eau et assainissement, électricité (utilities)",109,28,1912,1953
cheminsfertramwaysvargard,Société des Chemins de fer et tramways du Var et du Gard,Transports terrestres,94,28,1908,1953
lillebonnierescolombes,Lille-Bonnières et Colombes,Groupes industriels transcoloniaux,40,28,1925,1938
etablissements1807deveschaumetbordeauxdakar,"Établissements, 1807 Devès et Chaumet, Bordeaux-Dakar",Sociétés commerciales transcoloniales,35,28,1927,1950
constructionafricaine,La Construction africaine,Bâtiment et travaux publics,47,27,1922,1938
navaleouest,Société Navale de l'Ouest,Documents généraux (par ordre chronologique); Transports maritimes,41,27,1920,1951
mineraisferkrivoirog,Société des Minerais de fer de Krivoï-Rog,Groupes miniers transcoloniaux,37,27,1897,1925
acomptedividendeimpot,Acompte sur dividende et impôt,Transports terrestres,27,27,1929,1929
soieriesfducharne,Soieries F.Ducharne,Groupes financiers transcoloniaux,70,26,1922,1953
creditfonciercolonialbanque,Société de Crédit foncier colonial et de banque,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,58,26,1937,1953
assurancefinanciere,L'Assurance financière,Groupes financiers transcoloniaux,57,26,1879,1880
decauvilleaine,DECAUVILLE aîné,Groupes industriels transcoloniaux,47,26,1925,1938
usinesmetallurgiquesbasseloireantecedents,Usines métallurgiques de la Basse-Loire et antécédents,Groupes financiers transcoloniaux,31,26,1907,1920
grandstravauxbetonarme,Société des Grands Travaux en béton armé,Bâtiment et travaux publics,56,25,1912,1959
acierieslongwy,Société des Aciéries de Longwy,Bâtiment et travaux publics,27,25,1920,1920
commercialeindustriellecoteafrique,Société Commerciale et Industrielle de la Côte d'Afrique,Sociétés commerciales transcoloniales,47,24,1921,1953
coteafrique,CÔTE D'AFRIQUE,Sociétés commerciales transcoloniales,30,24,1925,1925
electrometallurgiedives,Société d'Électro-Métallurgie de Dives,Groupes industriels transcoloniaux,28,24,1893,1922
salrem,"Salrem, puis Salrep",Groupes miniers transcoloniaux,26,24,1921,1929
industriellematerieltransport,Compagnie Industrielle de matériel de transport,Groupes financiers transcoloniaux,25,24,1919,1922
recoursassurancesreassurancesreims,"Le Recours, compagnie d'assurances et de réassurances, Reims",Groupes financiers transcoloniaux,25,24,1927,1928
huelvacoppersulfurminesltd,"Huelva Copper and Sulfur Mines, Ltd",Groupes financiers transcoloniaux,92,23,1917,1953
centraleindustrieelectrique,"Société Centrale pour l'industrie électrique, puis Centrale pour l'industrie . Participations en France, Algérie, Tunisie, Indochine, etc.","Eau et assainissement, électricité (utilities)",48,23,1913,1933
aerienne,Compagnie Aérienne française,Documents généraux (par ordre chronologique); Transports aériens,30,23,1919,1937
agencecentraleparis,Agence centrale à PARIS,Documents généraux (par ordre chronologique),23,23,1937,1937
manufacturetapiscouvertures,Manufacture française de tapis et couvertures,Groupes financiers transcoloniaux,85,22,1919,1953
agricoleminoterie,Compagnie Agricole de minoterie,Groupes industriels transcoloniaux,43,22,1923,1931
