person_id,company_id,n_observations,first_year,last_year,top_role,is_board_seat
ehny-m,etablissementtextilemodeliarpethancient,2,1937,1937,administrateur_delegue,1
albientz-m,savana,3,1951,1953,administrateur,1
audy,savana,5,1937,1953,administrateur,1
bendall-m,savana,6,1937,1951,administrateur,1
casteincau-e,savana,1,1925,1925,administrateur,1
collez-c,savana,5,1925,1937,administrateur,1
coudey-g,savana,2,1931,1933,administrateur,1
delaunay-r,savana,2,1937,1951,administrateur,1
gaden-m,savana,10,1925,1953,administrateur,1
guignard-e,savana,3,1925,1933,administrateur,1
lacouture-c,savana,4,1945,1953,administrateur,1
lafargue-a,savana,3,1925,1933,administrateur,1
loste-h,savana,3,1948,1953,administrateur,1
savana-s,savana,2,1951,1951,president_directeur_general,1
sere-h,savana,1,1940,1940,administrateur,1
winter-p,savana,1,1953,1953,president_directeur_general,1
winter-pdg-tissage-de-bourtzwiller-p,savana,2,1951,1951,president_directeur_general,1
casteincau-e,savanafilaturetissagemecanique,2,1922,1922,president,1
gaden-m,savanafilaturetissagemecanique,2,1922,1922,administrateur,1
guignard-e-edouard,savanafilaturetissagemecanique,2,1922,1922,administrateur,1
lafargue-a,savanafilaturetissagemecanique,2,1922,1922,president,1
