company_id_1,company_id_2,period,weight,shared_directors
plantationscaoutchoucsumatra,tapanoelie,1914_1929,10,bernard-j; cavadia-j; cavadia-t; donnet-l; engeringh-c; laloux-h; osterrieth-p; thys-e; van-romburgh-p; vereecken-h
distilleriesindochine,marchandisescoursroute,1914_1929,8,boyaval-l; calmette; chapsal-f; d-hericourt-s; fontaine-a; homberg-o; perreau-g; thion-de-la-chaume
energieelectriqueindochinoise,tramways,1914_1929,8,allain; allain-m; baron-r; chaumier; dervieu; dervieu-p; hermenier; hermenier-g
administration,indochinoiseculturestropicales,1914_1929,7,d-ursel-a; d-ursel-f; de-laboulaye-e; deschars-l; guesde-p; rueff-g; vannier-j
kalitengah,plantationscaoutchoucsumatra,1914_1929,7,bernard-j; cavadia-t; donnet-l; engeringh-c; laloux-h; osterrieth-p; vereecken-h
kalitengah,tapanoelie,1914_1929,7,bernard-j; cavadia-t; donnet-l; engeringh-c; laloux-h; osterrieth-p; vereecken-h
dragages,dragagestravauxpublics,1914_1929,6,homberg-o; parmentier-direct-leroy; rio-grande-do-sul-ateliers-mytho; rio-grande-do-sul-entreprises-generales-de-travaux; simonin-agences-a-saigon; vidal-commissaires-mm-evrard-p
energieelectriqueindochinoise,indochinoiseelectricite,1914_1929,6,allain; chaumier; devaux-p; hermenier; homberg-o; plante-a
indochinoisecommerceagriculturefinance,sicaf,1914_1929,6,blaess-w; censeur-bfci; e-lambert; fontaine-l; lionel-marie-frere-de-mme-pierre-dejardin-verkinde; poirson-c
commercialeindochine,rizeriesindochinoises,1914_1929,6,ed-worms; michel-c; rauzy-p; ville-e; ville-p; worms-e
chargeursextremeorient,extremeorient,1914_1929,6,audinet-j; charbonnel; fonderies-de-pont-a-mousson; jeancard; laurent; raverat
denisfreresbordeaux,denisfreresindochine,1914_1929,5,benquey-m; de-ferry-f; denis-a; denis-e; rousseau-h
electricite,indochinoiseelectricite,1914_1929,5,allain; homberg-o; mettetal-f; p-devaux; plante-a
commercenavigationextremeorient,succursalemarseille,1914_1929,5,bloch-a; fernandez-g; gigon-papin-r; hoffet-h; launay-l
laquesindochinoises,laquesindochinoisesboulogneseine,1914_1929,5,bedat; chauviere; hermenier; mezieres-c; simoni-p
industrielleexportationextremeorient,mmhbaudonmonygrenierjchaussonpboyegpincemin,1914_1929,5,boye-p; gouvy; klehe-r; millie-g; pincemin
indochinoiseverrerieproduitschimiques,indochinoiseverrerieproduitschimiquescongmy,1914_1929,5,barondeau-g; carpentier-m; houtart-c; houtart-f; valtat-r
indochinoiseculturestropicales,plantationskantroioukantroy,1914_1929,5,deschars-l; guesde-p; lejeune-c; rheims-j; rueff-g
fonciereindochine,rizicolesoctrang,1914_1929,5,blanchard; jean-duclos-j; lasseigne-l; mazet-e; mazet-j
algemeenebelgischjavaschcultuurmaatschappij,belgischnederlandschecultuurmaatschappij,1914_1929,5,buffet-p; de-decker-r; fuchs-l; lionel-marie-j; veltman-k
pecheriesindustriellesindochinesaigon,unionindochinoiseouunionindochinoise,1914_1929,5,bec-a; canque; cluzeau-b; gysin-a; porte
agencecollectiverepresentationsindustriellescommerciales,agencecollectiverepresentationsindustriellesindochine,1914_1929,4,cassagnavere-p; henry; mayer; terquem-e
banqueindochine,tabacsindochine,1914_1929,4,homberg; simon; simon-s; stern
dragages,indochinoiseelectricite,1914_1929,4,g-hermenier; homberg-o; p-devaux; plante-a
eauxelectriciteindochine,indochinoiseelectricite,1914_1929,4,allain; g-hermenier; homberg-o; p-devaux
internationaleplantationsfinanceactionnairesicaf,sicaf,1914_1929,4,blaess-w; estates-agency-r; malim-rubber-c-t; poirson-c
distilleriesiindochine,distilleriesindochine,1914_1929,4,chapsal-f; d-hericourt-s; fontaine-l; thion-de-la-chaume
agricoleindustrielletourcham,hautsplateauxindochinois,1914_1929,4,jessula-d; jessula-j; launay-l; lis-a
colonialegrandsmagasins,unioncommercialeindochinoiseafricaine,1914_1929,4,estier-h; hecquet-g; vigne-g; vigne-j
huileriesavonnerieextremeorient,rizeriesextremeorient,1914_1929,4,duclos; e-ville; rauzy-p; ville-p
rizeriesextremeorient,rizeriesindochinoises,1914_1929,4,gigandet-e; rauzy-p; ville-p; worms-e
francoannamitetextileexportation,manufacturecouverturestonkin,1914_1929,4,chavent; cotte-a; cotte-p; emery
candlot,caoutchoucsindochine,1914_1929,4,clerc-l; f-b; p-cibot; r-thion-de-la-chaume
chauxhydrauliqueslangtho,cimentsportlandartificielsindochine,1914_1929,4,candlot-e; e-candlot; r-ferrant; r-thion-de-la-chaume
plantationsheveaspreckchlongouprekchlong,saigonnaisenavigationtransport,1914_1929,4,de-laboulaye-e; guesde-p; rueff-g; triadou-c
saigonnaisenavigationtransport,transportsautomobilescentreannam,1914_1929,4,guesde-p; lambert-l; rueff-g; triadou-c
allumettes,indochinoiseallumettes,1914_1929,4,fabre; genasi-a; herold-w; mange-f
administration,plantationsheveaspreckchlongouprekchlong,1914_1929,4,d-ursel-f; de-laboulaye-e; guesde-p; rueff-g
indochinoiseculturestropicales,plantationsheveaspreckchlongouprekchlong,1914_1929,4,d-ursel-f; de-laboulaye-e; guesde-p; rueff-g
indochinoiseculturestropicales,unionelectriqueindochine,1914_1929,4,de-chambure-h; de-flers-f; furiet-c; guesde-p
fonciereindochine,transportsautomobilescentreannam,1914_1929,4,lasseigne-l; mazet-e; mazet-j; ville-e
plantationheveasindochinebola,rizicolesoctrang,1914_1929,4,bauge-l; charousset-l; charrin; lasseigne-l
caoutchoucspadang,plantationsindochinoises,1914_1929,4,blanchard-p; de-rivaud-m; hallet-r; langlois-p
etainskinta,etainsmalaisie,1914_1929,4,barbier-l; chaubet-j; prevet-j; salathe-a
agricoleannam,kalitengah,1914_1929,4,bernard-j; engeringh-c; laloux-h; vereecken-h
agricoleannam,plantationscaoutchoucsumatra,1914_1929,4,bernard-j; engeringh-c; laloux-h; vereecken-h
agricoleannam,tapanoelie,1914_1929,4,bernard-j; engeringh-c; laloux-h; vereecken-h
kalitengah,nieuwtjisalak,1914_1929,4,engeringh-c; laloux-h; osterrieth-p; van-den-bosch-l
caoutchoucsindochine,etudestramwaybencatkratie,1914_1929,3,bernard-f; f-b; homberg-o
distilleriesindochine,verreriesextremeorient,1914_1929,3,boyaval-l; fontaine-l; homberg-o
dragages,eauxelectriciteindochine,1914_1929,3,g-hermenier; homberg-o; p-devaux
dragages,electricite,1914_1929,3,homberg-o; p-devaux; plante-a
dragages,energieelectriqueindochinoise,1914_1929,3,hebre-e; homberg-o; plante-a
eauxelectriciteindochine,electricite,1914_1929,3,allain; homberg-o; p-devaux
electricite,energieelectriqueindochinoise,1914_1929,3,allain; homberg-o; plante-a
caoutchoucspadang,internationaleplantationsfinanceactionnairesicaf,1914_1929,3,bunge-e; maus-f; poirson-c
asiatiqueboissonsindigenes,boissonsindigenes,1914_1929,3,fontaine-a; fontaine-l; husson-l
asiatiqueboissonsindigenes,chauxhydrauliqueslangtho,1914_1929,3,fontaine-a; fontaine-l; r-thion-de-la-chaume
asiatiqueboissonsindigenes,distilleriesindochine,1914_1929,3,fontaine-a; fontaine-l; husson-l
boissonsindigenes,distilleriesindochine,1914_1929,3,fontaine-a; fontaine-l; husson-l
distilleriesindochine,vitalimentscoloniaux,1914_1929,3,boyaval-l; fontaine-a; fontaine-l
commercialeindustriellefrancoannamite,creditfoncierextremeorient,1914_1929,3,de-lafaulotte-ewt-a; lionel-marie; sicaf
commercenavigationextremeorient,plantationsloc,1914_1929,3,bloch-a; fernandez-g; launay-l
plantationsloc,succursalemarseille,1914_1929,3,bloch-a; fernandez-g; launay-l
agricolesuzannah,plantationsloc,1914_1929,3,fernandez-g; girard-e; launay-l
agricoleindustriellecamtiem,agricoleindustrielletourcham,1914_1929,3,boyaval-l; launay-l; waespe-f
agricoleindustriellecamtiem,unionelectriqueindochine,1914_1929,3,boyaval-l; de-flers-f; launay-l
agricoleindustrielletourcham,agricolesuzannah,1914_1929,3,girard-e; launay-l; waespe-f
ghmumm,optorg,1914_1929,3,destombes-j; lorthiois-j; vanoutryve-f
ghmumm,vinicolechampagneghmumm,1914_1929,3,destombes-j; lorthiois-j; schwob-j
ghmumm,vinicolechampagnesuccghmumm,1914_1929,3,delebart-g; destombes-j; dubonnet-e
asiatiqueafricaine,unioncommercialeindochinoiseafricaine,1914_1929,3,delpech-j; estier-f; hecquet-g
commercialeindochine,rizeriesextremeorient,1914_1929,3,rauzy-p; ville-p; worms-e
commercialelaos,etudesexploitationsminieresindochine,1914_1929,3,bartholoni-r; brame-p; dupuy-e
expansionextremeorient,laquesindochinoisesboulogneseine,1914_1929,3,bedat; cotonniere-du-tonkin-s; simoni-p
indochinoiseelectricite,tramways,1914_1929,3,allain; chaumier; hermenier
domainetabelyul,grandslacsindochine,1914_1929,3,denisse-p; hale; triadou-c
grandslacsindochine,transportsautomobilescentreannam,1914_1929,3,guesde-p; mazet-e; triadou-c
plantationsheveaspreckchlongouprekchlong,transportsautomobilescentreannam,1914_1929,3,guesde-p; rueff-g; triadou-c
constructionsmecaniques,cotonnieretonkin,1914_1929,3,hanhart-t; lamy-l; marchal-c
distilleriesiindochine,marchandisescoursroute,1914_1929,3,chapsal-f; d-hericourt-s; thion-de-la-chaume
allumettes,forestierecommercialeannam,1914_1929,3,genasi-a; herold-w; mange-f
forestierecommercialeannam,indochinoiseallumettes,1914_1929,3,genasi-a; herold-w; mange-f
industriellechimieextremeorient,industriellechimieextremeorienthaiphong,1914_1929,3,delorme; deschars; paitel-g
unionelectriqueindochine,vitalimentscoloniaux,1914_1929,3,boyaval-l; poix-g; viaux-h
administration,plantationskantroioukantroy,1914_1929,3,deschars-l; guesde-p; rueff-g
administration,saigonnaisenavigationtransport,1914_1929,3,de-laboulaye-e; guesde-p; rueff-g
indochinoiseculturestropicales,saigonnaisenavigationtransport,1914_1929,3,de-laboulaye-e; guesde-p; rueff-g
indochinoiseculturestropicales,sucreriesraffineriesindochine,1914_1929,3,bouvier-r; fauconnier-h; guesde-p
cotiereannam,denisfreresbordeaux,1914_1929,3,de-ferry-f; denis-e; rousseau-h
cotiereannam,denisfreresindochine,1914_1929,3,de-ferry-f; denis-e; rousseau-h
agricolethescafeskontumannam,financiereindochine,1914_1929,3,grammont-m; legrand-r; maspero-g
clermontferrand,rizicolesoctrang,1914_1929,3,bertrand-g; beyssac-c; jean-duclos-j
rizicolesoctrang,transportsautomobilescentreannam,1914_1929,3,lasseigne-l; mazet-e; mazet-j
distilleriesmazetindochine,fonciereindochine,1914_1929,3,mazet-e; mazet-j; petithuguenin-p
fonciererizicolesoctrang,rizicolesoctrang,1914_1929,3,bertrand-g; beyssac-c; mazet-j
plantationsheveasprekchlong,saigonnaisenavigationtransport,1914_1929,3,de-laboulaye-e; jacque-l; rueff-g
caoutchoucschamcarleu,caoutchoucsphuochoa,1914_1929,3,labbe-j; liandrat-f; outrey-e
agricoleindustriellecamtiem,indochinoiseculturestropicales,1914_1929,3,arnaud-de-vogue; chassaing-p; de-flers-f
caoutchoucskompongthom,indochinoiseculturestropicales,1914_1929,3,de-laboulaye-e; deschars-l; lejeune-c
agricoleindustriellebencui,thesindochine,1914_1929,3,bernard-bruls-r; lionel-marie-j; masquelier-j
banqueindustriellechine,grandstravauxpekin,1914_1929,3,berthelot-a; chautard; deposes-chez-me-lavoignat-s
banqueindustriellechine,poursuitescontredirigeantsbanqueindustriellechine,1914_1929,3,calary-de-lamaziere; chautard-p; espivent-de-la-villesboisnet-a
agricoleannam,pacouda,1914_1929,3,bernard-j; engeringh-c; laloux-h
caoutchoucsiboga,plantationscaoutchoucsumatra,1914_1929,3,bernard-j; cavadia-j; engeringh-c
caoutchoucsiboga,tapanoelie,1914_1929,3,bernard-j; cavadia-j; engeringh-c
culturefrancojavanaise,kalitengah,1914_1929,3,bernard-j; cavadia-t; engeringh-c
culturefrancojavanaise,plantationscaoutchoucsumatra,1914_1929,3,bernard-j; cavadia-t; engeringh-c
culturefrancojavanaise,tapanoelie,1914_1929,3,bernard-j; cavadia-t; engeringh-c
kalitengah,pacouda,1914_1929,3,bernard-j; engeringh-c; laloux-h
nieuwtjisalak,pacouda,1914_1929,3,engeringh-c; laloux-h; swart-a
nieuwtjisalak,plantationscaoutchoucsumatra,1914_1929,3,engeringh-c; laloux-h; osterrieth-p
nieuwtjisalak,tapanoelie,1914_1929,3,engeringh-c; laloux-h; osterrieth-p
pacouda,plantationscaoutchoucsumatra,1914_1929,3,bernard-j; engeringh-c; laloux-h
pacouda,tapanoelie,1914_1929,3,bernard-j; engeringh-c; laloux-h
culturefrancojavanaise,franconeerlandaiseculturecommerce,1914_1929,3,bernard-j; enthoven-j; saint-girons-j
caoutchoucspadang,plantationsterresrouges,1914_1929,3,de-rivaud; hallet-a; ph-langlois
banqueindochine,charbonnagestonkin,1914_1929,2,georges-picot-c; simon-s
banqueindochine,industriellechimieextremeorient,1914_1929,2,homberg-o; simon-s
