company_id,name,sectors,n_ties,n_directors,first_year,last_year
mozambique,Compagnie de Mozambique,,119,58,1912,1953
colonialeagricolecommercialeindustriellesucreriescoloniales,"Société coloniale, agricole, commerciale et industrielle Sucreries coloniales",Documents généraux; Documents généraux (par ordre chronologique),88,52,1922,1951
sucreriescoloniales,Sucreries coloniales,Sociétés diverses,125,51,1920,1953
cheminferfrancoethiopiendjiboutiaddisabeba,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,Documents généraux; Sociétés,226,46,1912,1953
agricolesucrierenossibe,Compagnie Agricole et Sucrière de Nossi-Bé,Documents généraux (par ordre chronologique); Industries agro-alimentaires,98,44,1920,1973
creditfonciermadagascar,Crédit foncier de Madagascar,Banques et groupes financiers; Documents généraux (par ordre chronologique),117,39,1922,1951
andrelefebvre,André Lefebvre,Documents généraux (par ordre chronologique),58,37,1937,1963
minesorandavakoera,Société des mines d'or de l'Andavakoera,Documents généraux (par ordre chronologique); Mines,96,35,1910,1973
syndicatlyonnaismadagascar,Syndicat lyonnais de Madagascar,Documents généraux (par ordre chronologique); Mines,80,32,1921,1973
francomalgacheentreprises,Cie Franco-Malgache d'Entreprises,Documents généraux (par ordre chronologique); Industries,47,32,1926,1973
rossignol,Rossignol,Documents généraux (par ordre chronologique),35,32,1926,1958
grandeile,Société La Grande Île,Documents généraux (par ordre chronologique); Industries,53,31,1920,1958
industriellecommercialeemyrne,Société Industrielle et Commerciale de l'Émyrne,Commerce; Documents généraux (par ordre chronologique),74,30,1921,1956
lyonnaisemadagascar,Compagnie Lyonnaise de Madagascar,Commerce; Documents généraux (par ordre chronologique),40,30,1902,1937
graphitessahanavo,"Société des Graphites de la Sahanavo, puis Sahanavo, société malgache d'exploitations minières",Documents généraux (par ordre chronologique); Mines,53,29,1927,1956
madagascar,"Compagnie Générale de Madagascar, puis Compagnie générale de Madagascar-France",Commerce; Documents généraux (par ordre chronologique),45,29,1924,1956
nosybeenneindustriesagricoles,Compagnie Nosybéenne d’Industries agricoles,Documents généraux (par ordre chronologique); Industries agro-alimentaires,77,28,1909,1973
agricoleindustriellemadagascar,Compagnie Agricole et Industrielle de Madagascar,Documents généraux (par ordre chronologique); Industries agro-alimentaires,93,27,1922,1973
occidentalemadagascar,Compagnie Occidentale de Madagascar,Documents généraux (par ordre chronologique); Mines,55,27,1912,1933
maritimeafriqueorientale,Compagnie Maritime de l'Afrique Orientale,"Documents généraux; Documents généraux (par ordre chronologique); Sociétés; Transports fluviaux, maritimes et aériens",66,26,1922,1951
comptoirscoloniauxchiris,COMPTOIRS COLONIAUX CHIRIS,Documents généraux (par ordre chronologique),47,26,1925,1958
wharftamatave,Société Wharf de Tamatave,"Documents généraux (par ordre chronologique); Transports fluviaux, maritimes et aériens",37,25,1922,1973
plantationsanjouan,Société de Plantations d’Anjouan,Documents généraux; Documents généraux (par ordre chronologique); Sociétés,41,23,1900,1937
fonciereminieremadagascar,"Compagnie Foncière et Minière de Madagascar, puis Foncière, Industrielle et Commerciale de Madagascar, puis Société malgache d'entreprises industrielles",Documents généraux (par ordre chronologique); Industries,31,21,1920,1950
rhumspurs,Compagnie des Rhums purs,Sociétés diverses,40,20,1922,1931
mahajamba,La Mahajamba,Documents généraux (par ordre chronologique); Industries agro-alimentaires,29,20,1928,1973
comptoirnationalescompteparis,Comptoir national d'Escompte de Paris,Documents généraux (par ordre chronologique),20,20,1922,1951
colonialebambao,"Société Coloniale de Bambao, puis Comores-Bambao",Documents généraux; Documents généraux (par ordre chronologique); Sociétés,38,19,1922,1953
conservesalimentairesmontagneambre,Société des Conserves alimentaires de la Montagne d’Ambre,Documents généraux (par ordre chronologique); Industries agro-alimentaires,38,19,1913,1958
plantesparfumsmadagascar,Plantes à parfums de Madagascar,Documents généraux (par ordre chronologique); Industries agro-alimentaires,38,19,1937,1973
electriciteeauxmadagascar,Électricité et eaux de Madagascar,"Documents généraux (par ordre chronologique); Eau et assainissement, électricité (Utilities)",34,19,1929,1956
creditfonciermadagascarcreditfonciermadagascarreunion,"Crédit foncier de Madagascar, Crédit foncier de Madagascar et de la Réunion",Banques et groupes financiers,24,19,1920,1938
betsibokaambatoboeni,"La Betsiboka, Ambato-Boéni",Industries agro-alimentaires,21,19,1928,1928
imperialecheminsferethiopiens,Compagnie Impériale des Chemins de fer éthiopiens,Sociétés,20,19,1898,1905
miniereconcessionsprassoabyssinie,Société Minière des concessions Prasso en Abyssinie,,20,19,1926,1937
etablissementsgratry,Sté anon. des Établissements Gratry,Documents généraux (par ordre chronologique),29,18,1922,1956
sucreriesmarseillaisesmadagascarnamakia,"Sucreries marseillaises de Madagascar, Namakia",Industries agro-alimentaires,21,18,1929,1950
tanninscoloniauxsahambavy,"Tannins coloniaux, Sahambavy",Industries agro-alimentaires,22,17,1925,1939
colonialemadagascar,Compagnie Coloniale Française de Madagascar,Commerce; Documents généraux (par ordre chronologique),45,16,1900,1956
afriqueorientale,Compagnie de l'Afrique Orientale,Documents généraux; Sociétés,39,16,1914,1951
minierefinancieremadagascar,Société Minière et Financière de Madagascar,Documents généraux (par ordre chronologique); Mines,30,16,1934,1973
cotesomalis,Compagnie française de la Côte des Somalis,Sociétés,26,16,1919,1925
outremer,Compagnie Générale d'Outre-mer,Documents généraux (par ordre chronologique),22,16,1922,1926
rochefortaiseproduitsalimentaires,"Société Rochefortaise de produits alimentaires, puis Rochefortaise S.A.",Documents généraux (par ordre chronologique),22,16,1926,1973
sucreriesmarseillaisesmadagascar,Sucreries marseillaises de Madagascar,Documents généraux (par ordre chronologique),20,16,1937,1973
fianarantsoa,FIANARANTSOA,Documents généraux (par ordre chronologique),17,16,1937,1973
emileranarivelo,Émile Ranarivelo,Documents généraux (par ordre chronologique),16,16,1926,1926
abyssinie,Compagnie Générale d’Abyssinie,Documents généraux,39,15,1921,1926
