company_id,name,sectors,n_ties,n_directors,first_year,last_year
cheminsfermaroc,Compagnie des Chemins de fer du Maroc,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles",243,86,1913,1969
francoespagnolecheminfertangerfez,Compagnie franco-espagnole du Chemin de fer de Tanger à Fez,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles",149,79,1913,1969
banqueetatmaroc,Banque d'État du Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",174,74,1922,1953
creditmarocain,Crédit marocain,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",112,70,1913,1952
maroc,Compagnie du Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Sociétés foncières et immobilières",176,65,1913,1969
energieelectriquemaroc,Énergie électrique du Maroc,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities)",155,56,1924,1969
metallurgiqueminierefrancomarocaine,Compagnie Métallurgique et minière franco-marocaine,Documents généraux (par ordre chronologique); Mines,114,52,1912,1938
manutentionmarocaine,La Manutention marocaine,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens",103,51,1913,1969
moulinsmaghreb,Société des Moulins du Maghreb,Documents généraux (par ordre chronologique); Industries agro-alimentaires,135,48,1920,1958
marocaine,Compagnie marocaine,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",105,48,1913,1952
banquecommercialemaroc,Banque commerciale du Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",103,47,1911,1951
chauxcimentsmateriauxconstructionmaroc,"Chaux, ciments et matériaux de construction au Maroc","Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",127,45,1913,1969
marocainedistributioneaugazelectricite,"Société Marocaine de distribution d'eau, de gaz et d'électricité","Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities)",83,41,1914,1969
developpementcasablanca,Société Générale pour le Développement de Casablanca,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières,70,41,1913,1958
marocainemetallurgique,Société Marocaine Métallurgique,Commerce; Documents généraux (par ordre chronologique),72,39,1913,1969
porttanger,Société du Port de Tanger,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens",52,39,1926,1952
minesbouarfa,Société des Mines de Bou-Arfa,Documents généraux (par ordre chronologique); Mines,105,38,1922,1969
marocaineapprovisionnement,Marocaine d'approvisionnement,Commerce; Documents généraux (par ordre chronologique),72,38,1913,1937
portfedhala,Compagnie du Port de Fedhala,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens",72,38,1913,1938
cherifiennepetroles,Société Chérifienne des Pétroles,Documents généraux (par ordre chronologique); Pétrole et gaz,50,38,1936,1969
pecheriesmarocaines,Pêcheries marocaines,Documents généraux (par ordre chronologique); Industries agro-alimentaires,56,36,1913,1926
brasseriesmaroc,"Société des Brasseries du Maroc, puis Boissons du Maroc",Documents généraux (par ordre chronologique); Industries agro-alimentaires,83,35,1913,1969
fasielectricite,Compagnie Fasi d'Électricité,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities)",74,35,1913,1969
cherifiennecolonisation,Compagnie Chérifienne de colonisation,Documents généraux (par ordre chronologique); Industries agro-alimentaires,58,35,1922,1958
portfedala,Cie du port de Fédala,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens",55,35,1937,1969
transportsmazeres,Transports Mazères,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles",39,35,1922,1926
minieremaroc,Compagnie Minière du Maroc,Documents généraux (par ordre chronologique); Mines,81,34,1920,1958
tramwaysautobuscasablanca,Compagnie des Tramways et autobus de Casablanca,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles",77,34,1913,1969
etablissementsluchaire,Établissements LUCHAIRE,Documents généraux (par ordre chronologique),33,33,1925,1925
portsmarocains,Ports marocains,"Transports maritimes, fluviaux et aériens",79,32,1920,1945
etudesmarocainescommerceagriculturemines,"Société d'Études marocaines pour le commerce, l'agriculture et les mines","Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens",55,32,1913,1926
omniumnordafricain,Omnium nord-africain,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",76,31,1937,1969
internationaleregiecointeresseetabacsmaroc,Société internationale de régie co-intéressée des Tabacs au Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,55,31,1922,1969
industriellecommercialeadoursebou,Société industrielle et commerciale Adour-Sebou,Commerce; Documents généraux (par ordre chronologique),43,31,1922,1930
agricolesoukelarbarharb,Cie agricole de Souk-el-Arba-du-Rharb,Documents généraux (par ordre chronologique),34,31,1953,1953
entrepotsfrigorifiquesafriquenord,Société des Entrepôts frigorifiques de l'Afrique du Nord,"Documents généraux (par ordre chronologique); Industries agro-alimentaires; Transports maritimes, fluviaux et aériens",48,30,1918,1969
entreprisesmaroc,Sté générale d'entreprises au Maroc,Documents généraux (par ordre chronologique),39,29,1926,1969
ergho,Ergho,Documents généraux (par ordre chronologique); Industries agro-alimentaires,43,28,1922,1950
molybdene,Le Molybdène,Documents généraux (par ordre chronologique); Mines,43,28,1930,1952
soctravauxpublicsconstructionscimentarme,Soc. de TRAVAUX PUBLICS et de CONSTRUCTIONS en CIMENT ARMÉ,Documents généraux (par ordre chronologique),28,28,1925,1925
asiatiqueafricaine,Compagnie Asiatique et africaine,Commerce,50,27,1933,1959
cherifienne,Société Générale chérifienne,Commerce; Documents généraux (par ordre chronologique),48,27,1921,1926
immobilierecasablanca,Société Immobilière de Casablanca,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières,43,27,1915,1950
caissepretsimmobiliersmaroc,Caisse de prêts immobiliers du Maroc,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",41,27,1920,1952
creditfonciermarocain,Crédit foncier marocain,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",40,27,1922,1925
francomarocaine,Société Générale Franco-Marocaine,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",29,27,1926,1958
petrolesmaroc,Compagnie Française des Pétroles du Maroc,Documents généraux (par ordre chronologique); Pétrole et gaz,58,26,1913,1937
comptoirmetallurgiquemaroc,Comptoir métallurgique du Maroc,Commerce; Documents généraux (par ordre chronologique),56,26,1913,1958
marocainecharbonsbriquettes,Société Marocaine de Charbons et briquettes,"Documents généraux (par ordre chronologique); Industries diverses; Transports maritimes, fluviaux et aériens",54,26,1913,1937
chomel,Chomel et Cie,Documents généraux (par ordre chronologique),28,26,1926,1926
leoncegiraud,Léonce Giraud,Documents généraux (par ordre chronologique),26,26,1922,1922
charbonnagesnordafricains,Charbonnages nord-africains,Documents généraux (par ordre chronologique); Mines,55,25,1948,1969
entreprisemaritimecommerciale,L'Entreprise maritime et commerciale,Documents généraux (par ordre chronologique),33,25,1926,1937
minoteriefrancomarocainesale,Minoterie franco-marocaine de Salé,Documents généraux (par ordre chronologique),26,25,1941,1941
mamora,Compagnie de la Mamora,"Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, meubles, cellulose, papier…",56,24,1933,1969
chaouiamaroc,Chaouïa et Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,51,23,1911,1952
consortiumindustrielcommercialafriquenord,Consortium industriel et commercial de l'Afrique du Nord,Commerce; Documents généraux (par ordre chronologique),37,23,1913,1930
banqueunionmarocaine,Banque de l'union marocaine,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",36,23,1921,1922
cherifienneengraisproduitschimiques,Société Chérifienne d'engrais et de produits chimiques,Documents généraux (par ordre chronologique); Industries chimiques,36,23,1949,1969
rharbkhlot,Rharb et Khlot,Documents généraux (par ordre chronologique); Industries agro-alimentaires,32,23,1910,1958
naphtesrhrabcentral,Sté des naphtes du Rhrab central,Documents généraux (par ordre chronologique),23,23,1950,1950
nordmarocain,Cie française Française du Nord-Marocain,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",62,22,1913,1937
tabacsmaroc,Tabacs au Maroc,Industries agro-alimentaires,51,22,1927,1945
nantaiseimportationmarochailaustgutzeitmollinedahl,"Sté nantaise d'importation au Maroc (Hailaust & Gutzeit, Molliné & Dahl",Documents généraux (par ordre chronologique),31,22,1913,1969
recherchesforages,"Société de Recherches et de forages, puis S.A. de gérance des bruttos de la Société de recherches et de forages",Documents généraux (par ordre chronologique); Pétrole et gaz,29,22,1892,1958
voyageshotelsnordafricains,Société des voyages et hôtels nord-africains,"Documents généraux (par ordre chronologique); Hôtellerie, tourisme, tourisme",25,22,1925,1951
algeromarocaineculturecommerce,Société Algéro-Marocaine de Culture et de commerce,Documents généraux (par ordre chronologique); Industries agro-alimentaires,42,21,1920,1958
cheminsfermarocoriental,Compagnie des Chemins de fer de du Maroc oriental,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles",42,21,1927,1969
agricolemarocaine,Agricole Marocaine,Documents généraux (par ordre chronologique); Industries agro-alimentaires,35,21,1913,1958
comptoirmaroc,Comptoir français du Maroc,Commerce; Documents généraux (par ordre chronologique),30,21,1913,1948
materieltravauxagricoles,Cie de Matériel et de travaux agricoles,Documents généraux (par ordre chronologique); Industries agro-alimentaires,30,21,1922,1926
commercialeagricolemaroc,Commerciale et Agricole du Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,30,21,1926,1930
marocaineentrepriseimmobilieremobiliere,"Société Marocaine d'entreprise générale immobilière et mobilière, puis La Construction marocaine et La Construction civile","Bâtiment et travaux publics, matériaux de construction, céramique",26,21,1914,1922
commercialeimmobilieremaroc,Société Commerciale et Immobilière au Maroc,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières,25,21,1921,1941
stearineriemarocaine200,Stéarinerie marocaine. — 200,Documents généraux (par ordre chronologique),22,21,1922,1922
abattoirsmunicipauxindustrielsmaroc,Société générale des Abattoirs municipaux et industriels au Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,47,20,1920,1938
internationaleetudestravauxmaroc,Société Internationale d'Études et de travaux au Maroc,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",35,20,1914,1923
marocaineimmeublesurbains,Société marocaine des Immeubles urbains,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières,35,20,1922,1952
maroccommerceindustrie,Compagnie du Maroc pour le commerce et l'industrie,Commerce; Documents généraux (par ordre chronologique),30,20,1922,1926
grandsbazarsmarocains,Grands bazars marocains,Documents généraux (par ordre chronologique),21,20,1926,1950
lyonmaroc,Lyon-Maroc,Sociétés foncières et immobilières,21,20,1920,1922
marrakechauto,Marrakech-Auto,Documents généraux (par ordre chronologique),20,20,1930,1930
comptoirlorrainmaroc,Comptoir lorrain du Maroc,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières,44,19,1922,1952
industriellepetrolesmaroc,Compagnie Industrielle des Pétroles au Maroc,Documents généraux (par ordre chronologique); Pétrole et gaz,40,19,1923,1952
fonciereagricolemaroc,Compagnie Foncière et Agricole du Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,30,19,1908,1958
culturesindustriellesmaroc,Société de Cultures industrielles au Maroc,Documents généraux (par ordre chronologique),29,19,1926,1937
francomarocaineoufrancomarocaine,Société Franco-Marocaine ou Société franco-marocaine,Mines,22,19,1911,1924
agricoletadla,Société Agricole du Tadla,Documents généraux (par ordre chronologique); Industries agro-alimentaires,21,19,1926,1952
minoteriesatlas,Société anon. des minoteries de l'Atlas,Documents généraux (par ordre chronologique),20,19,1935,1935
creditmaghreb,Crédit du Maghreb,Documents généraux (par ordre chronologique),19,19,1937,1952
minieremzaita,Compagnie minière du M'Zaïta,Documents généraux (par ordre chronologique),19,19,1937,1969
marocaineainsikh,Societe marocaine d Aïn-Sikh,Documents généraux (par ordre chronologique); Industries agro-alimentaires,51,18,1924,1952
liegesmamora,"Société des Lièges de la Mamora, puis Compagnie de la Mamora","Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, meubles, cellulose, papier…",45,18,1920,1931
marocaineimmobilieredarelbeida,Société marocaine Immobilière Dar el Beida,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières,31,18,1922,1926
minesoudjda,Société des Mines d'Oudjda,Documents généraux (par ordre chronologique); Mines,30,18,1916,1958
agricolecherifienne,Société Agricole chérifienne,Documents généraux (par ordre chronologique); Industries agro-alimentaires,26,18,1921,1952
roannaisefermesafriquenord,Société Roannaise des Fermes de l'Afrique du Nord,Industries agro-alimentaires,22,18,1926,1926
colonialeindustriellecommerciale,Cie Coloniale Industrielle et Commerciale,Documents généraux (par ordre chronologique),18,18,1949,1949
elevageagriculturenordmarocain,Société d'Élevage et d'agriculture du Nord-Marocain,Documents généraux (par ordre chronologique); Industries agro-alimentaires,47,17,1922,1950
industriellemarocaine,Société Industrielle marocaine,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",46,17,1913,1927
banquefoncierefrancomarocaine,Banque foncière franco-marocaine,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",45,17,1921,1924
sebou,Compagnie du Sebou,Documents généraux (par ordre chronologique); Industries agro-alimentaires,43,17,1920,1958
magasinsgenerauxwarrantsmaroc,Société des Magasins généraux et warrants du Maroc,"Documents généraux (par ordre chronologique); Transports terrestres, garages automobiles et agricoles",34,17,1912,1926
immobilierelyonnaisemarocaine,Société Immobilière Lyonnaise Marocaine,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières,34,17,1918,1952
