company_id_1,company_id_2,period,weight,shared_directors
abattoirsmunicipauxindustrielsmaroc,socgenabattoirsmunicipauxindustrielsmaroc,1914_1929,15,atthalin-a; braunschvig-g; cotte-l-ludovic; dal-piaz-j; de-caqueray-g; de-montgolfier-j-joseph; gerard-e-emile; godart-l; gompel-r-robert; jordan-p; katz-m; lacoin-g; marches-au-maroc; tabard-t; yver-de-la-bruchollerie
cheminsfermaroc,energieelectriquemaroc,1914_1929,13,atthalin-a; breaud-h; caqueray-g; cordier-g; courcelle-j; griolet-g; heurteau-e; mange-a; margot-m; mauris-l; porche-g; verge-c; wibratte-l
abattoirsmunicipauxindustrielsmaroc,abattoirsmunicipauxmaroc,1914_1929,12,atthalin-a; braunschvig-g; cotte-l-ludovic; dal-piaz-j; de-caqueray-g; de-montgolfier-j-joseph; gerard-e-emile; godard-l; gompel-r-robert; jordan-p; katz-m; lacoin-g
commercialeagricolemaroc,leoncegiraud,1914_1929,12,bimbeloterie; bornac-f; chocolat; ciment; construct; drap; favre-e; import; minoterie; sucre; tissus; varame-j
abattoirsmunicipauxmaroc,socgenabattoirsmunicipauxindustrielsmaroc,1914_1929,11,atthalin-a; braunschvig-g; cotte-l-ludovic; dal-piaz-j; de-caqueray-g; de-montgolfier-j-joseph; gerard-e-emile; gompel-r-robert; jordan-p; katz-m; lacoin-g
cheminsfermaroc,francoespagnolecheminfertangerfez,1914_1929,11,atthalin-a; du-marais-e; ganderax-e; griolet-g; heurteau-e; masson-r; mauris-l; perouse; perouse-d; saint-rene-taillandier-g; st-cloud
constructioncivile,marocaineentrepriseimmobilieremobiliere,1914_1929,11,atthalin-a; braunschvig-g; dehollain-j; desprez-h; godard-l; hackenberger-p; lange-o; leclerc-g; leheup-a; mill-l; roudy-a
cherifiennecolonisation,immobilierecasablanca,1914_1929,11,a-marie-therese-de-casamajor-m; et-g; hornung-j; lepel-cointet; lepel-cointet-g; marc; materiaux-de-necy; monique; piot; piot-m; van-den-ven-p
distributioneau,distributioneaugazelectricite,1914_1929,10,atthalin-a; cabaud-c; godard-l; mondollot; nozal; otto; petsche-a; pichard-g; postel-vinay-a; rebufflel-c
distributioneaugazelectricite,marocainedistributioneaugazelectricite,1914_1929,10,atthalin-a; cabaud-c; godard-l; mondollot; nozal; otto; petsche-a; pichard-g; postel-vinay-a; siegler-j
chauxcimentsmateriauxconstructionmaroc,socchauxcimentsmateriauxconstructionmaroc,1914_1929,10,berthet; braunschvig; candlot; duboin-j; godard; gompel-p; gompel-r-robert; hailaust; katz; rabut
etudesmarocainescommerceagriculturemines,etudesmarocainescommerceiindustriemines,1914_1929,10,bayart-j; chautard-p; claus-g; delcroix-a; ducornet-a; hersent-g-georges; heuzey-c; petit-e; piot-m; pouyer-j
