person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
atthalin-a,Atthalin,A. Atthalin; André Atthalin,29,29,70,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
godard-l,Godard,L. Godard; Louis Godard,29,29,68,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Commerce; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Filière bois : exploitation forestière, meubles, cellulose, papier…; Industries agro-alimentaires; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
roudy-a,Roudy,A. Roudy; Anathase Roudy; Athanase Roudy; ROUDY; ROUDY 2; Roudy,22,22,55,administrateur,1913,1969,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities); Industries agro-alimentaires; Sociétés foncières et immobilières; Transports terrestres, garages automobiles et agricoles"
gradis-g,Gradis,G. Gradis; Gaston Gradis,22,22,31,administrateur,1922,1969,"Banques, groupes financiers, assureurs; Commerce; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines"
epinat-j,Épinat,J. Epinat; J. Épinat; Jean Épinat; Épinat,20,20,34,administrateur,1920,1966,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Mines; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
piot-m,Piot,Maurice Piot,19,19,44,administrateur,1913,1958,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Hôtellerie, tourisme, tourisme; Industries agro-alimentaires; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens"
gompel-r-robert,Gompel,Robert Gompel; Robert-Gabriel Gompel,18,18,40,administrateur,1913,1938,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Sociétés foncières et immobilières"
berti-v,Berti,V. Berti; Victor Berti,16,16,41,administrateur,1922,1969,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Industries agro-alimentaires; Mines; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
katz-m,Katz,Max Katz; Maxime Katz,17,16,39,administrateur,1913,1938,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires"
hersent-g-georges,Hersent,Georges Hersent,16,16,31,administrateur,1912,1958,"Banques, groupes financiers, assureurs; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Hôtellerie, tourisme, tourisme; Industries chimiques; Sociétés foncières et immobilières; Transports maritimes, fluviaux et aériens; Transports terrestres, garages automobiles et agricoles"
