company_id_1,company_id_2,period,weight,shared_directors
djebeldjerissa,socdjebeldjerissa,1914_1929,8,bordet; de-dietrich; de-joannis-e; de-nervo-l; heurteau; mallet-e-ernest; pres-tunis; puerari
gafsa,phosphatescheminsfergafsa,1914_1929,7,ascherson-c; boissonnas-j; mauclere-e; mirabaud-a; mirabaud-e; pelle-m; walewski-a
atelierschantiersmaritimestunisie,commercialetunisienne,1914_1929,6,bouffe-g; fossorier-r; marceron-m; savon; savon-a-albert; savon-r-roger
atelierschantiersmaritimestunisie,foncierafricain,1914_1929,6,bouffe-g; fossorier-r; marceron-m; savon-a-albert; savon-h; savon-r-roger
huileriessaheltunisien,socgenhuileriessaheltunisien,1914_1929,6,cottet-b; guis-h; jouve-g; querry-p; sonnery-j; sonnery-r
commercialetunisienne,foncierafricain,1914_1929,5,bouffe-g; fossorier-r; marceron-m; savon-a-albert; savon-r-roger
minesdjebelressas,socminesdjebelressas,1914_1929,5,cambefort-c; chalupt-c; de-dietrich-a; ledoux-f; urruty-f
salinesdjibouti,salinesdjiboutisfaxmadagascar,1914_1929,5,guesde-p; homberg-o; jambon-c; mingois-g; radziwill-l
minesdjebelhallouf,socfrseminesdjebelhallouf,1914_1929,4,bourdillon-l; gittens-w; michenot-e; zafiropulo-d
gazregiecointeresseeeauxtunis,immobilieretunisienne,1914_1929,4,flury-herard-r; hackenberger-p; petsche-a; siegler-j
commercialeafricaine,olivettesmaiana,1914_1929,4,jullien-de-pommerol-f; martin-a-auguste; martinier; renoux-h
olivettesmaiana,omniumimmobiliertunisien,1914_1929,4,jullien-de-pommerol-f; martin-a-auguste; renoux-h; usannaz-joris-m
francotunisienneimmobiliereagricolecommerciale,sidichemmak,1914_1929,4,maurice-e; raty-f; roederer-j; rte-d-orthez
salinesdjibouti,salinesdjiboutimadagascar,1914_1929,4,guesde-p; homberg-o; jambon-c; mingois-g
salinesdjiboutimadagascar,salinesdjiboutisfaxmadagascar,1914_1929,4,guesde-p; homberg-o; jambon-c; mingois-g
1911djebelhallouf,minesdjebelhallouf,1914_1929,3,bourdillon-l; gittens-w; michenot-e
1911djebelhallouf,socfrseminesdjebelhallouf,1914_1929,3,bourdillon-l; gittens-w; michenot-e
centresud,omniumimmobiliertunisien,1914_1929,3,baizeau-l; martin-a-auguste; superieur-b
commercialeafricaine,omniumimmobiliertunisien,1914_1929,3,jullien-de-pommerol-f; martin-a-auguste; renoux-h
djimla,olivettesmaiana,1914_1929,3,jullien-de-pommerol-f; martin-a-auguste; rte-de-l-ariana
djimla,omniumimmobiliertunisien,1914_1929,3,baizeau-l; jullien-de-pommerol-f; martin-a-auguste
djimla,etablissementsschwichbaizeau,1914_1929,3,baizeau-l; jullien-de-pommerol-f; rte-de-l-ariana
