doc_id,company_key,company_name,person_key,name_clean,surname,given,role,is_former,year,source_ref,annotation,region,country,sector,anchor_type,source_genre,match_method,company_raw,line_raw
afrique-du-nord-adolphe-jourdan-1846-1916-d7557f,domanialealgerienne,Domaniale algérienne,jourdan-a,Adolphe Jourdan,Jourdan,Adolphe,administrateur,,1899,"Jourdan (Adolphe)(1846-1916), Alger",,Algerie,Algérie,"Imprimerie, presse, édition",person_entry,person_dossier,prefix,la Société domaniale algérienne,Administrateur de la Société domaniale algérienne (déc. 1899).
afrique-du-nord-adolphe-jourdan-1846-1916-d7557f,banquealgerie,BANQUE DE L'ALGERIE,jourdan-a,Adolphe Jourdan,Jourdan,Adolphe,censeur,,1887,"Jourdan (Adolphe)(1846-1916), Alger",,Algerie,Algérie,"Imprimerie, presse, édition",person_entry,person_dossier,prefix_exact_length,LA BANQUE DE L'ALGÉRIE,"CENSEUR DE LA BANQUE DE L'ALGÉRIE (depuis 1887),"
afrique-du-nord-edgard-brissonnet-2a66c9,domaineseltaousarba,"Domaines El Taous, L’Arba",brissonnet-e,Edgard Brissonnet,Brissonnet,Edgard,commissaire,,1919,"Brissonnet (Edgard), Alger",,Algerie,Algérie,"Banques et groupes financiers, assurances",person_entry,person_dossier,prefix,Domaines el Taous,Commissaire aux comptes des Domaines el Taous (1919)
afrique-du-nord-joseph-lasry-oran-cd135f,oranaiseremorquageassistance,Société Oranaise de Remorquage et d'assistance,lasry-j,Joseph Lasry,Lasry,Joseph,president,,1928,"Lasry (Joseph), Oran",,Algerie,Algérie,Transports maritimes et aériens,person_entry,person_dossier,prefix,la Société oranaise de remorquage et d'assistance,Président de la Société oranaise de remorquage et d'assistance (1928).
afrique-du-nord-joseph-lasry-oran-cd135f,unioncharbonnieremanutentionsportoran,Union charbonnière de manutentions du port d'Oran,lasry-j,Joseph Lasry,Lasry,Joseph,administrateur,,,"Lasry (Joseph), Oran",,Algerie,Algérie,Transports maritimes et aériens,person_entry,person_dossier,prefix,l'Union charbonnière de manutentions du port d'Oran,Administrateur de l'Union charbonnière de manutentions du port d'Oran
afrique-occidentale-amedee-bretigniere-bfe80b,plantationselima,Plantations d'Élima,bretigniere-a,Amédée Bretignière,Bretignière,Amédée,president,,,Bretignière (Amédée)(1856-1890),,Afrique occidentale francaise,Côte d'Ivoire,Industries,person_entry,person_dossier,prefix_exact_length,Plantations d'Elima,président des Plantations d'Elima
afrique-occidentale-guieysse-1899-1986-cccb96,automobilescoteafrique,Société des automobiles de la Côte d'Afrique,guieysse-p,Pierre Guieysse,Guieysse,Pierre,president,,1927,"Guieysse (Pierre)(1899-1986), administrateur de sociétés",,Afrique occidentale francaise,Sénégal,,person_entry,person_dossier,prefix,la Société des automobiles de la Côte d’Afrique,"président de la Société des automobiles de la Côte d’Afrique (1927-1960),"
afrique-occidentale-guieysse-1899-1986-cccb96,biscuitsvignals,Biscuits Vignals,guieysse-p,Pierre Guieysse,Guieysse,Pierre,president_dg,,1960,"Guieysse (Pierre)(1899-1986), administrateur de sociétés",,Afrique occidentale francaise,Sénégal,,person_entry,person_dossier,prefix,Biscuits Vignal*,"président-directeur général des Biscuits Vignal* (1960-1967), de la Biscuiterie de"
afrique-occidentale-guieysse-1899-1986-cccb96,brasseriesouestafricain,Société des Brasseries de l'Ouest Africain,guieysse-p,Pierre Guieysse,Guieysse,Pierre,administrateur,,1948,"Guieysse (Pierre)(1899-1986), administrateur de sociétés",,Afrique occidentale francaise,Sénégal,,person_entry,person_dossier,prefix_exact_length,Brasseries de l’Ouest africain*,"administrateur des Brasseries de l’Ouest africain* (1948-1975), conseiller (1955), puis"
empire-amedee-prince-0750e3,hautogooue,HAUT-OGOOUÉ,prince-a,Amédée Prince,Prince,Amédée,administrateur,,1894,"Prince (Amédée)(1845-1915), Paris",,Empire (transversal),,Sociétés commerciales transcoloniales,person_entry,person_dossier,prefix_exact_length,la Société du Haut-Ogooué,"administrateur de la Société du Haut-Ogooué (1894-1915),"
