doc_id,company_key,company_name,person_key,name_clean,surname,given,role,year,snapshot_year,held_by,kinship,related_to,chamber,constituency,mandate_years,source_ref,annotation,region,country,sector,anchor_type,trigger,parse_note,member_raw,match_method,source_genre
empire-deputes-financiers-1893-376142,creditindustrielcommercialcic,Crédit industriel et commercial (CIC),bischoffsheim,Bischoffsheim,Bischoffsheim,,administrateur,1893,1893,self,,,Chamber of Deputies,,,Députés et financiers,Crédit industriel et commercial [CIC] et de,Empire (transversal),,Documents généraux (par ordre chronologique),roster_entry,roster,surname_only,Bischoffsheim,prefix,roster
empire-deputes-financiers-1893-376142,creditfoncier,Crédit foncier,bischoffsheim,Bischoffsheim,Bischoffsheim,,censeur,1893,1893,self,,,Chamber of Deputies,,,Députés et financiers,Crédit foncier,Empire (transversal),,Documents généraux (par ordre chronologique),roster_entry,roster,surname_only,Bischoffsheim,prefix_exact_length,roster
empire-deputes-financiers-1893-376142,creditfoncier,Crédit foncier,bischoffsheim,Bischoffsheim,Bischoffsheim,,administrateur,1893,1893,self,,,Chamber of Deputies,,,Députés et financiers,Crédit foncier,Empire (transversal),,Documents généraux (par ordre chronologique),roster_entry,roster,surname_only,Bischoffsheim,prefix_exact_length,roster
empire-deputes-financiers-1893-376142,marocainescieriesatlas,Société marocaine des Scieries de l'Atlas,bischoffsheim,Bischoffsheim,Bischoffsheim,,administrateur,1893,1893,self,,,Chamber of Deputies,,,Députés et financiers,Société marocaine des scieries de l’Atlas,Empire (transversal),,Documents généraux (par ordre chronologique),roster_entry,roster,surname_only,Bischoffsheim,prefix,roster
empire-deputes-financiers-1893-376142,creditfoncier,Crédit foncier,bischoffsheim,Bischoffsheim,Bischoffsheim,,administrateur,1893,1893,self,,,Chamber of Deputies,,,Députés et financiers,Crédit foncier,Empire (transversal),,Documents généraux (par ordre chronologique),roster_entry,roster,surname_only,Bischoffsheim,prefix_exact_length,roster
empire-parlementaires-financ-1924-feb02a,electrocable,Électro-Câble,amic-j,Jean Amic,Amic,Jean,administrateur,1924,1924,self,,,Senate,Alpes-Maritimes,,Parlementaires et financiers,Électro-câble et des,Empire (transversal),,Documents généraux (par ordre chronologique),roster_entry,roster,initials_or_forename,Jean Amic,prefix,roster
empire-parlementaires-financ-1924-feb02a,minesanzin,Cie des mines d'Anzin,artaud-a,Adrien Artaud,Artaud,Adrien,administrateur,1924,1924,self,,,Chamber of Deputies,Bouches-du-Rhône,,Parlementaires et financiers,mines d'Anzin,Empire (transversal),,Documents généraux (par ordre chronologique),roster_entry,roster,initials_or_forename,Adrien Artaud,prefix,roster
empire-parlementaires-financ-1924-feb02a,banquefrance,Banque de France,ballande-a,André Ballande,Ballande,André,censeur,1924,1924,self,,,Chamber of Deputies,Gironde,,Parlementaires et financiers,Banque de France,Empire (transversal),,Documents généraux (par ordre chronologique),roster_entry,roster,initials_or_forename,André Ballande,prefix_exact_length,roster
empire-parlementaires-financ-1924-feb02a,navaleoceanie,Compagnie Navale de l'Océanie,ballande-a,André Ballande,Ballande,André,administrateur,1924,1924,self,,,Chamber of Deputies,Gironde,,Parlementaires et financiers,Compagnie navale de l'Océanie,Empire (transversal),,Documents généraux (par ordre chronologique),roster_entry,roster,initials_or_forename,André Ballande,prefix_exact_length,roster
empire-parlementaires-financ-1924-feb02a,chantiers,de la Société des chantiers,bergeon-c,Charles Bergeon,Bergeon,Charles,administrateur,1924,1924,self,,,Senate,Bouches-du-Rhône,,Parlementaires et financiers,Chantiers de,Empire (transversal),,Documents généraux (par ordre chronologique),roster_entry,roster,initials_or_forename,Charles Bergeon,exact_single_token,roster
