company_id,name,acronym,in_catalogue,n_documents,regions,countries,sectors,corporate_group,place_listed,legal_form_listed,year_start_listed,year_end_listed,founded_date_observed,capital_observed,capital_year,head_office_observed,n_ties,n_board_ties,n_directors,first_year_observed,last_year_observed
tramways,Compagnie Générale Française de Tramways,CFTI,1,10,Empire (transversal); Inde et Indochine; Indochine; Proche-Orient,Indochine; Syrie-Liban,"Banques et sociétés financières; Documents généraux (par ordre chronologique); Eau et assainissement, électricité (Utilities); Transports terrestres; Transports terrestres et garages","Générale Française de Tramways (Compagnie)(1875-1953), puis Générale française de transports et d'entreprises (Compagnie)",,,1889,,1889-11-23,121.200.000 francs,1959,"Paris, 1, rue de Stockholm. Tél. : LAB. 18-34",313,280,96,1880,1971
transportsmaritimesvapeur,Société générale de transports maritimes à vapeur,SGTM,1,3,Empire (transversal),,Documents généraux (par ordre chronologique); Transports maritimes,,Marseille,,1865,1962,1865-03-18,787.500.000 fr.,1955,"Paris, 5, rue de Surène. Tél. ANJ. 46-56. Direction générale : Marseille, 70, rue de la",264,254,72,1865,1953
cheminferfrancoethiopiendjiboutiaddisabeba,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,,1,5,Madagascar et Djibouti,Djibouti,Documents généraux; Sociétés,,,,1908,,1908-03-24,17.300.000 fr.,1953,"Paris, 21 bis, rue Lord-Byron",232,229,50,1912,1953
cheminsfermaroc,Compagnie des Chemins de fer du Maroc,,1,6,Maroc,Maroc,"Documents généraux (par ordre chronologique); Sociétés foncières et immobilières; Transports terrestres, garages automobiles et agricoles",,,,,,1922-02-10,300 millions fr.,1954,"280, boulevard St-Germain, PARIS (7e)",212,211,81,1913,1969
unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,LUCIA,1,6,Inde et Indochine; Indochine; Maroc,Indochine; Maroc,Commerce; Documents généraux (par ordre chronologique),,,,,,1904-08-12,154.050.000 fr.,1971,La Chesnaie — Boulhaut (Maroc),216,209,68,1887,1971
creditfoncieralgerietunisie,Crédit foncier d'Algérie-Tunisie,,1,3,Algerie; Empire (transversal); Maroc,Algérie; Maroc,"Banques et groupes financiers, assurances; Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",,,,,,1880-12-09,765.000.000 fr.,1953,"central, 43, rue Cambon",224,200,89,1911,1953
phosphatesoceanie,Compagnie française des Phosphates de l'Océanie,CFPO,1,5,Pacifique,Tahiti (Polynésie),Documents généraux; Sociétés,,,,1908,1971,1908-10-15,1.975 fr.,1955,"Paris, 2, rue Lord-Byron",170,165,43,1921,1953
creditfoncieregyptien,Crédit foncier égyptien,,1,2,Proche-Orient,Syrie-Liban; Égypte,Banques et sociétés financières,,Le Caire,,,,,40 millions francs,1906,AU CAIRE,158,157,74,1887,1953
aguilas,Compagnie d'Aguilas,,1,3,Algerie; Empire (transversal); Maroc,Algérie; Maroc,Documents généraux (par ordre chronologique); Groupes miniers transcoloniaux,,,,1881,1953,1881-06-30,42.643.000 francs,1949,"PARIS : 39, avenue de Friedland. R. C. Seine 27.100",151,151,76,1882,1953
credit,Crédit français,,1,1,Empire (transversal),,Groupes financiers transcoloniaux,,Paris,S.A,1911,,1911-05-02,10 millions francs,1935,Saint-Pétersbourg,150,150,92,1905,1950
cheminferdakarsaintlouis,Compagnie du Chemin de fer de Dakar à Saint-Louis,,1,4,Afrique occidentale francaise,Afrique occidentale française; Sénégal,Documents généraux (par ordre chronologique); Transports,,,,1883,1933,1883-06-04,71.134.000 fr.,1955,"Paris, 19, rue Cambacérès. Tél. : ANJ. 25-40",150,149,44,1887,1953
nickel,Société Le Nickel,SLN,1,8,Indochine; Pacifique,Indochine; Nouvelle-Calédonie (Mélanésie),Documentation générale (par ordre chronologique); Documents généraux (par ordre chronologique); Mines et métallurgie; Sports,,,,,,1880-04-22,984.000.000 fr.,1951,Paris,152,149,76,1882,1953
energieelectriquemaroc,Énergie électrique du Maroc,,1,4,Maroc,Maroc,"Documents généraux (par ordre chronologique); Eau, gaz, électricité (Utilities)",,,,,,,500 millions fr.,1969,"PARIS, 280, bd St-Germain",149,149,56,1924,1969
banqueindochine,Banque de l’Indochine,,1,46,Afrique equatoriale francaise; Empire (transversal); Inde et Indochine; Inde francaise; Indochine; Madagascar et Djibouti; Maroc; Pacifique; Proche-Orient,Afrique équatoriale française; Chine; Djibouti; Inde (Comptoirs français de l’); Indochine; Maroc; Nouvelle-Calédonie (Mélanésie); Nouvelles-Hébrides (Mélanésie); Syrie-Liban,"Autres sociétés; Banque, Filatures; Banque, gérance, assurances…; Banques et groupes financiers; Banques et sociétés financières; Banques, groupes financiers, assureurs; Bois, meubles, papier, allumettes; Documentation générale (par ordre chronologique); Documents généraux; Documents généraux (par ordre chronologique); Entreprises diverses; Groupes financiers transcoloniaux; Mines; Mines et métallurgie; Sociétés; Sociétés françaises ou à participation française; Sports",Banque de l’Indochine,Pnom-Penh; Battambang,,1875,1945,1875-01-21,444.000.000 FRANCS,1970,PARIS,158,147,92,1887,1948
portfedhala,Compagnie du Port de Fedhala,,1,4,Maroc,Maroc,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens",,,,,,1914-07-01,3.500.000 fr.,1914,"rte de Rabat, Aïn-Mazi-Casablanca",147,146,105,1913,1938
unionmines,Union des mines,,1,3,Empire (transversal); Indochine,Indochine,"Groupes financiers transcoloniaux; Mines; Transports fluviaux, maritimes et aériens. Ports, phares",,,,1923,1965,1923-04-23,750 millions fr.,1951,"Paris, 9, rue Louis-Murat. Tél. : CAR. 74-53 et la suite",148,146,70,1923,1948
banquealgerie,BANQUE DE L'ALGERIE,,0,4,Algerie; Empire (transversal); Indochine; Tunisie,Algérie; Indochine; Tunisie,"Banques et groupes financiers, assurances; Documents généraux (par ordre chronologique); Mines; Transports fluviaux, maritimes et aériens. Ports, phares",,,,,,,25 millions fr.,1948,"Paris, 217, boulevard Saint-Germain. Tél. : LIT. 96-45",149,143,81,1881,1948
mineslaurium,Compagnie française des Mines du Laurium,,1,4,Algerie; Empire (transversal); Proche-Orient,Algérie; Syrie-Liban,"Banques et sociétés financières; Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, liège, meubles, cellulose, papier…; Groupes miniers transcoloniaux",,,,1875,1982,1875-09-17,125 millions fr.,1954,"Paris, place Vendôme, 12. Tél. : OPE. 42-00",141,141,64,1886,1953
banqueetatmaroc,Banque d'État du Maroc,,1,7,Empire (transversal); Maroc; Proche-Orient,Maroc; Syrie-Liban,"Banques et sociétés financières; Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique); Sociétés foncières et immobilières",,,S.A,1907,,1907-02-26,15.400.000 fr.,1920,TANGER,140,139,52,1922,1951
forgesacieriesnordest,Forges et aciéries du Nord et de l'Est,,1,1,Empire (transversal),,Groupes industriels transcoloniaux,,,,1881,1964,1881-05-02,3.811.500.000 fr.,1953,"25, rue de Clichy [anc. siège de la Banque Jules Bernard, Mathieu Goudchaux et Cie]",148,139,83,1905,1953
caoutchoucspadang,Compagnie des Caoutchoucs de Padang,,1,4,Inde et Indochine; Indochine,Indochine,Documents généraux (par ordre chronologique); Héveas et caoutchouc; Plantations à participation française,,,,,,1911-05-23,628.835.000 fr.,1951,"Paris, 13, rue N.-D. des Victoires",137,134,49,1890,1953
colonialeagricolecommercialeindustriellesucreriescoloniales,"Société coloniale, agricole, commerciale et industrielle Sucreries coloniales",,0,5,Madagascar et Djibouti,La Réunion; Madagascar,Documents généraux; Documents généraux (par ordre chronologique),,,,,,,,,,134,134,92,1922,1951
miniereoubanghioriental,Compagnie Minière de l'Oubanghi oriental,CMOO,1,4,Afrique equatoriale francaise,Afrique équatoriale française,Banques et groupes financiers; Documents généraux (par ordre chronologique),Groupe familial Fondère-Guynet-Weber-Bénédic,,,,,1928-10-22,2.500.000 francs,1968,est 96,130,130,58,1928,1968
gafsa,Gafsa,,0,1,Tunisie,Tunisie,Mines,,,,,,,4.677.000 francs,1953,"Paris, 60 rue de la Victoire",131,130,49,1920,1953
messageriesafricaines,Messageries africaines,,1,8,Afrique occidentale francaise; Empire (transversal),Afrique occidentale française; Sénégal,Documents généraux (par ordre chronologique); Transports,,,S.A,1907,,1907-02-25,5.830.000 fr.,1951,"35, bd Pinet-Laprade, DAKAR (Sénégal), 9, avenue de Messine",128,128,58,1920,1975
indochinoiseelectricite,Société Indochinoise d'électricité,,1,8,Inde et Indochine; Indochine,Indochine,"Documents généraux (par ordre chronologique); Eau et assainissement, électricité (Utilities)",,,,,,1902-11-17,588.260.000 fr.,1955,"59, avenue d'Iéna, PARIS (16e)",132,127,48,1890,1971
indochinoiseculturestropicales,Société Indochinoise des Cultures tropicales,SICT,1,7,Inde et Indochine; Indochine,Indochine,"Café, thé, épices, coco, quinquina, vanille; Documents généraux (par ordre chronologique); Héveas et caoutchouc",,,,1925,,1925-06-13,56.200.000 fr.,1953,La Chesnaie — Boulhaut (Maroc),127,127,64,1890,1954
moulinsmaghreb,Société des Moulins du Maghreb,,1,5,Maroc,Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,,,,,,1920-03-30,6.500.000 francs,1924,"PARIS, 280, bd Saint-Germain",127,127,49,1920,1958
sucreriescoloniales,Sucreries coloniales,,1,3,Antilles-Guyane; Madagascar et Djibouti; Pacifique,La Réunion; Nouvelle-Calédonie (Mélanésie); Nouvelles-Hébrides (Mélanésie),Divers; Documentation générale (par ordre chronologique); Entreprises diverses; Sociétés diverses,,,,,,1920-11-16,36 millions francs,1946,"43, rue de Naples, à Paris",125,125,52,1920,1953
commercialeouestafricain,Société Commerciale de l'Ouest-Africain,,1,7,Afrique occidentale francaise; Empire (transversal),Afrique occidentale française; Sénégal,Banque; Documents généraux (par ordre chronologique); Sociétés commerciales transcoloniales,,,,1907,1927,1907-04-04,1.250.000.000 fr.,1963,Paris,125,124,43,1922,1975
algerienne,Compagnie algérienne,,1,7,Algerie; Empire (transversal); Maroc; Tunisie,Algérie; Maroc; Tunisie,"Banques et groupes financiers, assurances; Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Industries agro-alimentaires",,,,1877,1877,1877-12-27,276.307.500 fr.,1955,"Paris, 50, rue d’Anjou",124,123,44,1874,1953
