doc_id,territory,entry_type,name_listed,n_chars,register,n_name_forms,n_board_list,n_person_career,n_apposition,n_certificate,n_deed,n_press
afrique-occidentale-angoulvant-1908-1916-f6cab1,Côte d'Ivoire,source_document,La Côte d’Ivoire sous le lieutenant-gouverneur Gabriel Angoulvant (1908-1916)(477 p.),1641120,person_career,159,0,3,1,0,0,273
inde-indochine-piastre-indochinoise-37a439,Indochine,source_document,La piastre indochinoise,1284981,person_career,81,0,2,3,0,1,176
inde-indochine-decoux-agenda-1940-1945-6383dc,Indochine,source_document,"Decoux (Amiral Jean), gouverneur général de l'Indochine (août 1940-mars 1945)",991219,person_career,105,0,106,196,0,0,682
inde-indochine-ch-fer-transindochinois-4e6c44,Indochine,company,Chemin de fer transindochinois Hanoï-Saïgon (306 p.),919544,person_career,139,0,1,2,0,0,259
afrique-occidentale-faidherbe-1818-1889-0ac829,Sénégal,person,"Faidherbe (Léon)(1818-1889), polytechnicien, gouverneur du Sénégal (1854-1861, 1863-1865), par Jacques Bobée et Alain Lé",814165,apposition,100,0,0,4,0,0,188
inde-indochine-rapports-viollette-indochine-865be7,Indochine,source_document,Rapports du député Maurice Viollette sur l'Indo-Chine (1911),774484,apposition,5,0,0,2,0,1,43
inde-indochine-baudrit-rues-saigon-ad860d,Indochine,source_document,"Baudrit (André), Guide historique des rues de Saïgon (1943), 542 p. Les autres en parlent ; on vous l'offre !",770675,person_career,685,0,26,1,0,1,19
inde-indochine-siph-arnaud-de-vogue-faad6c,Indochine,company,"Arnaud de Vogüé, Ainsi vint au monde la SIPH (1905-1939). Souvenirs écrits en 1983-1986, publiés en 1993. Éd. revue et a",701841,certificate,1,0,0,0,1,1,3
afrique-occidentale-brevie-islamisme-c-naturisme-soudan-5a35a7,"Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)",company,"Jules Brévié (directeur des affaires politiques et administratives au gouvernement général de l'AOF), Islamisme contre n",693612,person_career,3,0,2,0,0,0,0
inde-indochine-delimitation-frontiere-sino-annamite-a1a173,Indochine,source_document,Délimitation de la frontière sino-annamite (1885-1896). Commission de délimitation et commission d'abornement. Docteur P,639762,press,61,0,0,0,0,0,93
