city_1,city_2,territory_1,territory_2,group_1,group_2,n_interlocks
Casablanca,Paris,Maroc,France,empire,metropole,1119
Paris,Saïgon,France,Indochine,metropole,empire,691
Alger,Paris,Algérie,France,empire,metropole,592
Dakar,Paris,Sénégal,France,empire,metropole,333
Marseille,Paris,France,France,metropole,metropole,295
Haïphong,Paris,Indochine,France,empire,metropole,289
Paris,Tunis,France,Tunisie,metropole,empire,221
Lyon,Paris,France,France,metropole,metropole,212
Paris,Pnom-Penh,France,Indochine,metropole,empire,194
Brazzaville,Paris,Congo-Brazzaville,France,empire,metropole,184
Paris,Tanger,France,Maroc,metropole,empire,181
Hanoï,Paris,Indochine,France,empire,metropole,174
Abidjan,Paris,Côte d'Ivoire,France,empire,metropole,151
La Haye,Paris,Pays-Bas,France,foreign,metropole,146
Bruxelles,Paris,Belgique,France,foreign,metropole,141
Djibouti,Paris,Djibouti,France,empire,metropole,133
Grand-Bassam,Paris,Côte d'Ivoire,France,empire,metropole,127
Paris,Rabat,France,Maroc,metropole,empire,124
Paris,Tananarive,France,Madagascar,metropole,empire,113
Alger,Casablanca,Algérie,Maroc,empire,empire,111
Libreville,Paris,Gabon,France,empire,metropole,107
Bordeaux,Paris,France,France,metropole,metropole,106
Constantinople,Paris,Empire ottoman/Turquie,France,foreign,metropole,103
Douala,Paris,Cameroun,France,empire,metropole,102
Londres,Paris,Royaume-Uni,France,foreign,metropole,97
Meknès,Paris,Maroc,France,empire,metropole,93
Haïphong,Saïgon,Indochine,Indochine,empire,empire,83
Casablanca,Saïgon,Maroc,Indochine,empire,empire,81
Casablanca,Rabat,Maroc,Maroc,empire,empire,80
Constantine,Paris,Algérie,France,empire,metropole,79
Casablanca,Dakar,Maroc,Sénégal,empire,empire,77
Cholon,Paris,Indochine,France,empire,metropole,74
Oran,Paris,Algérie,France,empire,metropole,70
Hanoï,Saïgon,Indochine,Indochine,empire,empire,70
Pnom-Penh,Saïgon,Indochine,Indochine,empire,empire,63
Cholon,Saïgon,Indochine,Indochine,empire,empire,62
Majunga,Paris,Madagascar,France,empire,metropole,56
Casablanca,Tanger,Maroc,Maroc,empire,empire,55
Fedhala,Paris,Maroc,France,empire,metropole,52
Papeete,Paris,Tahiti (Polynésie),France,empire,metropole,52
Nouméa,Paris,Nouvelle-Calédonie,France,empire,metropole,51
Casablanca,Marseille,Maroc,France,empire,metropole,51
Fès,Paris,Maroc,France,empire,metropole,50
Casablanca,Tunis,Maroc,Tunisie,empire,empire,50
Bordeaux,Dakar,France,Sénégal,metropole,empire,49
Abidjan,Saïgon,Côte d'Ivoire,Indochine,empire,empire,48
Bangui,Paris,Oubangui-Chari,France,empire,metropole,46
Marrakech,Paris,Maroc,France,empire,metropole,46
Dakar,Saïgon,Sénégal,Indochine,empire,empire,45
Alger,Saïgon,Algérie,Indochine,empire,empire,44
Alger,Oran,Algérie,Algérie,empire,empire,44
Casablanca,Lyon,Maroc,France,empire,metropole,40
Nossi-Bé,Paris,Madagascar,France,empire,metropole,39
Casablanca,Djibouti,Maroc,Djibouti,empire,empire,38
Alger,Tunis,Algérie,Tunisie,empire,empire,38
Cayenne,Paris,Guyane française,France,empire,metropole,38
Paris,Tuléar,France,Madagascar,metropole,empire,37
Alger,Dakar,Algérie,Sénégal,empire,empire,37
Casablanca,Meknès,Maroc,Maroc,empire,empire,36
Bône,Paris,Algérie,France,empire,metropole,36
Paris,Tourane,France,Indochine,metropole,empire,35
Le Havre,Paris,France,France,metropole,metropole,35
Paris,Rufisque,France,Sénégal,metropole,empire,34
Bordeaux,Casablanca,France,Maroc,metropole,empire,34
Alger,Bône,Algérie,Algérie,empire,empire,34
Kaolack,Paris,Sénégal,France,empire,metropole,33
Saïgon,Tourane,Indochine,Indochine,empire,empire,32
Conakry,Paris,Guinée Conakry,France,empire,metropole,31
Paris,Port-Gentil,France,Gabon,metropole,empire,31
Lisbonne,Paris,Portugal,France,foreign,metropole,30
Paris,Philippeville,France,Algérie,metropole,empire,30
Alger,Constantine,Algérie,Algérie,empire,empire,30
Casablanca,Fedhala,Maroc,Maroc,empire,empire,29
Casablanca,Fès,Maroc,Maroc,empire,empire,29
Casablanca,Hanoï,Maroc,Indochine,empire,empire,28
Alger,Lyon,Algérie,France,empire,metropole,28
Marseille,Saïgon,France,Indochine,metropole,empire,26
Brazzaville,Casablanca,Congo-Brazzaville,Maroc,empire,empire,25
Beyrouth,Paris,Syrie-Liban,France,empire,metropole,25
Hanoï,Haïphong,Indochine,Indochine,empire,empire,25
