person_id,company_id,role,year,period,is_board_seat,n_observations,source_refs,doc_ids,source_genre
bacum-m,1911djebelhallouf,president,1912,pre_1914,1,1,,afrique-du-nord-djebel-hallouf-3d2974,prose
bueche,1911djebelhallouf,administrateur,1912,pre_1914,1,1,"L’Écho des mines et de la métallurgie, 15 janvier 1912",afrique-du-nord-djebel-hallouf-3d2974,dossier
dalbouze,1911djebelhallouf,administrateur,1912,pre_1914,1,1,"L’Écho des mines et de la métallurgie, 15 janvier 1912",afrique-du-nord-djebel-hallouf-3d2974,dossier
le-febvre,1911djebelhallouf,administrateur,1912,pre_1914,1,1,"L’Écho des mines et de la métallurgie, 15 janvier 1912",afrique-du-nord-djebel-hallouf-3d2974,dossier
mayer-bacum,1911djebelhallouf,president,1912,pre_1914,1,1,,afrique-du-nord-djebel-hallouf-3d2974,prose
pes-a,1911djebelhallouf,administrateur,1912,pre_1914,1,1,"L’Écho des mines et de la métallurgie, 15 janvier 1912",afrique-du-nord-djebel-hallouf-3d2974,dossier
piga-l,1911djebelhallouf,administrateur,1912,pre_1914,1,1,"L’Écho des mines et de la métallurgie, 15 janvier 1912",afrique-du-nord-djebel-hallouf-3d2974,dossier
ravasini-g,1911djebelhallouf,administrateur,1912,pre_1914,1,1,"L’Écho des mines et de la métallurgie, 15 janvier 1912",afrique-du-nord-djebel-hallouf-3d2974,dossier
bourdillon-l,1911djebelhallouf,administrateur,1922,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-djebel-hallouf-3d2974,dossier
favier-p,1911djebelhallouf,secretaire,1922,1914_1929,0,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-djebel-hallouf-3d2974,dossier
gittens-w,1911djebelhallouf,administrateur_delegue,1922,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-djebel-hallouf-3d2974,dossier
maliges-a,1911djebelhallouf,commissaire_aux_comptes,1922,1914_1929,0,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-djebel-hallouf-3d2974,dossier
michenot-e,1911djebelhallouf,administrateur,1922,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-djebel-hallouf-3d2974,dossier
thomchot-c,1911djebelhallouf,commissaire_aux_comptes,1922,1914_1929,0,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-djebel-hallouf-3d2974,dossier
zafiropulo-d,1911djebelhallouf,president,1922,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-djebel-hallouf-3d2974,dossier
zafiropulo-g,1911djebelhallouf,administrateur,1922,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-djebel-hallouf-3d2974,dossier
baptiste,1913colonisationannamtonkin,administrateur,1914,1914_1929,1,1,,inde-indochine-colonisation-annam-tonkin-5afba0,prose
soler,1913colonisationannamtonkin,administrateur,1914,1914_1929,1,1,,inde-indochine-colonisation-annam-tonkin-5afba0,prose
vidal,1913colonisationannamtonkin,gerant,1914,1914_1929,0,1,,inde-indochine-colonisation-annam-tonkin-5afba0,prose
borgeaud-l,1918domainesbenislimantablat,president,1922,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
de-blay-h,1918domainesbenislimantablat,administrateur,1922,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
furgier-h,1918domainesbenislimantablat,administrateur_delegue,1922,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
giraud-e-edmond,1918domainesbenislimantablat,administrateur,1922,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
thirion-a,1918domainesbenislimantablat,administrateur,1922,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
thirion-h,1918domainesbenislimantablat,commissaire_aux_comptes,1922,1914_1929,0,1,Annuaire des valeurs de l’Afrique du Nord 1922,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
borgeaud-l,1918domainesbenislimantablat,president,1924,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1924,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
chevallier-j,1918domainesbenislimantablat,administrateur,1924,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1924,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
furgier-h,1918domainesbenislimantablat,administrateur_delegue,1924,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1924,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
giraud-e-edmond,1918domainesbenislimantablat,administrateur,1924,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1924,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
jourdan-l,1918domainesbenislimantablat,administrateur,1924,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1924,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
thirion-a,1918domainesbenislimantablat,administrateur,1924,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1924,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
thirion-h,1918domainesbenislimantablat,commissaire_aux_comptes,1924,1914_1929,0,1,Annuaire des valeurs de l’Afrique du Nord 1924,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
adam-v,1918domainesbenislimantablat,commissaire_aux_comptes,1926,1914_1929,0,1,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
borgeaud-h,1918domainesbenislimantablat,administrateur,1926,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
borgeaud-l,1918domainesbenislimantablat,president,1926,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
furgier-h,1918domainesbenislimantablat,administrateur,1926,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
giraud-e-edmond,1918domainesbenislimantablat,administrateur,1926,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
jourdan-l,1918domainesbenislimantablat,administrateur_delegue,1926,1914_1929,1,1,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-domaines-beni-sliman-b3c183,dossier
lombardet-c,1923clovistreboz,administrateur,1923,1914_1929,1,1,"Les Cahiers coloniaux, 1er octobre 1923",afrique-du-nord-clovis-treboz-marrakech-5f403d,dossier
sarrey-a,1923clovistreboz,administrateur,1923,1914_1929,1,1,"Les Cahiers coloniaux, 1er octobre 1923",afrique-du-nord-clovis-treboz-marrakech-5f403d,dossier
treboz-c,1923clovistreboz,administrateur,1923,1914_1929,1,1,"Les Cahiers coloniaux, 1er octobre 1923",afrique-du-nord-clovis-treboz-marrakech-5f403d,dossier
viennois-f,1923clovistreboz,administrateur,1923,1914_1929,1,1,"Les Cahiers coloniaux, 1er octobre 1923",afrique-du-nord-clovis-treboz-marrakech-5f403d,dossier
grande-rue-de-monplaisir,1923clovistreboz,commissaire_aux_comptes,1926,1914_1929,0,1,Annuaire des valeurs de l'Afrique du Nord 1926,afrique-du-nord-clovis-treboz-marrakech-5f403d,dossier
lombardet-c,1923clovistreboz,president,1926,1914_1929,1,1,Annuaire des valeurs de l'Afrique du Nord 1926,afrique-du-nord-clovis-treboz-marrakech-5f403d,dossier
sarrey-a,1923clovistreboz,commissaire_aux_comptes,1926,1914_1929,0,1,Annuaire des valeurs de l'Afrique du Nord 1926,afrique-du-nord-clovis-treboz-marrakech-5f403d,dossier
treboz-c,1923clovistreboz,administrateur_delegue,1926,1914_1929,1,1,Annuaire des valeurs de l'Afrique du Nord 1926,afrique-du-nord-clovis-treboz-marrakech-5f403d,dossier
viennois-f,1923clovistreboz,administrateur_delegue,1926,1914_1929,1,1,Annuaire des valeurs de l'Afrique du Nord 1926,afrique-du-nord-clovis-treboz-marrakech-5f403d,dossier
baclot-h,1929,directeur,1928,1914_1929,0,1,,afrique-equatoriale-adef-port-gentil-485761,prose
barbut,1929,commissaire_aux_comptes,1929,1914_1929,0,1,"JOAEF, 1er septembre 1929",afrique-equatoriale-adef-port-gentil-485761,dossier
lesage,1929,commissaire_aux_comptes,1929,1914_1929,0,1,"JOAEF, 1er septembre 1929",afrique-equatoriale-adef-port-gentil-485761,dossier
roi,1929,commissaire_aux_comptes,1929,1914_1929,0,1,"JOAEF, 1er septembre 1929",afrique-equatoriale-adef-port-gentil-485761,dossier
clermont,1929,administrateur,1932,1930_1944,1,1,,afrique-equatoriale-adef-port-gentil-485761,prose
defaye-a,1929,directeur_general,1936,1930_1944,0,1,"Les Annales coloniales, 17 juillet 1936",afrique-equatoriale-adef-port-gentil-485761,dossier
geesing-o,1929,administrateur,1936,1930_1944,1,1,"Les Annales coloniales, 17 juillet 1936",afrique-equatoriale-adef-port-gentil-485761,dossier
import-van-triplex-en-harde-houtsoorten,1929,administrateur,1936,1930_1944,1,1,"Les Annales coloniales, 17 juillet 1936",afrique-equatoriale-adef-port-gentil-485761,dossier
kuipers-a,1929,administrateur,1936,1930_1944,1,1,"Les Annales coloniales, 17 juillet 1936",afrique-equatoriale-adef-port-gentil-485761,dossier
tricart-p,1929,president,1936,1930_1944,1,1,"Les Annales coloniales, 17 juillet 1936",afrique-equatoriale-adef-port-gentil-485761,dossier
baclot-h,1929,administrateur,1947,1945_1962,1,1,"JOAEF, 15 avril 1947",afrique-equatoriale-adef-port-gentil-485761,dossier
defaye-a,1929,directeur_general,1947,1945_1962,0,1,"JOAEF, 15 avril 1947",afrique-equatoriale-adef-port-gentil-485761,dossier
geesing-h,1929,administrateur,1947,1945_1962,1,1,"JOAEF, 15 avril 1947",afrique-equatoriale-adef-port-gentil-485761,dossier
josserand-h,1929,commissaire_aux_comptes,1947,1945_1962,0,1,"JOAEF, 15 avril 1947",afrique-equatoriale-adef-port-gentil-485761,dossier
retail-demeurant-a-paris-l,1929,commissaire_aux_comptes,1947,1945_1962,0,1,"JOAEF, 15 avril 1947",afrique-equatoriale-adef-port-gentil-485761,dossier
