sector_a,sector_b,sector_a_en,sector_b_en,n_interlocks
finance,mining,"Banking, finance and insurance",Mining and quarrying,2866
finance,food_processing,"Banking, finance and insurance","Food processing, livestock and fishing",2185
finance,transport,"Banking, finance and insurance","Transport, ports and docks",1745
finance,unclassified,"Banking, finance and insurance",Unclassified,1654
finance,trade,"Banking, finance and insurance",Trade and commerce,1260
food_processing,mining,"Food processing, livestock and fishing",Mining and quarrying,1067
finance,plantations,"Banking, finance and insurance",Plantations and commodity crops,994
food_processing,unclassified,"Food processing, livestock and fishing",Unclassified,941
mining,unclassified,Mining and quarrying,Unclassified,924
mining,transport,Mining and quarrying,"Transport, ports and docks",851
food_processing,trade,"Food processing, livestock and fishing",Trade and commerce,825
food_processing,transport,"Food processing, livestock and fishing","Transport, ports and docks",788
finance,utilities,"Banking, finance and insurance","Water, gas and electricity",761
mining,plantations,Mining and quarrying,Plantations and commodity crops,724
transport,unclassified,"Transport, ports and docks",Unclassified,705
construction,finance,Construction and building materials,"Banking, finance and insurance",662
mining,trade,Mining and quarrying,Trade and commerce,648
food_processing,plantations,"Food processing, livestock and fishing",Plantations and commodity crops,599
conglomerate,finance,Transcolonial and diversified groups,"Banking, finance and insurance",538
trade,unclassified,Trade and commerce,Unclassified,537
mining,utilities,Mining and quarrying,"Water, gas and electricity",483
trade,transport,Trade and commerce,"Transport, ports and docks",449
transport,utilities,"Transport, ports and docks","Water, gas and electricity",440
plantations,unclassified,Plantations and commodity crops,Unclassified,435
construction,food_processing,Construction and building materials,"Food processing, livestock and fishing",417
construction,mining,Construction and building materials,Mining and quarrying,417
plantations,transport,Plantations and commodity crops,"Transport, ports and docks",413
plantations,trade,Plantations and commodity crops,Trade and commerce,373
conglomerate,mining,Transcolonial and diversified groups,Mining and quarrying,368
finance,wood_paper,"Banking, finance and insurance","Wood, furniture and paper",346
construction,transport,Construction and building materials,"Transport, ports and docks",331
food_processing,utilities,"Food processing, livestock and fishing","Water, gas and electricity",329
finance,real_estate,"Banking, finance and insurance",Land and real estate,318
unclassified,utilities,Unclassified,"Water, gas and electricity",259
construction,unclassified,Construction and building materials,Unclassified,239
conglomerate,food_processing,Transcolonial and diversified groups,"Food processing, livestock and fishing",238
conglomerate,unclassified,Transcolonial and diversified groups,Unclassified,216
food_processing,wood_paper,"Food processing, livestock and fishing","Wood, furniture and paper",215
mining,wood_paper,Mining and quarrying,"Wood, furniture and paper",210
construction,utilities,Construction and building materials,"Water, gas and electricity",209
conglomerate,plantations,Transcolonial and diversified groups,Plantations and commodity crops,207
conglomerate,transport,Transcolonial and diversified groups,"Transport, ports and docks",203
real_estate,transport,Land and real estate,"Transport, ports and docks",199
plantations,utilities,Plantations and commodity crops,"Water, gas and electricity",188
food_processing,real_estate,"Food processing, livestock and fishing",Land and real estate,187
plantations,wood_paper,Plantations and commodity crops,"Wood, furniture and paper",173
construction,trade,Construction and building materials,Trade and commerce,171
mining,real_estate,Mining and quarrying,Land and real estate,167
finance,textiles_leather,"Banking, finance and insurance",Textiles and leather,147
real_estate,unclassified,Land and real estate,Unclassified,146
transport,wood_paper,"Transport, ports and docks","Wood, furniture and paper",142
trade,utilities,Trade and commerce,"Water, gas and electricity",141
conglomerate,trade,Transcolonial and diversified groups,Trade and commerce,134
construction,plantations,Construction and building materials,Plantations and commodity crops,132
plantations,real_estate,Plantations and commodity crops,Land and real estate,122
real_estate,trade,Land and real estate,Trade and commerce,120
finance,media_print,"Banking, finance and insurance","Press, printing and communications",110
chemicals,finance,Chemicals and pharmaceuticals,"Banking, finance and insurance",109
unclassified,wood_paper,Unclassified,"Wood, furniture and paper",105
conglomerate,construction,Transcolonial and diversified groups,Construction and building materials,100
conglomerate,utilities,Transcolonial and diversified groups,"Water, gas and electricity",98
mining,textiles_leather,Mining and quarrying,Textiles and leather,90
chemicals,mining,Chemicals and pharmaceuticals,Mining and quarrying,89
trade,wood_paper,Trade and commerce,"Wood, furniture and paper",89
construction,wood_paper,Construction and building materials,"Wood, furniture and paper",86
utilities,wood_paper,"Water, gas and electricity","Wood, furniture and paper",84
construction,real_estate,Construction and building materials,Land and real estate,81
finance,hospitality,"Banking, finance and insurance",Hotels and tourism,81
plantations,textiles_leather,Plantations and commodity crops,Textiles and leather,81
conglomerate,wood_paper,Transcolonial and diversified groups,"Wood, furniture and paper",73
food_processing,textiles_leather,"Food processing, livestock and fishing",Textiles and leather,70
real_estate,utilities,Land and real estate,"Water, gas and electricity",70
textiles_leather,transport,Textiles and leather,"Transport, ports and docks",67
hospitality,transport,Hotels and tourism,"Transport, ports and docks",64
chemicals,food_processing,Chemicals and pharmaceuticals,"Food processing, livestock and fishing",63
media_print,plantations,"Press, printing and communications",Plantations and commodity crops,62
chemicals,transport,Chemicals and pharmaceuticals,"Transport, ports and docks",57
media_print,mining,"Press, printing and communications",Mining and quarrying,57
media_print,transport,"Press, printing and communications","Transport, ports and docks",55
textiles_leather,unclassified,Textiles and leather,Unclassified,52
