person_id,name,name_as_parsed,positionality,positionality_group,confidence,evidence,regions,countries,n_board_companies,n_board_ties,first_year,last_year
homberg-o,O. Homberg,O. Homberg,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,Afrique équatoriale française; Algérie; Djibouti; Indochine; Madagascar; Maroc; Tunisie,56,132,1889,1955
guesde-p,P. GUESDE,P. GUESDE,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,Djibouti; Indochine; Maroc; Tunisie,49,114,1890,1971
laurent-j,J. E. P. Laurent,J. E. P. Laurent,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Pacifique; Tunisie,Afrique occidentale française; Afrique équatoriale française; Algérie; Chine; Djibouti; Gabon; Indochine; Maroc; Nouvelle-Calédonie (Mélanésie); Sénégal; Tunisie,40,71,1887,1971
gradis-g,G. Gradis,G. Gradis,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc,"Abyssinie ou Ethiopie; Afrique occidentale française; Algérie; Malaisie; Maroc; Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)",37,69,1921,1969
atthalin-a,A. Atthalin,A. Atthalin,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal); Indochine; Maroc,"Afrique occidentale française; Chine; Indochine; Maroc; Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)",33,75,1913,1958
bernard-p,P. Bernard,P. Bernard,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,Afrique équatoriale française; Algérie; Djibouti; Indochine; Maroc; Tunisie,31,53,1887,1971
de-flers-f,François de FLERS,François de FLERS,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique equatoriale francaise; Afrique occidentale francaise; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Tunisie,Afrique occidentale française; Afrique équatoriale française; Chine; Dahomey (Bénin); Djibouti; Guinée Conakry; Indochine; Maroc; Oubangui-Chari (Centrafrique); Tunisie,30,38,1929,1971
denis-e,E. DENIS,E. DENIS,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Empire (transversal); Indochine; Maroc; Pacifique; Proche-Orient,Afrique occidentale française; Indochine; Maroc; Nouvelle-Calédonie (Mélanésie); Syrie-Liban,29,61,1887,1971
hersent-g,G. Hersent,G. Hersent,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Algerie; Empire (transversal); Indochine; Madagascar et Djibouti; Maroc; Pacifique; Proche-Orient; Tunisie,Afrique occidentale française; Algérie; Indochine; La Réunion; Maroc; Syrie-Liban; Tahiti (Polynésie); Tunisie,29,63,1890,1969
lebon-a,A. Lebon,A. Lebon,colonial,european_unspecified,low,residual_no_indigenous_marker,Afrique occidentale francaise; Algerie; Empire (transversal); Madagascar et Djibouti; Maroc; Proche-Orient,Afrique occidentale française; Algérie; Madagascar; Maroc; Égypte,29,63,1908,1958
