sector_group,sector_group_en,n_firms,n_seats,mean_degree,median_degree,deg_per_seat,sum_betweenness,mean_betweenness,btw_per_seat,mean_broker_gap,n_edges_incident,edge_share,n_edges_within,cross_territory_share,n_deep_core,giant_drop,giant_drop_null_mean,giant_drop_null_sd,giant_drop_z,giant_drop_p,path_after,path_change
finance,"Banking, finance and insurance",553,15977,49.857,29,1.7257,0.610109,0.00111334,0.3819,-121.3,24288,0.3052,3283,0.5041,13,+0.01299,+0.00837,0.00160,+2.88,0.000,3.6697,+0.3325
mining,Mining and quarrying,524,9290,30.094,17.0,1.6974,0.215045,0.00041118,0.2315,-127.0,14076,0.1769,1693,0.5959,8,+0.00701,+0.00745,0.00149,-0.30,0.617,3.2883,-0.0488
food_processing,"Food processing, livestock and fishing",412,7113,32.379,16.0,1.8754,0.201180,0.00048949,0.2828,-70.3,12445,0.1564,895,0.5667,6,+0.00462,+0.00605,0.00163,-0.88,0.833,3.2405,-0.0967
trade,Trade and commerce,329,5331,23.666,12,1.4605,0.114871,0.00035129,0.2155,62.9,7411,0.0931,375,0.4989,1,+0.00487,+0.00443,0.00111,+0.40,0.333,3.2871,-0.0500
transport,"Transport, ports and docks",282,4806,35.223,16.0,2.0668,0.146832,0.00052253,0.3055,-100.8,9321,0.1171,612,0.5153,5,+0.00437,+0.00390,0.00120,+0.39,0.350,3.3526,+0.0155
unclassified,Unclassified,250,5439,37.764,24.0,1.7358,0.151560,0.00060624,0.2787,-194.3,8866,0.1114,575,0.6889,6,+0.00426,+0.00343,0.00100,+0.83,0.217,3.4122,+0.0750
plantations,Plantations and commodity crops,195,3168,35.795,18,2.2033,0.080645,0.00041356,0.2546,-262.3,6401,0.0804,579,0.4763,4,+0.00151,+0.00254,0.00085,-1.22,0.867,3.3373,+0.0001
construction,Construction and building materials,136,2589,35.029,18.0,1.8401,0.079931,0.00058773,0.3087,-71.3,4575,0.0575,189,0.4664,6,+0.00220,+0.00195,0.00084,+0.30,0.350,3.2861,-0.0510
conglomerate,Transcolonial and diversified groups,108,2085,35.130,20.0,1.8197,0.063790,0.00062539,0.3059,-86.9,3667,0.0461,127,0.3496,1,+0.00111,+0.00155,0.00077,-0.57,0.733,3.3357,-0.0014
utilities,"Water, gas and electricity",81,2240,55.037,31,1.9902,0.063017,0.00077799,0.2813,-328.0,4277,0.0537,181,0.4840,7,+0.00171,+0.00101,0.00062,+1.13,0.183,3.3870,+0.0499
wood_paper,"Wood, furniture and paper",80,1120,28.512,14.0,2.0366,0.034126,0.00042657,0.3047,20.4,2238,0.0281,43,0.5340,1,+0.00103,+0.00112,0.00057,-0.15,0.583,3.3968,+0.0597
real_estate,Land and real estate,79,1074,26.316,12,1.9358,0.031294,0.00039612,0.2914,-27.9,2038,0.0256,41,0.4887,0,+0.00221,+0.00115,0.00062,+1.72,0.067,3.2846,-0.0525
media_print,"Press, printing and communications",40,234,17.150,5.0,2.9316,0.010455,0.00026808,0.4468,-45.8,674,0.0085,12,0.4139,0,+0.00043,+0.00056,0.00035,-0.37,0.717,3.2944,-0.0428
hospitality,Hotels and tourism,35,278,16.486,5,2.0755,0.010730,0.00030657,0.3860,140.9,568,0.0071,9,0.4419,0,-0.00008,+0.00048,0.00028,-1.97,1.000,3.2463,-0.0909
textiles_leather,Textiles and leather,33,348,28.485,11,2.7011,0.011841,0.00035881,0.3402,282.5,924,0.0116,16,0.4481,2,+0.00075,+0.00048,0.00030,+0.88,0.250,3.3649,+0.0277
health_education,"Health, education and research",32,105,6.969,3.0,2.1238,0.002502,0.00007818,0.2383,247.6,221,0.0028,2,0.4434,0,+0.00024,+0.00037,0.00034,-0.36,0.667,3.3836,+0.0465
