city,lat,lon,territory,group,aliases
Abidjan,5.345,-4.024,Côte d'Ivoire,empire,
Addis-Abeba,9.03,38.74,Abyssinie ou Ethiopie,foreign,
Agadir,30.421,-9.598,Maroc,empire,
Agboville,5.928,-4.213,Côte d'Ivoire,empire,
Alep,36.202,37.134,Syrie-Liban,empire,Aleppo
Alexandrie,31.2,29.918,Égypte,foreign,
Alger,36.753,3.06,Algérie,empire,Alger-Mustapha
Amsterdam,52.37,4.895,Pays-Bas,foreign,
Anvers,51.22,4.402,Belgique,foreign,Antwerp
Athènes,37.984,23.728,Grèce,foreign,
Bamako,12.65,-8.0,Soudan français,empire,
Bangkok,13.75,100.5,Siam (Thaïlande),foreign,
Bangui,4.361,18.555,Oubangui-Chari,empire,
Barcelone,41.385,2.173,Espagne,foreign,
Basse-Terre,15.999,-61.726,Guadeloupe et Martinique,empire,
Batavia,-6.208,106.846,Java et Sumatra,foreign,Jakarta
Battambang,13.096,103.203,Indochine,empire,
Belgrade,44.787,20.449,Serbie-Yougoslavie,foreign,
Beyrouth,33.888,35.495,Syrie-Liban,empire,Beirut
Bienhoa,10.945,106.824,Indochine,empire,Bien-Hoa
Biskra,34.851,5.728,Algérie,empire,
Bizerte,37.274,9.873,Tunisie,empire,
Blida,36.47,2.829,Algérie,empire,
Bobo-Dioulasso,11.178,-4.297,Soudan français,empire,
Bordeaux,44.838,-0.579,France,metropole,
Bouaké,7.69,-5.03,Côte d'Ivoire,empire,
Bougie,36.75,5.084,Algérie,empire,Béjaïa
Brazzaville,-4.269,15.271,Congo-Brazzaville,empire,
Bruxelles,50.851,4.352,Belgique,foreign,Brussels
Bône,36.9,7.765,Algérie,empire,Annaba
Cantho,10.045,105.746,Indochine,empire,Can-Tho
Canton,23.129,113.264,Chine,foreign,
Caracas,10.481,-66.904,Venezuela,foreign,
Casablanca,33.573,-7.59,Maroc,empire,
Cayenne,4.922,-52.326,Guyane française,empire,
Chandernagor,22.862,88.35,Inde française,empire,
Cholon,10.75,106.65,Indochine,empire,Cho-Lon
Conakry,9.509,-13.712,Guinée Conakry,empire,
Constantine,36.365,6.615,Algérie,empire,
Constantinople,41.008,28.978,Empire ottoman/Turquie,foreign,Istanbul
Cotonou,6.366,2.424,Dahomey (Bénin),empire,
Dakar,14.716,-17.467,Sénégal,empire,
Dalat,11.94,108.442,Indochine,empire,Da Lat; Da-Lat
Damas,33.513,36.292,Syrie-Liban,empire,Damascus
Dap-Cau,21.19,106.08,Indochine,empire,
Diégo-Suarez,-12.277,49.292,Madagascar,empire,Antsiranana
Djibouti,11.588,43.145,Djibouti,empire,
Douala,4.048,9.704,Cameroun,empire,
Dunkerque,51.034,2.377,France,metropole,
Fedhala,33.686,-7.383,Maroc,empire,Fedala; Mohammedia
Ferryville,37.223,9.798,Tunisie,empire,
Fianarantsoa,-21.454,47.086,Madagascar,empire,
Fort-Lamy,12.107,15.045,Tchad,empire,N'Djamena; Ndjamena
Fort-de-France,14.604,-61.067,Guadeloupe et Martinique,empire,
Fès,34.034,-5.003,Maroc,empire,Fez
Gafsa,34.425,8.784,Tunisie,empire,
Genève,46.204,6.143,Suisse,foreign,Geneva
Grand-Bassam,5.196,-3.739,Côte d'Ivoire,empire,Grand Bassam
Grenoble,45.188,5.724,France,metropole,
Hadong,20.971,105.779,Indochine,empire,Ha-Dong
Hambourg,53.551,9.994,Allemagne,foreign,
Hanoï,21.028,105.854,Indochine,empire,Ha-Noi; Hanoi
Haïphong,20.865,106.684,Indochine,empire,Hai-Phong; Haiphong
Hong-Kong,22.319,114.169,Chine,foreign,
Hongay,20.951,107.077,Indochine,empire,Hon-Gay
Hussein-Dey,36.74,3.1,Algérie,empire,
Hué,16.463,107.59,Indochine,empire,Hue; Huê
Kaolack,14.152,-16.073,Sénégal,empire,
Karikal,10.925,79.838,Inde française,empire,
Kayes,14.446,-11.444,Soudan français,empire,
Khouribga,32.881,-6.906,Maroc,empire,
Kuala-Lumpur,3.139,101.687,Malaisie,foreign,
La Haye,52.078,4.31,Pays-Bas,foreign,
La Rochelle,46.16,-1.152,France,metropole,
La-Paz,-16.5,-68.15,Bolivie,foreign,
Lagos,6.524,3.379,Nigéria,foreign,
Lambaréné,-0.7,10.233,Gabon,empire,
Lattaquié,35.531,35.791,Syrie-Liban,empire,
Le Caire,30.044,31.236,Égypte,foreign,Cairo; Le Cairo
Le Havre,49.494,0.108,France,metropole,Havre; Le-Havre
Libreville,0.416,9.467,Gabon,empire,
Lille,50.629,3.057,France,metropole,
Lima,-12.046,-77.043,Pérou,foreign,
Lisbonne,38.722,-9.139,Portugal,foreign,
Lomé,6.13,1.222,Togo,empire,
Londres,51.507,-0.128,Royaume-Uni,foreign,London
Lourenço-Marquès,-25.966,32.567,Mozambique,foreign,
